stake_address,overlap_type,emurgo_outputs,emurgo2_outputs,emurgo_ada,emurgo2_ada
stake1ux5tpajlpe25jwazt5aypj37xn9qqfp59tffmj9pjaq2q2qww0acs,BOTH_EMURGO_SEEDS,2,2,1376252425.14821300,1376252425.14821300
stake1u9zjr6e37w53a474puhx606ayr3rz2l6jljrmzvlzkk3cmg0m2zw0,BOTH_EMURGO_SEEDS,1,1,628264754.80856700,628264754.80856700
stake1uyeq2tgxezmtqm50xfpszd9nwfat0zxew7gx2hlsum2lsesaqlcl7,BOTH_EMURGO_SEEDS,16,16,413820255.40552000,413820255.40552000
stake1u96pyn2emsjjl6kvjq6m7864vz4hrurlsazrd4tgpjntyfq6e5whp,BOTH_EMURGO_SEEDS,3,3,278873828.83106300,278873828.83106300
stake1uxttvx739dt505d6sxvdykj8336utdq2q92jk3sv253zp5qalcz84,BOTH_EMURGO_SEEDS,18,18,84168451.851142000000,84168451.851142000000
stake1uxpgsxr2yvjncg09re2uyu3luwx5mr3can2kphvjz0xdmgg5khp05,BOTH_EMURGO_SEEDS,7,7,33943691.186963000000,33943691.186963000000
stake1uxztgcgh49sld46q94xtjy7zf8j2tnntd6rswl9dypa9ffqqxrz2a,BOTH_EMURGO_SEEDS,8,8,18646547.119191000000,18646547.119191000000
stake1uyt740u9w299jzmhshe86cx75l2tev6kksutn4th53250lsage6jk,BOTH_EMURGO_SEEDS,156,156,16742642.977133000000,16742642.977133000000
stake1uxvpzanlxuvax993wkxmt5rzufhq9af4kw6ql52qfyweyjg8hyjcq,BOTH_EMURGO_SEEDS,2,2,13126658.368497000000,13126658.368497000000
stake1uxcn9xltqsm26x3tpdyky568f90d8jrmpmts5xg32mqv35ce94499,BOTH_EMURGO_SEEDS,4,4,12074738.643894000000,12074738.643894000000
stake1u80xwh0jrxudvmvu8g8c4f8fyu6tue2nfpj52kc0z7rp90skxlz6a,BOTH_EMURGO_SEEDS,6,6,10860967.000073000000,10860967.000073000000
stake1uyqh38ttzlhqmhdsepazqreewejv9dgv28jtw0xzgzqqryclv0ts0,BOTH_EMURGO_SEEDS,1,1,10000000.000000000000,10000000.000000000000
stake1uys64thedu0sz07l7ne872l85j4dup20jkpl3kvgwy2m6jqn8kqgq,BOTH_EMURGO_SEEDS,1,1,9840061.372233000000,9840061.372233000000
stake1uxa6d92p4zzd6zv9s5mfc2yt7rjr984grjg3qw5zpemuagcfvkpar,BOTH_EMURGO_SEEDS,7,7,6782449.514896000000,6782449.514896000000
stake1u92373qy2glkapw0567mlkglngyx89r8yuh7mfahurx5edg8wxxgu,BOTH_EMURGO_SEEDS,141,141,6374397.271705000000,6374397.271705000000
stake1uxshha7vg65nq3ap3vtezwtv3ljjwjkywygvd2dx4cekf4s0wagr7,BOTH_EMURGO_SEEDS,10,10,5493149.987031000000,5493149.987031000000
stake1u8gssv43rh99v34x8mqj2wpnrntpp27r24juqa8a9hcyfasd5wlyv,BOTH_EMURGO_SEEDS,47,47,5085894.824621000000,5085894.824621000000
stake1uyp6wfurdl438ywpeut9nrp9huvex7yemvr8fplgxmmu8fqz8zpjp,BOTH_EMURGO_SEEDS,32,32,5013463.130243000000,5013463.130243000000
stake1uyjj62zdwlz0c0dmx0n62z5xdz3t6x0rlqrll9jpgl2gl3cduytug,BOTH_EMURGO_SEEDS,1,1,5000000.000000000000,5000000.000000000000
stake1u9yhzqx2s3gtr8gys3kre62kydh7jzn9fxr7wvue77cqjqswapy45,BOTH_EMURGO_SEEDS,1,1,5000000.000000000000,5000000.000000000000
stake1u8tad0wjqzc42gcrj08wat60mm58erq05u7ltxzc75njx8q6e93rl,BOTH_EMURGO_SEEDS,36,36,4298425.809580000000,4298425.809580000000
stake1uxf53lmw7479rehspdstly4vqmgrtsuzev5nghplh748wrsz8scjy,BOTH_EMURGO_SEEDS,8,8,4257826.197123000000,4257826.197123000000
stake1uyy4t4prkjg2mxtc7n4kjkx3ahv6yjtkn5f2r9nas2ramqs3kvcge,BOTH_EMURGO_SEEDS,60,60,4253951.090483000000,4253951.090483000000
stake1u8znaz3lqu2nsz2kpt5crw3jv8rrut39rrgv40wf3megucqkcfe7s,BOTH_EMURGO_SEEDS,1,1,3570000.000000000000,3570000.000000000000
stake1u8kq99glrfmhdcqh8nlxd8p2n2cg5elgcwk8np5frnqajksfhrp3v,BOTH_EMURGO_SEEDS,5,5,3387175.647951000000,3387175.647951000000
stake1uyzjz9s6smgrkruq9qmy3t6k5hqy4ecp499a5sk3vv29hcg84342l,BOTH_EMURGO_SEEDS,5,5,3325794.462531000000,3325794.462531000000
stake1uyr2sz08y6cg9ext9znurfzguu3ax3k2vjdm7cacjedtkdg0c7l7d,BOTH_EMURGO_SEEDS,1,1,3304049.109611000000,3304049.109611000000
stake1uyc8r36hpsxvpu94ap5j93dh37qqmayhllxyuh8ex9dcj3g8nxzq2,BOTH_EMURGO_SEEDS,1,1,3000000.000000000000,3000000.000000000000
stake1u9xxvzc0d6gd0l0mdncqc7sxwhvtnkrspny8rfjqfx2rygsl75rzj,BOTH_EMURGO_SEEDS,1,1,2999999.400000000000,2999999.400000000000
stake1uywcl55wvwrcstuj85ldm60qwpysequ5t0rjms6ryjfhmfgwlkj4k,BOTH_EMURGO_SEEDS,1,1,2835417.780429000000,2835417.780429000000
stake1ux3a593q7tq69jkjw7ygqss5mdtteh863r40qhvnftapt6q68puk9,BOTH_EMURGO_SEEDS,219,219,2508019.959589000000,2508019.959589000000
stake1uxlgsprtg4vyz97ea0aeqqk2qym4umcuf9k00sxm7frrtwgt49z2a,BOTH_EMURGO_SEEDS,23,23,2430209.224856000000,2430209.224856000000
stake1u89xt5ewlfl0ww0a7zvn2ent0cmgl8yhh2865ppwzss9d4gltk92h,BOTH_EMURGO_SEEDS,1,1,2364262.000000000000,2364262.000000000000
stake1uxy88kf7gf4gdk84gjm4p6ut3xl8hqwvfje90eyhzdy39kg4av0lc,BOTH_EMURGO_SEEDS,5,5,2338538.247694000000,2338538.247694000000
stake1uxrcmlm0dshqmyvv2fyfqjtl7hsuhduepquyp8u9sl5kpngy5k2mu,BOTH_EMURGO_SEEDS,14,14,2121400.526857000000,2121400.526857000000
stake1uyq3hrz24h6gjgvrgtq9jpzp5a66x3v7ncklc6yphcsh5kcep3z0v,BOTH_EMURGO_SEEDS,2,2,2055255.012391000000,2055255.012391000000
stake1uy5uu7vm6al4dz22x966ravv7kndjkalneftjjh6q27gwzspwrta2,BOTH_EMURGO_SEEDS,1,1,2000713.453439000000,2000713.453439000000
stake1uxk6zr394jwstey5te7c0xz6rxj639pv8y6z49d92etrtuq4cjq4v,BOTH_EMURGO_SEEDS,1,1,2000000.000000000000,2000000.000000000000
stake1uxma2w849f9hdngcxnlfxcy2wmu2cvzj3jtecv0m708yjuggzydan,BOTH_EMURGO_SEEDS,14,14,1931678.621189000000,1931678.621189000000
stake1uy8rau50sf2ys82q866aymc334a6psy74um0plg6ptrzf2qaxze4x,BOTH_EMURGO_SEEDS,82,82,1789474.392883000000,1789474.392883000000
