stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada
stake1u839gnp9kvyd8hhw3nskp08wt868y0fnjdncp0psyyykdusjh7s5j,130,110,35000002.396360,2021-12-09 23:58:03,2025-04-07 13:11:16,2025-02-18 20:10:06,t,4,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,2022-03-22 22:23:13,330,1,drep_always_abstain,2025-02-09 22:21:38,3873977.891404,641,310,3865004.779571,2026-06-29 01:03:24,8973.111833
stake1u8n0pwlvha3rnhfdqvpwe00jktkh2lf6a0dg09tthrqrwpslghaq6,34,23,35000002.396360,2022-10-07 12:00:59,2025-04-07 13:11:16,2023-06-13 00:40:13,t,1,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,2022-07-27 00:16:32,355,1,drep_always_abstain,2025-02-09 21:18:21,3280931.708379,641,268,3269672.754512,2026-06-29 00:17:11,11258.953867
stake1u8n88jdmchazhgd23mwc3cezsf6mmmk4f3k69pekg8yd4acpnzxyd,21,16,35000002.396360,2022-01-27 15:40:53,2025-04-07 13:11:16,2023-02-07 21:30:24,t,1,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,2022-03-21 17:29:02,329,1,drep_always_abstain,2025-02-09 21:16:52,4082361.447526,641,308,4072673.394460,2026-06-29 00:07:08,9688.053066
stake1u9ezcu22ysh0kzqrkwdg57gu8dztghz4v8sz47mur4m0gggfhcg6q,10,4,35000002.396360,2022-09-27 12:00:16,2025-04-07 13:11:16,2023-02-16 20:30:24,t,1,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,2022-07-27 00:05:49,355,1,drep_always_abstain,2025-02-09 21:14:44,3073163.229556,641,270,3061904.275689,2026-06-29 00:06:35,11258.953867
stake1u9hvtsfujlj7yqf9e6n4vhhj62zrrrkylrtk7x4l679fhcc9jdkay,76,17,35000002.396360,2022-05-19 21:31:05,2025-04-07 13:11:16,2023-01-24 21:50:39,t,1,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,2022-03-25 21:35:58,330,1,drep_always_abstain,2025-02-09 21:19:23,3850562.953002,641,295,3836910.144549,2026-06-29 00:59:36,13652.808453
stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,54,35,35000002.396360,2022-01-27 15:40:33,2025-04-07 13:11:16,2025-03-19 00:10:21,t,1,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,2022-03-21 17:30:06,329,1,drep_always_abstain,2025-02-09 18:54:09,4080476.399307,641,307,4070788.346241,2026-06-29 00:24:05,9688.053066
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,12,10,35000000.000000,2022-01-27 15:40:53,2023-10-03 12:01:02,2022-10-04 22:30:38,t,1,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,2022-03-21 17:07:58,329,1,drep_always_abstain,2025-02-09 19:57:02,4116260.637472,641,307,4106151.495446,2026-06-29 00:41:55,10109.142026
stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,71,45,35000000.000000,2022-01-28 17:24:46,2025-12-17 12:00:49,2025-12-16 12:01:16,t,1,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,2022-03-21 18:50:07,329,1,drep_always_abstain,2025-02-10 02:00:16,3912362.793218,641,308,3902103.269917,2026-06-29 00:34:13,10259.523301
stake1u8e2z3hujdqrvl2zc9p4qwh4vk5zykdxwg2f8qcgavjs60sfahv2j,23,10,35000000.000000,2022-01-31 11:32:55,2023-09-28 08:44:19,2023-08-10 20:40:11,t,1,pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,2022-03-21 19:14:40,329,1,drep_always_abstain,2025-02-10 03:05:33,3768660.913262,641,307,3760114.309679,2026-06-29 00:04:58,8546.603583
stake1u8nfjumfactw34nck4hpsrrz8vtcvqjx25rg3ejwmdgjk4g7hf2wr,26,2,35000000.000000,2022-07-28 00:01:43,2023-09-28 08:43:16,2023-03-06 20:00:12,t,1,pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,2022-07-26 22:17:13,355,1,drep_always_abstain,2025-02-09 20:55:11,3182894.846897,641,281,3171921.376907,2026-06-29 00:11:39,10973.469990
