table_name,data_rows,bytes,sha256,last_commit_utc,age_days_at_refresh,snapshot_sensitive
bounded_trace_depth3_db,53,24651,76350f75229564cd35698b9da55fa8c32665baf14817fcc7c2fd5f8bb095946a,2026-05-29T09:26:39-05:00,77,False
bounded_trace_growth_probe,10,90,1d103f2c8569584561556e4b5103a10a743368dbae7a918f47e70c3d0ea61b26,2026-05-29T09:26:39-05:00,77,False
component_control_indicators,115,48593,c644a52a714567186589f0e50d7cd40f84f2e9a4e89ab9b872435e987ceafa6a,2026-07-03T13:17:25-05:00,41,True
component_control_summary,8,412,86372539f5fb5ff4e6f29b2b6820423f1d11a809e8107ef3463fc90bc990154e,2026-07-03T13:17:25-05:00,41,True
cross_merge_depth10_probe,3,322,e50e3468490493fbccd0d1ad30cb10b4328a1692e533452d2721d7cc2f262bf9,2026-05-29T09:26:39-05:00,77,False
db_tip_receipt,1,188,fe680741f65e3655645577646a6ad08bbe3779c08a15dd5b9de629fb46cbe552,2026-07-03T23:10:47-05:00,41,True
emurgo_drep_epoch_deltas,17,1662,499876f773e43110e126f57fe9ef0ac7b52feb668ba3afebd2caad72d5f9cb2c,uncommitted,0,False
emurgo_drep_public_events,5,1345,8261dfe16bd3161265d434a5309b4f97511124691704270a3268be054165a30e,uncommitted,0,False
emurgo_drep_voting_power_history,1156,153521,6997ffa1e2d86aeeae1c5e08278e7d83e6ff10e072f8406efa4b254a0611d1e6,uncommitted,0,False
emurgo_f20_receipt,1,301,245da4935b34c94409b4eceab8589513c4ddc681b405ded387561a8fb52b8b57,uncommitted,0,True
emurgo_genesis_leftover_by_drep_bucket,7,289,c855bb48338ffab408f6266877ada8c49330c34576e597fc50500a044c9ad0d0,uncommitted,0,False
emurgo_genesis_leftover_on_named_dreps,63,14455,9e557ea7a2d3901e8b22bbe9b70e1ec651f6d242e134bd9162bef79c251a8fa3,uncommitted,0,False
emurgo_named_dreps,9,2780,50067c620e2c0859af3edb171fc14c11356309430f83f702bcf1d177757b6023,uncommitted,0,False
epoch_context,641,81682,e3d6273436b546ee35e7a8c11064922db1d2028e6eb312158494f978e02d5447,2026-07-03T09:57:17-05:00,42,False
f11_cohort_cert_timeline,24,4771,0ea942a34f4469dc6863dfc9aa41b0295872c68f4e16b745efbff6d16ac1de71,2026-07-03T10:21:11-05:00,42,False
f11_cohort_funding_origin,16,3535,4b3f9a875ce6b8ebd490b6be511091e1b60c89d68670e86aa31bc172efc94cda,2026-07-03T10:21:11-05:00,42,False
f11_cohort_reward_destinations,1,138,59eec912c4cfd70995714460451bbb311bf63dc905b3d4f5f832f5f62e07f4a1,2026-07-03T10:21:11-05:00,42,False
f11_cohort_withdrawal_funding,8,633,62970b09bdb364f6a042682a187dfbcba4e1afbbe485ad30797730017beb2571,2026-07-03T10:21:11-05:00,42,False
f11_downstream_fleet,81,9511,3097083466c3690464c646bba867bdcaec9a7bda2ab84dce4190083e13a74bdc,2026-07-03T12:03:35-05:00,42,False
f11_downstream_hop_destinations,600,51479,8743ea21003e206153d48cea1139d93348638a36a123cf14508e97618a4ab97b,2026-07-03T12:03:35-05:00,42,False
f11_downstream_hop_summary,3,186,6f94e526b2f2bf32b6977d29ad83f085189ab92f2f0bbabe94a576de074e4847,2026-07-03T12:03:35-05:00,42,False
f11_hub_classification,4,836,e3e0dccafc95a24f1ab091a5ac8539fffc91411472f24d01a3abf2765de0c391,2026-07-03T12:03:35-05:00,42,False
f15_cowithdrawal_component,115,7585,9c3f6bfb5d585cea3fa20bd03b9535550ff31ec69f16c7e5424a03d7c85d02a8,2026-07-03T13:17:25-05:00,41,False
fleet_control_indicators,81,34300,175f4d6788d5e4db771bc3e7abed6bb37b00f829403ff51420de58da33928e14,2026-07-03T13:04:31-05:00,41,True
fleet_control_summary,8,411,d1e81f624bb401371f1986edbabcb8096fec2febe19416202b8f6b28d436894c,2026-07-03T13:04:31-05:00,41,True
fourth_entry_direct_cospend_db,2,656,065fecdb3557605516c60dae36d283789c913f4c343b8b7335ec202608d8b9cc,2026-05-29T09:26:39-05:00,77,False
fourth_entry_sale_ticket_signal,6,1861,da587f9aa80de67ef5ef2e6c81f1cf7feb2031dbdd99180ea8fedfe10b166694,2026-05-29T09:26:39-05:00,77,False
genesis_control_indicators,1048,381885,6cb8090dac4ec7718b549dcecf8ba90a0b2df1a303ab2dfc4f251cbdf8a32948,2026-07-03T10:21:11-05:00,42,True
genesis_control_summary,13,600,573d4c2f3dcd0e9ead9170d2e709b8621753154bae87c06235cd52b6ef617e87,2026-07-03T10:21:11-05:00,42,True
genesis_trail_hub_summary,1,438,ca205c919930ef49028646f622c2b24c6318ddfdca052c8634338b08b8767e1b,2026-06-13T13:16:37-05:00,61,False
genesis_trail_payment_dominant_traces,254,98052,fe82e6361fcf9ccb891191d3ca060ba51c3ba77395aa70afee451bd21d57210d,2026-06-13T13:16:37-05:00,61,False
genesis_trail_payment_inputs,9,1982,ebd5422fce46bca687410030ed44eb1c4631c3fa8fe5232743be32a6de95fca9,2026-06-13T13:16:37-05:00,61,False
genesis_trail_recipient_forwarding,10,4210,4a8106bf566291066d64826963026b90b5c20627ab4df36bb95600bda2347136,2026-06-13T13:16:37-05:00,61,False
genesis_trail_recipient_outputs,11,3463,1309844ff4375bcc146b031f143eca9911c6eb28fd1178df56b30ffdc37cafd4,2026-06-13T13:16:37-05:00,61,False
genesis_trail_stream_bridges,5,1569,efe8c9cb56a78a8c5b189baa6753c04e721c638653d1cf83016d066d7332362c,2026-06-13T13:16:37-05:00,61,False
governance_actions_catalog,147,40314,f6f365d0b221c213a8ea8a2dbf33b0edf1452d5decec6141e01d7eef99d754e0,2026-07-03T09:57:17-05:00,42,False
governance_drep_delegation_targets,390,71963,e5d9c1e9e1d7408969a1c55a162206e108668f778592545e5bd7500b191d6bc0,2026-05-29T09:26:39-05:00,77,False
governance_drep_latest_targets,337,38977,05a2331c2a97067b3d04cd2b01d2b736056b12edb5aa72169d44414d5f630212,2026-05-29T09:26:39-05:00,77,True
governance_drep_latest_value_targets,335,30942,964f4e988e217aad811035a12ed36afce8d5f092f190851570a43d635c8118ee,2026-05-29T09:26:39-05:00,77,True
governance_drep_metadata,184,49453,753cb30064d11e2f08703718ac012c9772423224320bc47a9b0b220a7ac4e001,2026-07-03T09:57:17-05:00,42,False
governance_genesis_behavior_by_drep,270,61527,97dc711cade9616823e1c393dc97ae38cb667785dd9f05214ffb4a7cdbd971ed,2026-07-03T10:21:11-05:00,42,False
governance_genesis_behavior_by_proposal,18824,6781988,42fb27cc49112819ac2bd2c37900e21cdacb6d50b2c6bc979e9d15130f8ed6cb,2026-07-03T10:21:11-05:00,42,False
governance_genesis_behavior_by_root_drep,343,73966,122572c71f7cf8f3fd8db3fcb78cf379181785c803dc4ff4b8304774bb81bef8,2026-07-03T10:21:11-05:00,42,False
governance_genesis_behavior_clusters,1000,278653,887196ae58f8ef15d0cef4f4347e60a5e60866ef4b96e26bbd584468e4c4f1f1,2026-07-03T10:21:11-05:00,42,False
governance_genesis_behavior_signals_top,3101,1184777,f3b52afa72d0e9d511aa6a365700c1194e2b64ce1ba4eb814d081abf4f6caa2f,2026-07-03T10:21:11-05:00,42,False
governance_genesis_delegation_timeline,2303,221071,8ba6cb006d7b37f1f0b2ebf01932ad47835ae598268973dec89ee2ec1d892f59,2026-06-11T09:10:32-05:00,64,False
governance_genesis_pool_drep_matrix,500,89301,ae50d63cdd8277009dccfe04ed3e810e41dd3c1f0c2e023ccb2ea6185e97ca90,2026-06-11T09:10:32-05:00,64,False
governance_genesis_pool_operator_links,1598,439247,1f042d0c5be4456fd6ec024e96866a4493adf16413baa7331e01f60c4d507325,2026-06-11T09:10:32-05:00,64,False
governance_genesis_spo_by_pool,1876,327140,a8d48040d6f64e77dea902e58ef67f2e7eea13cf2a1ba885bfeee8c723b263df,2026-06-11T09:10:32-05:00,64,False
governance_pool_metadata,1857,503232,88b09f22d90459cda584fd7540e4df37480021ea3db70aba2dcb04c4169533d1,2026-07-03T09:57:17-05:00,42,False
governance_spo_delegation_targets,5175,974667,94fbf2443c613189a2aa95eab4d14778689045bdd32ae267ef06a5c5b97e12f9,2026-05-29T09:26:39-05:00,77,False
governance_spo_latest_targets,2868,334039,ca35db8de2996884045051f0cfcc47dc35c7db3ec0f7dd90c1cec872166d6ec7,2026-05-29T09:26:39-05:00,77,True
governance_spo_latest_value_targets,2852,264946,08c42cf8fabf7ca3e140ae0f9e468e54b03c19ba4ad447a6074ea672e64cccd0,2026-05-29T09:26:39-05:00,77,True
governance_top_drep_delegation_age_buckets,63,9083,ee68bc9d088c26dfd9eea62bf3fa99e367a656de5889aa4e05c1b3bb9baa59d7,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_genesis_trace_exposure,10,2871,284afef41f1859bb6f3645bd616f2f78166fcda40a51b3200c0c7a812fdcce3c,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_genesis_trace_exposure_by_root,40,5526,0619259e2fc10767faeedd90e948f7dbe1f51ac0d200169377579fb42d99ff2a,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_genesis_trace_stickiness,40,7214,84d8859b341c9d61545d7e7b56f71b9cd35d32b3a667de2591f1349d49c81fd3,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_koios_crosscheck,10,5555,40684f06150e698fbae756b3b1adf12daa67381399ff18b646e57b7a678a8033,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_pool_affiliations,100,22950,b90df5bb7e44af332460103499c51e770037b7eea10f191d1adb6d5d4be865bd,2026-07-03T09:57:17-05:00,42,False
governance_top_drep_profiles_current,10,5314,75dbd241b787d78cfe5578ca70e63cf06e3ad6a939f7ab3f850f00fd3552dce0,2026-07-03T09:57:17-05:00,42,True
governance_top_drep_stake_buckets,72,10222,1360c4fc2dfed113f89dff41ecbc10adf4b79d65501386886de8a9928f7e947d,2026-07-03T09:57:17-05:00,42,False
iog_current_bag_depth14_by_depth,10,310,db420c9f3e53e7a8221c0636d8807db49ad445b0abe24d64d063a4e2bef2e548,2026-07-03T10:21:11-05:00,42,True
iog_current_bag_depth14_cluster_classification_top200,200,40849,8a91d4dde20fcfcca6d62d61afbc8827f3e8705ec2bd59873c7fa9bec7540832,2026-05-29T09:26:39-05:00,77,True
iog_current_bag_depth14_cluster_profile_top200,200,28200,a1b345c5eb8cea4d34ed143dd5a173cf8eb45d88c8c89b900d6fd3ceb92dfb0e,2026-05-29T09:26:39-05:00,77,True
iog_current_bag_depth14_confidence_bands,5,880,6721dd171f06fa62b8c70edf2f7e1075869a28d3dcbf959b88ee105f3b8a081b,2026-06-01T18:05:07-05:00,73,True
iog_current_bag_depth14_coordinated_abstain_e329_clusters,16,4175,9c951f43212e7f1a512dc7202de9b0dfd498cfe6837b9d7c0341227a7f845039,2026-05-29T09:26:39-05:00,77,True
iog_current_bag_depth14_current_utxos,15000,6988353,015057a273506cf8154d9a7af3df3d609f182ef1b2d4eca29671118204565a3a,2026-07-03T13:17:25-05:00,41,True
iog_current_bag_depth14_heuristic_class_summary,7,387,dcc6ef1668bdece61f9d609bf65797ae5544acaefd110167dabb2cf8cde41155,2026-05-29T09:26:39-05:00,77,True
iog_current_bag_depth14_summary,1,221,fec7046d5db35190b0fed9b42dbfc8d73f2a7b2ab96dd3af64e63585fa1519d2,2026-07-03T10:21:11-05:00,42,True
iog_current_bag_depth14_top_stake,50,4508,e544fabb68bed63ecbae3b036c1484eaa77c2a73c8421055cdc747aa8152934e,2026-07-03T10:21:11-05:00,42,True
iog_pool_state_validation,2,658,1f68d6122a5c7a513ac2beabbc917d19f02e04cc6bce3d687c016b916d9a56ae,2026-07-03T10:21:11-05:00,42,False
iog_voucher_dominant_traces,144,51381,e3366c2c87d5e364cad498657c45dd0408af3f63624a0781a26245f99c72fe88,2026-06-12T20:47:52-05:00,62,False
iogp_pool_epoch_stake,16,2067,11d9308f87eab6afe5a5e7fef87d7d0489365573418bc39a585472b66c59b3de,2026-06-12T20:47:52-05:00,62,False
iogp_pool_registration,1,504,6940d0bdfde2838dd26fd65c07fc32e0f6f161cb39b84cb97469d57cfe5ad293,2026-06-12T20:47:52-05:00,62,False
iogp_reward_wallet_destinations,20,3519,f87b5ff30dc64b301b55ccca7926f0330bec5c603280e20fbc648fdece938304,2026-06-12T20:47:52-05:00,62,False
legacy_cross_merge_baseline_counts,10,298,1dc127e8c8e7fe6571f9862bc9ea809805a1d257a4dbfc36b103eedc404ef381,2026-05-29T09:26:39-05:00,77,False
night_concentration_curve,13,431,0d2c89c5fe98c36f3b1eb32cad2a4cdd6360d3111d60d46e69069b50ef115e20,2026-07-03T23:10:47-05:00,41,False
night_current_leaves_top,10000,2144637,0c6e6c753f71ac38ce3170d5b0b9d85e393e268da1580591572453f737850098,2026-07-03T23:10:47-05:00,41,True
night_flow_level_dist,1143,27200,a93010c4a65e529f699747e944a07fd5b841c3e8ad034967218914c67ce49909,2026-07-03T23:10:47-05:00,41,False
night_holder_top,2000,261986,a8352e35e3e0500334df882981c372b4820883baddcda3eb4e86811c1cf7e12a,2026-07-03T23:10:47-05:00,41,False
night_holder_type_split,2,120,de50fb703a37beebf3c4b46eb67d40a4f491564bdfaddfb128ac473fde265565,2026-07-03T23:10:47-05:00,41,False
night_incident_actors,11,2659,f1f2c512355d68c58e8d94c1762af6f26d840a5e60a1769ec579c477e822a01b,2026-07-22T11:36:58+00:00,23,False
night_incident_ada_fanout,6450,761121,2214fc2844a5794242a7ea87ee4bd9d1a29b04b95ec8487de8af685ec4023554,2026-07-22T11:36:58+00:00,23,False
night_incident_binance_240m,2,509,fc11f06a1fff91d9162fee7201aa18f3189e80c493e78f4b011b85d884d13bc7,2026-07-22T11:36:58+00:00,23,False
night_incident_bridge_balance,3,199,5a090cedad76f57a27931a55a2b623ac090429d5234222f65323bab133987bcc,2026-07-22T11:36:58+00:00,23,False
night_incident_bridge_supply,8,1005,261c7832d887a996110db4864f2f007dcb8b6757a217cc2278091522091bef4a,2026-07-22T11:36:58+00:00,23,False
night_incident_cluster_balance,3,126,b14d6fa41fe3ac54c461e41f45f1ec53b7808f45937e7369fd5513ff01d1d227,2026-07-22T11:36:58+00:00,23,False
night_incident_drain_txs,4,499,42afda6ffe07149a444122dfc9881527bf5309fb4c4695a4ede03e715cb9d111,2026-07-22T11:36:58+00:00,23,False
night_incident_label_balances,6,263,8cbf50ed599f2d1f4da6781276e7b3e037fddb673e2ad4921f19c59ea0131d25,2026-07-22T11:36:58+00:00,23,False
night_incident_liqwid_collateral,5,548,1870afd1fd06551e8ee06511d20e7dc64b5357acef6ab5179f90019c7e632515,2026-07-22T11:36:58+00:00,23,False
night_incident_settlement_provenance,20,3488,e0f8c0f245839d13186e18c51c2fce219d94808c8bfd52ca3eb4543f5e189c1c,2026-07-22T11:36:58+00:00,23,False
night_incident_staged_deposits,41,4387,5afcfdcd941b2d1dbe8d5920cc4dbd931cf09fdb4d9f34250d3c66c290669065,2026-07-22T11:36:58+00:00,23,False
night_incident_summary,24,1822,05b2a65bab126c0f93a3b417e2147815c3b1d8ee37605a87d11e3d52253a178b,2026-07-22T11:36:58+00:00,23,False
night_leaves_by_month,5,186,668383cd82972808269bae1f2b18f028d5e9919db2f77de6c4a415456cfdc40d,2026-07-03T23:10:47-05:00,41,False
night_mint_event,1,155,179a0f87b81f5fe6fe9a98a29ae7d183e9283da2341a8afd95484f53bc8cf356,2026-07-03T23:10:47-05:00,41,False
night_root_utxo,1,397,0cc4f051894b54c22ff356574c1b808db9ac04ed2776276ea6bb61e130702677,2026-07-03T23:10:47-05:00,41,False
night_summary,15,485,9b33ef202d6affea5caeb780a98e297dfc4bfdbc7cb296a480b5c69ae752dce7,2026-07-03T23:10:47-05:00,41,False
pool_operator_kes_clusters,96,6825,bbc2dba4c5287976f8be820fc4072c43a1b5bfaef01b48a535913547086716eb,2026-07-08T21:21:06-05:00,36,False
pool_operator_kes_members,480,40068,1b43596b43148e95fb2899fea787025d6f903aca21e5ef7a4c156b6eb63545b6,2026-07-08T21:21:06-05:00,36,False
secondfi_incident_actors,8,1816,820d30400de6a90dd764a0b4402b69b65f6f5ea01f7b38d78f4ffb8a880f3bf2,2026-07-23T16:55:43+00:00,22,False
secondfi_incident_balances,4,850,0463fc9c0f9335899938ab4407bdb291fabcaebe0dc2bfff8a6ad193cf24519a,2026-07-23T16:55:43+00:00,22,False
secondfi_incident_clusters,2,285,dcad8c0a8c6b85df15e4f7bdb1082ddcd170f1810adbc11cb27d54ad5412c0b0,2026-07-23T16:55:43+00:00,22,False
secondfi_incident_funding,2,459,a6dbf1aa7292e11699e451422424c686e88b402233e3caca459c53db4ec6f16d,2026-07-23T16:55:43+00:00,22,False
