window,label,role,from_epoch,to_epoch,from_ada,to_ada,delta_ada
own_drep_genesis_removal,emurgo_official,own_drep,558,559,347702607.578918,267592726.106816,-80109881.472102
community7_park,waffle,community7,561,562,57202310.572966,62203555.416715,5001244.843749
community7_park,socious,community7,561,562,36358559.787183,41300943.257776,4942383.470593
community7_park,oc,community7,561,562,40010006.645564,46819286.222466,6809279.576902
community7_park,adastat,community7,561,562,24090276.930754,29097535.995868,5007259.065114
community7_park,hahero,community7,561,562,2109210.534069,7113512.827446,5004302.293377
community7_park,chile,community7,561,562,17822887.479952,23009361.925454,5186474.445502
community7_park,clarity,community7,561,562,7738589.079010,12843035.330911,5104446.251901
community7_park,community7_total,community7,561,562,185331841.029498,222387230.976636,37055389.947138
community7_removal,waffle,community7,577,578,60604098.733701,55716228.824836,-4887869.908865
community7_removal,socious,community7,577,578,39415670.937411,34412969.500670,-5002701.436741
community7_removal,oc,community7,577,578,46841848.637155,42335454.771270,-4506393.865885
community7_removal,adastat,community7,577,578,29260199.290629,24205026.424995,-5055172.865634
community7_removal,hahero,community7,577,578,5795674.485832,789429.122739,-5006245.363093
community7_removal,chile,community7,577,578,25938918.116014,21097068.285633,-4841849.830381
community7_removal,clarity,community7,577,578,15255132.515848,9232804.637113,-6022327.878735
community7_removal,community7_total,community7,577,578,223111542.716590,187788981.567256,-35322561.149334
