label,cip129_id,stake_address,min_depth,tx_hash,tx_out_index,ada,block_time_utc,epoch_no
chile,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,stake1uy8ud44xfpvqjth65tsgq8vz52av2en0uvewgv8ehvmucxqz8s37f,14,2843959bcb8b62e3cb0d44db78122f69eec04c95c021e80819f0b75f759b7ab3,0,2102.467673,2024-07-24 06:58:53,499
chile,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,stake1uyyqqqr95yvxc8pt6vq946g27kkrzg4udcemg9mjphrpgdqmugqar,13,c7ebf4a39e9991f7fb8533d7e18cbefc3cc9c2a3480d7d2b9fde993bc2cec3eb,2,65.487816,2021-01-20 05:27:36,242
chile,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,stake1uy8ud44xfpvqjth65tsgq8vz52av2en0uvewgv8ehvmucxqz8s37f,14,2843959bcb8b62e3cb0d44db78122f69eec04c95c021e80819f0b75f759b7ab3,4,5.000000,2024-07-24 06:58:53,499
emurgo_official,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,stake1u93nycq57vpythfk4katx33vpxw25ecgg8pxu6u8hhlqt8cpckp4k,14,7f667b8e8bf05579dd615f9c2c1140765247e3a22de6f3322e545cf1d3a1f3bc,12,497.300000,2021-03-01 16:11:19,250
oc,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,stake1uxqzvn7zqddp2vrexjmcpjl87vpxsmqs4etjkxdu7xxxaasyhj3m2,14,1e153f8e60d3ee11782f7c718b74290dd13cc28191126e53bf63908a6f0fa18a,12,2373.234825,2024-10-27 09:27:02,518
oc,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,stake1uxqzvn7zqddp2vrexjmcpjl87vpxsmqs4etjkxdu7xxxaasyhj3m2,14,1e153f8e60d3ee11782f7c718b74290dd13cc28191126e53bf63908a6f0fa18a,14,2373.234822,2024-10-27 09:27:02,518
oc,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,stake1uxqzvn7zqddp2vrexjmcpjl87vpxsmqs4etjkxdu7xxxaasyhj3m2,14,1e153f8e60d3ee11782f7c718b74290dd13cc28191126e53bf63908a6f0fa18a,13,2373.234822,2024-10-27 09:27:02,518
oc,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,stake1uxqzvn7zqddp2vrexjmcpjl87vpxsmqs4etjkxdu7xxxaasyhj3m2,14,1e153f8e60d3ee11782f7c718b74290dd13cc28191126e53bf63908a6f0fa18a,4,3.689360,2024-10-27 09:27:02,518
oc,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,stake1uxqzvn7zqddp2vrexjmcpjl87vpxsmqs4etjkxdu7xxxaasyhj3m2,14,1e153f8e60d3ee11782f7c718b74290dd13cc28191126e53bf63908a6f0fa18a,7,1.728310,2024-10-27 09:27:02,518
yoroi,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,stake1uymg6q3cs0uunlyjh3d8lce0gutq7xrucf8m2ndslwpzhwgheu557,14,ba7d6e5ca7a4ea952c701df94c2b63671798f7924d47d65a9b255455b0c63dd8,0,55000.000000,2022-05-19 03:05:51,339
