stake_address,cert_type,target,tx_hash,block_no,block_time
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,stake_registration,,ebb85e42e44bbaca11a8f23c58750ff02462aaac69849ad0b15be72cf02e2e34,6793963,2022-01-24 01:45:27
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,stake_registration,,b700d76e2da28f547bdeb727ee49a3e62cb5bfd43dd0f6ac618f10ff6ba32951,6794060,2022-01-24 02:17:11
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,stake_registration,,cc58bd5f2122f23720eebf5d0631b9486da6a00a934c62f81836899104979005,6794361,2022-01-24 04:12:41
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,stake_registration,,cd3d837c420720d668bac9c27b7ac8283233636552db40bdc9c39cc8d12059be,7024861,2022-03-21 16:52:25
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,pool_delegation,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,3272a925ad6f91b220d2bc093b68d5379adcf4765290df47704bcbca3d8dd0be,7024901,2022-03-21 17:07:58
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,stake_registration,,1ae42f68830b0c264981ede3ba38834b765fb1447a72fab57a77de7ff58eabd6,7024974,2022-03-21 17:32:27
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,pool_delegation,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,3e380479b4af50c95fbc2bedc567f1f7e95a8ce2e54f1f79c5e78db729d98f2b,7025006,2022-03-21 17:43:08
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,pool_delegation,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,246941e90333312a74a51a35906ac3557a3ef1aab3a084ac25a05a5c219454a2,7025076,2022-03-21 18:06:42
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,stake_registration,,826ee800fa9978dc07d61680b1d1369d8627395ed669096bdb63790e62a2c49f,7025077,2022-03-21 18:07:13
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,pool_delegation,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,ef18c0e8320e55c179fbc4bda0124aca17ec025d0c8d84155e7274bd4535f32e,7025099,2022-03-21 18:15:15
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,pool_delegation,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,2ae5aadee5275908dd6e54987c1da2ba4b2888aabcc299706949680c75cd097a,7025099,2022-03-21 18:15:15
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,pool_delegation,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,595cb49f24dbf782fefcc4b9783191c8d885450d64fa55d38a7a68163f5c91e1,7025254,2022-03-21 19:12:37
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,stake_registration,,64e3398fa8d1214a72958059dfd80f6893b4129229272a7c7dcc1010d4468923,7025275,2022-03-21 19:21:26
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,pool_delegation,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,d97f95f49f5c79a87a18928d52b306214341b08cb05a38797c99c181c25dcee7,7025313,2022-03-21 19:35:47
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,stake_registration,,c9cdc47b3892dbcd94d1005ed6e43663fa769baee77fabb853bae8ea5669acfb,7025313,2022-03-21 19:35:47
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,pool_delegation,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,4d3f094b197f3dc5adccd84ac91b98f93b327a28f6946914cf322323a59b3ca9,7025351,2022-03-21 19:49:44
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,vote_delegation,drep_always_abstain,aa6ad4ea3773d13ee55e85f3c6356f2705ed9e1faf43aa5d7b9b41f52ec76a0c,11463063,2025-02-09 19:57:02
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,vote_delegation,drep_always_abstain,d4428809fd698c19fb0f0747706f048534e7e17e2727a8d2b10bb8aa67b12109,11463193,2025-02-09 20:52:12
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,vote_delegation,drep_always_abstain,8d575b179bf08bb95a15d6cebb8a81acd287e238ed9ca9399084f852b2281b51,11463196,2025-02-09 20:52:57
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,vote_delegation,drep_always_abstain,3c30bee4dc09ba9cac652e56c55b008c18db64f6d15a1501287365449980f00c,11463254,2025-02-09 21:16:32
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,vote_delegation,drep_always_abstain,55e25a6af16fb022d2f54ff011ddd1faa6224926ffaab34b540a4351da6201f2,11463277,2025-02-09 21:23:05
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,vote_delegation,drep_always_abstain,0563804dc1c152737491665f7adee0b6620ceded56f544402e15933a78e7ce2f,11463364,2025-02-09 21:53:57
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,vote_delegation,drep_always_abstain,4de8ef7c2a37533a66fdfa7f039cdfd8750946030d947b0ba1e44117a4c79aa2,11463380,2025-02-09 21:59:32
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,vote_delegation,drep_always_abstain,290763264f494e8683051ea996cf767fbb6698e986f5244ae110e036b3b740b4,11464331,2025-02-10 03:23:20
