stake_address,funding_tx_rank,funding_tx,block_no,block_time,input_address,input_stake_address
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,1,b310dff6ef0264217caf5382ac431784b79eea8ea53b7b762b22a37f20e45c66,6808473,2022-01-27 15:40:53,addr1vytp5z04f5czljcuacl9s8285yc8ydxpdlu0ynxrcnlf3mcqpxmcm,
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,2,6793b703ba0b92a386853df0ab1ac50bd282a34315741479b7de2158c6c0a6b3,6808476,2022-01-27 15:41:18,addr1vxpknkgxmg7y8e73fvrszme04zgjngdjve7rwvh5n95yteq32dnu6,
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,1,937cee04be896de6ad419a2eee8997bdf2265c2f6446aed50c4e44d6a79d05e3,6812826,2022-01-28 17:23:12,addr1vyfdfla3288dc4gx0q732rg7fml0xjk7dvsng8hcgdc8xnccw92mm,
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,2,b6ba6fd463ded5ba6e33851e0b68adfa29337e1ec43d2acbb5104ac4de01bb3f,6812826,2022-01-28 17:23:12,addr1vysecq4cmen00v2mr7tnf36y4jnn2sdpxgp42gxdzvcw6tcewe8dm,
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,1,dd98c963c5a0aea100d0c1f87ab69eac11b639c58627a5a8217a9384fc18ea0e,6824133,2022-01-31 11:32:55,addr1vxxz6p9da0w80377u4ej3ysrf8ryx2eugx9ucf6d9cjmfrsmenkzh,
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,2,5329cdd79067790ecc788cf7baadf1c8df0d9665cce0f764bf00eb5ceda5a1a3,6824145,2022-01-31 11:39:05,addr1v8usgr7qvxpnyednc2hdj8j5depeqelsh9g88rl3ldpg54sssswfs,
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,1,a5e386214cc7190d279f64e1d70718859d4c7875475c02d6b28d83fd1b153411,6808475,2022-01-27 15:40:59,addr1v8z40jw29sfdh3z2vkygreq3qtjgwt0zjz73em2vs67tzggxdp0ez,
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,2,6436293372a96bec7d63e5881b330517e84260cc87a1f35896f23b2e973871db,6808478,2022-01-27 15:42:28,addr1v8x5vngmu2gdpd54xtwawwrqwg960ya5y0lyr4vy8g8rhuqudaev2,
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,1,10a196e43241e4f7215147f31d788b36a7cacbfcbd49a6c4e050366f0360f119,6824144,2022-01-31 11:38:37,addr1v9v79f5cur833974pqktwgsay87sh962x6fv4pwnjj7wn8sxjy4ew,
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,2,b7618e049c0dba7213bfd031ccbd5f135fad9b8205178be0d81cfd6d70fca411,6824144,2022-01-31 11:38:37,addr1v8jp85yc02wsaal8r8k2nnax73xl0tquckauf9ug5uwqf4qhr77tp,
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,1,454c506789b6a3b957859dceb8eb208dafbbe0cdfb45189e3691050d5325c955,6812795,2022-01-28 17:08:39,addr1v9eg56h45gcz30at79ee7fsgczln37v3pjcclpwtfln6l4s05fdrx,
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,2,ba7341dbc55768288e996750b42c3e9822d48e598e56abcb12c1aec128775545,6812826,2022-01-28 17:23:12,addr1vygh9dedm9ed8tt3mq0yy2ngdtuq6du6yxvsk728g9tdccge7ejc0,
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,1,ad3f700c1bc592c52155a9a82bda67e3cfde3497b4a9c91108df1aca581018d8,6824149,2022-01-31 11:41:47,addr1v969g0082eevna3vt2mr9et7tsp3tpf03t2vlevmm32yelqjyslur,
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,2,80b1f2b480acb14fbd5287f516f2c67a2e7c4dd13c6e62cb9f8307941b8d7e15,6824149,2022-01-31 11:41:47,addr1v96x4e2p9lvqhux8nfv0h4zp3c6wzj45txpvq2p4fn8gdqsnc7t87,
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,1,5ec17ca1c44dd82a8b4591e12883ccd74466456c8fe6ea0061e3cfc59961a88a,6812791,2022-01-28 17:07:45,addr1vy3z9d8ve0z2vux9u0pcg9adaa7e8drfnhr6xt0vunrx82c9wlr05,
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,2,2230dbd4ac9688a24297581d1bedb050ad92d46a63ea131e2293f5ac8236a5f4,6812833,2022-01-28 17:24:46,addr1v9yt4yu3wx8w7lffme346kuqh82z7rakuj3mex6ywt0n7zqu5fp2w,
