hop,destination,enterprise_only,txs,total_ada
1,addr1v95sf69jcfhnmknvffwmfvlvnccatqwfjcyh0nlfc6gh5scta2yzg,t,626,1101916778.441875
1,addr1v9u7va2sktlnz8dp3qadpnxxlv4m03672jy6elmntlxxs7q9nnwl9,t,1416,792034119.565017
1,addr1vypr00ss7hkqejmvh53xkyf0p9q0a4z2uprxmx6njc463vgst3pe4,t,58,27265013.110101
1,addr1v8v3auqmw0eszza3ww29ea2pwftuqrqqyu26zvzjq9dt2ncydzvs5,t,58,8477453.249359
1,stake1uxnfyqhzlqkhnapsj4lx4atsk0qv6meyggmh56pnmueecwg8xa9gt,f,2,6999999.639958
1,stake1u80ynx47qt2dt2w7vmazw9qpdyd6d8fr44jtejphzun5m6sdd05an,f,9,4781565.379811
1,stake1u9qsg4p603amlkmrvnhzfme87gf82fj6f3asvxzhx6yk7ms6xjjfa,f,3,4678311.193164
1,stake1uyzawt8zx5wzt6el0v2pjy5ftlrdfze0vw5tn4g5a9zg3ssd3acff,f,3,4659109.773710
1,stake1u99yurkzdur22pazfpfthe2gu3rausz6cfll0fnc9w46flcnllj43,f,2,4552538.874260
1,addr1v8nuaewwcsuu69jpgxjyayq3pyeqly5ftsxrsalnf2s353sul0t0x,t,1,3299494.996519
1,stake1u8tkr4lx97lkqw77apqcwfzkncfmd68xcarg9h2zeht2dxgh29hgn,f,4,3203213.741864
1,addr1vyykn570e6x0weurljw8dlra8xux24025xaawny309kpe9scylfv7,t,1,3144814.019652
1,stake1u9xkxdzv8f275qx8scx8v7qt0qrzyf804lczcp0fayq375s4d6az0,f,2,2782326.831514
1,addr1v8ujjewjl28fghnuza7ce0vgdy30z3zkw8tpdxptgzz5wmga6aj69,t,1,2781743.303192
1,addr1vyw0yprjs9djdyjkkujgfwte487z7jr6qp7jef0uef5axqqttxhf2,t,2,2714063.730156
1,addr1v8kd4pahsj0rsr5hrxpuaj0735tgjfdljesp7p8xa0jn6mcpy7k8k,t,1,2710809.312052
1,stake1uxz94d5eke582wwjc4f4n7ec6ddkdeldw4xk66yupx76fssl3r6f3,f,2,2603506.819979
1,stake1uynsac74dcvw940vk86wgkzxu80emld2tmwlwut470h5t5q026fhw,f,1,2457765.602169
1,addr1vyz8c8mt6msgcee4uw953q5wqz2e0pm2x3h26zwapnwsj3gal78st,t,1,2414572.597330
1,addr1vyyh499hk97j72ugcrylmr2l8t0yuyw83g4kzeuzyhrw32g622nzw,t,1,2414572.597330
1,addr1vyt0j08qntyndlcdspl6xwa0gcadrlwmugyj2htxap3enqgcu6c7f,t,229,2398168.957514
1,stake1u9cun6zrn0rllpdtvj0par7m57752tp583vvsf3rhgnahtqxyd2qc,f,2,2386458.431844
1,stake1uyd3ccjka7d7ykkyglmqr4j7zjudz08f7vun6pegp33ffxgvg2jyu,f,2,2310997.714132
1,stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,f,1,2246458.548498
1,addr1vx69usam0yyklpmxyknnzt0vurguqlxn848ckayvuq96p9qs6hp00,t,1,2214818.459112
1,addr1v9dh893nd5r63stnda3866rwjmjcwuakft8u5sdxfunyjkqlumhxc,t,1,2153037.106417
1,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,f,11,2140863.129488
1,addr1v8449883nj6kw0w0p98rsddfhsyc58uaz6f6yh8ld7t4cxgs053aq,t,1,2083705.885387
1,addr1vxwcyr225eaz97dqjldvkdw7t63ep5v32k87sf04mrw7k6gsc0zn5,t,2,1988564.330289
1,stake1ux739px6jsqdewgg0n53dpamgpl58kyyulhpr6wksxu2yssa8t5ry,f,2,1754999.639958
1,stake1uy0hctwkd0kqxry2xk95gvkednek4n0zvfy4cpxwhh875xqkdsp36,f,1,1747529.384106
