stake_address,first_round,withdrawal_txs
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,0,307
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,0,308
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,0,307
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,0,307
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,0,307
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,0,309
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,0,307
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,0,307
stake1u82k3t706l77fncvq2fn49specvp2q74dvlf7jkdur8wkwqf9u75v,1,201
stake1u839gnp9kvyd8hhw3nskp08wt868y0fnjdncp0psyyykdusjh7s5j,1,310
stake1u87tyxdzrn9mqth4y5ejm6mcfqnq52dzjvz04n9s8j0fn6sdrxhaw,1,196
stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,1,308
stake1u8crtndmpus4uqq4u3yg6z2y3a402rwym450cjz7r6dnq0cgqzsgc,1,111
stake1u8e2z3hujdqrvl2zc9p4qwh4vk5zykdxwg2f8qcgavjs60sfahv2j,1,307
stake1u8ejjt3u55lepswcfau5sy9j93fyxrvq76gtnahc8hsfnfs3tf70j,1,208
stake1u8f6v24kuva0lyn3v7wtx2d8kmxtq474cznuekj7vk2zw0qhaw5js,1,18
stake1u8m8lgr5u65kdhc3u2p7ahxdtj7cwh2lxgjemy7975emyqs80f929,1,129
stake1u8n0pwlvha3rnhfdqvpwe00jktkh2lf6a0dg09tthrqrwpslghaq6,1,268
stake1u8n88jdmchazhgd23mwc3cezsf6mmmk4f3k69pekg8yd4acpnzxyd,1,308
stake1u8nfjumfactw34nck4hpsrrz8vtcvqjx25rg3ejwmdgjk4g7hf2wr,1,281
stake1u8tkr4lx97lkqw77apqcwfzkncfmd68xcarg9h2zeht2dxgh29hgn,1,212
stake1u8v4y8vxxlcd2lxkj34vgdtyzq2q4tucjfeq3gd8r2mflqsxw7vur,1,14
stake1u8vfctapg79ytgtnehsm3rx8rwqt9k3tzuav6dz0qjhc2usfqfrcm,1,113
stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,1,307
stake1u8zp3xhrfyc8dnp23fdf024g3xnce5lgxe33ak636ufxhngc69s9c,1,286
stake1u909uw2aey5ccvkltvjtreqt9vpqeul9zxryuzfj94x3vsc6ekql7,1,94
stake1u90k27vvycsnksgwrslmqryqyweh79r3zcp5hh2t92n65mgkqezp5,1,307
stake1u93fwlmwsuyyt325kkd7peqh77lfmvf72e6gksm34ysw5cgvlny2q,1,222
stake1u94hd85km4c2dsvu59pfmwzqjjdqm6ph2xlqpuyg4wc77ds6gq28k,1,16
stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,1,308
stake1u97sjjensye59uvlcgxnacm974kgeenpldlpuayvlp7peeswf2pw8,1,215
stake1u99h97gvv3mar3cwh3nzxttnqh959fwcms3z9wpslygv70gn5p6xg,1,308
stake1u99yurkzdur22pazfpfthe2gu3rausz6cfll0fnc9w46flcnllj43,1,270
stake1u9cun6zrn0rllpdtvj0par7m57752tp583vvsf3rhgnahtqxyd2qc,1,244
stake1u9ezcu22ysh0kzqrkwdg57gu8dztghz4v8sz47mur4m0gggfhcg6q,1,270
stake1u9hvtsfujlj7yqf9e6n4vhhj62zrrrkylrtk7x4l679fhcc9jdkay,1,295
stake1u9mnjnz0vw2c7dm9g5nqgthse4us3ae6t8wdrfanp8gm6hqhw5ydx,1,215
stake1u9p6rw23vxyt8vj85zctk59e3l5m93hszhmrhlyveu4r8jgcnecxg,1,215
stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,1,307
stake1u9qsg4p603amlkmrvnhzfme87gf82fj6f3asvxzhx6yk7ms6xjjfa,1,277
stake1u9syjjz72yumjuus538m0ktrfgm5jy4ly3zy3xk08m8k93c4put4e,1,112
stake1u9xkxdzv8f275qx8scx8v7qt0qrzyf804lczcp0fayq375s4d6az0,1,131
stake1u9xuuarxury6acd82efafgav5zxv8jjn9kx7dgnc7vqmxgca6vspq,1,273
stake1ux045sg3s2xd283d66xq3w22lyd89mtzy8lhcwjt2upxdwq90z9xv,1,13
stake1ux24wray2ta04tp2n2lpwpy5psesalc0qv2lvyze3rqw9mqjp2ylt,1,308
stake1ux4cr3llg2p20yxvgawlvqdx09n7yg48ty5yzp6jttckmjcdfckj4,1,16
stake1ux56fz2fqdycds6gquldk2tpkuyyp8ntlmp86jp5lg9qz6s90hyhh,1,16
stake1uxe4t8cpsftrxrylxv0dqvr3709z8xej88eq4jwm25yyuwckfxrgz,1,293
stake1uxere7r6krpajagpe26254pknqraalm4ungtlc2gzy4j09cuqfyne,1,197
stake1uxf8u49a6p8plqfj5jf59739wdy3ksgtu3t2p6nfdf7uvkg5w0fac,1,15
stake1uxghxrup8sec7n5zsysjrvgextaj62mfy3n5078mu3zaxlgj3crd6,1,111
stake1uxgncgzw3009p07r9e0rs6n0f50asnch069gj6aydh0l50qgh84np,1,13
stake1uxgprz3q4hcjaw7uux7u8vkrlmu0t2fdul4skkmpwgzdskqujw746,1,308
stake1uxgvmw0xzepg6lxh7vurkwfmhmckvyf60ld58ak3tugzhaqt6mmqr,1,237
stake1uxldwgnlv6ktx29xknutvf353kfrqymf8xgn36zj4v9h55g59w69h,1,113
stake1uxnahfm744jqetweykux94225r23zenvwal35pzdx5nk7ncel34hk,1,305
stake1uxnqywfn4puhs25hs505suku79mg8fsyfhg27w4t70lwdnqst0ztk,1,94
stake1uxqzfuvxfrlval94umaaelljmnrma7hvyzh57gckztv4qfqa249an,1,15
stake1uxtnm2vyx8yw8hdetyzpt8w3emktfkkdv8wu7g6e5pu38cs39hthf,1,17
stake1uxumqen09wpy75yz2un4r6m2q62xdwt7s8nnxujgyrgyrmscg76tt,1,253
