stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada,behavior_class,root_combo,dormant_years,never_spent,principal_static,keys_alive_recent_cert,recently_active,rewards_never_withdrawn,institutional_passivity,batch_operated,currently_holding,custody_pattern,fe_control_consistency
stake1u839gnp9kvyd8hhw3nskp08wt868y0fnjdncp0psyyykdusjh7s5j,130,110,35000002.396360,2021-12-09 23:58:03,2025-04-07 13:11:16,2025-02-18 20:10:06,t,4,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,2022-03-22 22:23:13,330,1,drep_always_abstain,2025-02-09 22:21:38,3873977.891404,641,310,3865004.779571,2026-06-29 01:03:24,8973.111833,,,1.37,False,False,True,False,False,False,False,True,MIXED,MEDIUM
stake1u8n0pwlvha3rnhfdqvpwe00jktkh2lf6a0dg09tthrqrwpslghaq6,34,23,35000002.396360,2022-10-07 12:00:59,2025-04-07 13:11:16,2023-06-13 00:40:13,t,1,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,2022-07-27 00:16:32,355,1,drep_always_abstain,2025-02-09 21:18:21,3280931.708379,641,268,3269672.754512,2026-06-29 00:17:11,11258.953867,,,3.06,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1u8n88jdmchazhgd23mwc3cezsf6mmmk4f3k69pekg8yd4acpnzxyd,21,16,35000002.396360,2022-01-27 15:40:53,2025-04-07 13:11:16,2023-02-07 21:30:24,t,1,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,2022-03-21 17:29:02,329,1,drep_always_abstain,2025-02-09 21:16:52,4082361.447526,641,308,4072673.394460,2026-06-29 00:07:08,9688.053066,,,3.40,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1u9ezcu22ysh0kzqrkwdg57gu8dztghz4v8sz47mur4m0gggfhcg6q,10,4,35000002.396360,2022-09-27 12:00:16,2025-04-07 13:11:16,2023-02-16 20:30:24,t,1,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,2022-07-27 00:05:49,355,1,drep_always_abstain,2025-02-09 21:14:44,3073163.229556,641,270,3061904.275689,2026-06-29 00:06:35,11258.953867,,,3.38,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1u9hvtsfujlj7yqf9e6n4vhhj62zrrrkylrtk7x4l679fhcc9jdkay,76,17,35000002.396360,2022-05-19 21:31:05,2025-04-07 13:11:16,2023-01-24 21:50:39,t,1,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,2022-03-25 21:35:58,330,1,drep_always_abstain,2025-02-09 21:19:23,3850562.953002,641,295,3836910.144549,2026-06-29 00:59:36,13652.808453,,,3.44,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,54,35,35000002.396360,2022-01-27 15:40:33,2025-04-07 13:11:16,2025-03-19 00:10:21,t,1,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,2022-03-21 17:30:06,329,1,drep_always_abstain,2025-02-09 18:54:09,4080476.399307,641,307,4070788.346241,2026-06-29 00:24:05,9688.053066,,,1.29,False,False,True,False,False,False,False,True,MIXED,MEDIUM
stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,71,45,35000000.000000,2022-01-28 17:24:46,2025-12-17 12:00:49,2025-12-16 12:01:16,t,1,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,2022-03-21 18:50:07,329,1,drep_always_abstain,2025-02-10 02:00:16,3912362.793218,641,308,3902103.269917,2026-06-29 00:34:13,10259.523301,,,0.55,False,False,True,False,False,False,False,True,MIXED,MEDIUM
stake1u8e2z3hujdqrvl2zc9p4qwh4vk5zykdxwg2f8qcgavjs60sfahv2j,23,10,35000000.000000,2022-01-31 11:32:55,2023-09-28 08:44:19,2023-08-10 20:40:11,t,1,pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,2022-03-21 19:14:40,329,1,drep_always_abstain,2025-02-10 03:05:33,3768660.913262,641,307,3760114.309679,2026-06-29 00:04:58,8546.603583,,,2.90,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1u8nfjumfactw34nck4hpsrrz8vtcvqjx25rg3ejwmdgjk4g7hf2wr,26,2,35000000.000000,2022-07-28 00:01:43,2023-09-28 08:43:16,2023-03-06 20:00:12,t,1,pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,2022-07-26 22:17:13,355,1,drep_always_abstain,2025-02-09 20:55:11,3182894.846897,641,281,3171921.376907,2026-06-29 00:11:39,10973.469990,,,3.33,False,True,True,False,False,False,False,True,CERT_ACTIVE_PRINCIPAL_STATIC,MEDIUM
stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,124,72,35000000.000000,2022-01-28 17:07:20,2026-07-01 20:01:40,2026-07-01 12:01:06,t,1,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,2022-03-21 17:58:39,329,1,drep_always_abstain,2025-02-10 03:27:40,4042218.540674,641,307,4034815.805565,2026-06-29 00:01:03,7402.735109,,,0.01,False,False,True,True,False,False,False,True,ACTIVE_MANAGED,MEDIUM
stake1u8zp3xhrfyc8dnp23fdf024g3xnce5lgxe33ak636ufxhngc69s9c,372,57,35000000.000000,2022-01-27 00:45:10,2026-03-18 12:00:45,2026-03-17 12:01:37,t,1,pool19zz6frugmvm82ecgl5hh5vq3093d4kzr4h2r5vfmt6la7trk929,2022-03-21 17:06:49,329,1,drep_always_abstain,2025-02-09 21:56:03,3765186.217687,641,286,3754092.247699,2026-06-29 00:20:39,11093.969988,,,0.30,False,False,True,True,False,False,False,True,ACTIVE_MANAGED,MEDIUM
stake1u90k27vvycsnksgwrslmqryqyweh79r3zcp5hh2t92n65mgkqezp5,25,11,35000000.000000,2022-01-28 17:08:45,2026-03-30 20:00:50,2026-03-29 20:01:07,t,1,pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,2022-03-21 18:41:57,329,1,drep_always_abstain,2025-02-09 21:40:23,3925098.165856,641,307,3914286.200464,2026-06-29 00:33:19,10811.965392,,,0.26,False,False,True,True,False,False,False,True,ACTIVE_MANAGED,MEDIUM
