stake_address,selection_source,selection_snapshot_utc
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u90k27vvycsnksgwrslmqryqyweh79r3zcp5hh2t92n65mgkqezp5,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,data/small/genesis_control_indicators.csv + data/small/iog_current_bag_depth14_current_utxos.csv; fourteen approximately 35-million-ADA credentials with IOG-root graph reach and February 9-10 2025 auto-abstain certificates; selection is not owner attribution,2026-07-03T15:12:42.348269Z
