epoch_no,drep_id,drep_hash_id,has_script,amount_lovelace,active_until
630,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,134926610986471,649
630,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297658317221860,649
630,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,694230466730450,649
631,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,135057725828280,650
631,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297703360310442,649
631,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,694428977488103,649
632,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,135797564570006,651
632,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,298890345096918,649
632,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,692941715496004,649
633,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,136361668844053,652
633,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299340336437676,652
633,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,685823637762046,652
634,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,122096060754462,653
634,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299458546829061,653
634,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,682357757571328,653
635,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,122208979174425,654
635,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299374924197330,653
635,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,686792541366122,653
636,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,122712589733895,655
636,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,300739754415260,655
636,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,681707366937843,655
637,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,139648348807569,656
637,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,301306424413266,656
637,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,687388091959458,656
638,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,140132534025364,657
638,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,301224050038941,657
638,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,687319375653810,657
639,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,138730960089136,657
639,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299022461240895,657
639,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,623316275322344,657
640,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,134663122023465,659
640,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297720207470339,659
640,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,595013768459950,659
641,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,135120677893128,660
641,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297449540497611,660
641,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,592343529715922,660
642,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,135085379644070,661
642,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297658870585837,661
642,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,589261562140253,661
643,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,135089894628240,662
643,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,291945636419535,661
643,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,586582517732492,661
644,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,119761396289380,662
644,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,292553978179064,661
644,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,585734577554284,661
645,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,120173519015554,662
645,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,292954635284950,664
645,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,584209992468603,664
646,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,123472276777037,665
646,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299148689623875,664
646,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,575257287767200,664
647,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,123725359154373,666
647,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299705839353159,666
647,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,575047224118372,666
648,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,184565072547113,667
648,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,299838950484345,666
648,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,574100505915022,666
649,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,212619623856317,668
649,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297193174100085,668
649,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,568893909725040,668
650,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,168414736144612,669
650,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,297943845136801,669
650,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,565846926872207,669
651,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,151806488190619,670
651,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,305822286605395,669
651,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,520059246092855,669
652,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,True,156490843101688,671
652,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,False,305530034553069,669
652,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,False,480039578308013,669
653,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,1,False,28030404335671,672
653,drep1005j6qnpqgr2yut8ttsw9xm6d7k9gflx7v2gv90gm9n75kckykw,233800,False,31998534179,652
653,drep1025p6hdcn0rf9lqdy39fnsjcw6qg2p4hhwmx65xc63352p5r0gn,45460,False,8360329268,627
653,drep1029z4azgy00vflahgxrl57hyl3tegdfg0f4mwf3aaw8pvj6yvz7,80219,False,9599023665,577
653,drep102ma5zshyyrq9tu88jt9m9uq90jknpy44qz8hx9u6gqkw3edk8h,38706,False,75655919775,591
653,drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,15647,False,9102376278319,670
653,drep1046w7grta8lthzgu0w9lfnrfmdpjttxm82mm92ckyl0d7uzpmqy,100682,False,40370993571,586
653,drep105mh7rrg8a9sr8grxc3y48gsxx9y9f9tk65xmu6yvc44j485h4w,37317,False,182651401524,669
653,drep105w7lnhdmmh5wjqzsqgw556yrejvftyvcnm5wtk06jpvvksmrql,45666,False,233241918998,664
653,drep106asgfntqf5snyw7glg3tk9a2gh7epcps7kf98j9ma4czh2r0f3,2244,False,688613138,672
653,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,385,False,37713710308061,664
653,drep109sf5yy88t6lqrgtfw2uejek9z7kqqupzwckexp4e25a6j28a5v,835,False,75472059565474,665
653,drep10cqahpqn3nn675v2frg2cxuxw4rj5uulwtndu7zehx5u7cgrpzy,35201,False,28210484,554
653,drep10cqhv3y7tlxnfvcp7szjmnz96uy7p0tafhdxmc4kwrqs2aw3el3,43191,False,15769904368,640
653,drep10dcpamd0jtdarav03rxr93n5h2h6ru22aatyjjurdxs97dpdrut,31935,False,13315866378,551
653,drep10drqha0e3pp9t4uyzea0s2zan7jn4uzdsqnk4h8x8tf4ydkpm9y,232728,False,914526436,652
653,drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,146,False,23622272292182,672
653,drep10gpmv8wl5lyrwxxfz3jsw3a2wh8aca2stz42u8mr67gcyggvcwg,254478,False,138287760015,666
653,drep10hlfldxwgp2v0mtu2y45zu8t7yx73epxd6g2yqw6ssquqlh4ex5,25481,False,2152897245,576
653,drep10mcdmtwl3l9tmdf45u9relvnf56x43tags0kxrmuqvs45qrrc8w,42808,False,1702324651,559
653,drep10n5ehrl443sfx087kc9r2nl8r9kkl5g62zu02uzz6z9d6eq73xk,38519,False,29334341800,656
653,drep10qrpf8sn3tjqrm5srqcdqvds8qxml7g4juh7h9ktzexkgf2tvtx,54051,False,74281252197,587
653,drep10sac7436zwwrvec4quflqp802wzgl3a8uzq5rx83xvwe223cvnu,1772,False,1122307919577,663
653,drep10u00mwgtfq0u00dh3qpca8mtm7njacpvep5ytajxcspfj0dwusd,90854,True,527134924,582
653,drep10vgl6j92azmx33y9dlqq50uj97yaxnjss2yqtx22mky27lfwmp2,257063,False,2682958079,670
653,drep10vv3ds52qvgdg240xs0kllrsnvpzwwx9khjgtj49u0lmga5mde2,112360,False,23121664177,597
653,drep10zuh3t7uhxzgu5arszl5sf9qtkprdufsacqpmmacrmdyg3s0wdv,82056,False,22163269307,578
653,drep1207q6lyfjxw266kjrzhec02u4ceynx9y5nla4fypyta0u4vdmhm,43955,False,39765425146,646
653,drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55,2022,False,1016678814613,672
653,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,1570,False,82290495863151,671
653,drep122nnpfmsaldvuxkvy8tuv07cpfavjrwrycagxl7f6lxecfymazh,65480,False,614573770863,571
653,drep122rgx3yhs7awjuxfe8kza5fz9qhyag7pdmfan55kh9gnc8394zp,120,False,360866208,529
653,drep123rfujrtx67l5sxmr8mc7mh3qgm98j5fpa7ju5mjw7xvsy89nep,21921,False,1667566731240,655
653,drep123yjzps6k4h0uqv0athzm2tayy0fp5j9zp8f8c246d2x2gx0u6f,83574,False,63110202280,655
653,drep124hypkp8vazlxywzughq2y04umz649rshfkhwyzyc093ytv47ct,17426,False,97749431,543
653,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,6,False,34329726700189,666
653,drep126500kjc03c4sag4xwh35cpj9s7r5s3p8efckr8vy997sc9zpvh,49580,False,50483727493,559
653,drep127cju8sfz0ly2v4sl4xfuv96n8jhcm6epwyn9ppxgrd3w6c8r28,53162,False,600495665947,577
653,drep127egenn6ahk7ukkv3jafzr8k6tyspyhyz8qhx3dpmgtl2q87nse,457,False,91787156002,529
653,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,42,False,805668941070,668
653,drep128gmu25l3n4ypzm252rfhlhy8lx5kaaa9ht55n2wwngc6vfj8ze,115962,False,315723827672,591
653,drep1294mgyvmvt42asr3vchq23vf6zhcgy8pnwxer9eguxfujmqhx8y,32500,False,4268739,558
653,drep12986jd4g2c98f4wpmknpqsczf2r4227ve3l3c8q406305r3j4x2,108559,False,7704563,589
653,drep12a486rxd2zy6e8qefuwls7nuwc9h8u43c580q0rjf0xdjhlqge6,12118,False,3787676841,539
653,drep12a70cvh5tw5phkuhrvzk2ugg3vxdxsq5xsd4ysvgjshezsqeawh,1915,False,802921673029,655
653,drep12c4pxse36uk0986hgf3n08raacdxd79hrk7g6dcxs8sgqp4zjhz,138814,False,105760359,652
653,drep12dslal3veyszs8k8rnkaluk58l88cx4errkaksu3n9px6r6nkhp,52839,False,203702589,561
653,drep12fqtgzqxflrl6e8vqz6v896gu2cgeu5jmcjrtds5whl475d9l4m,160541,False,329217250471,611
653,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,1406,False,3861609747056,579
653,drep12fxzfx0eqxg8v6slzxmgzed2qlhwg8dyksluu0lpas9czkjn062,28344,False,10166169820,584
653,drep12g65mc0m2j3xjm83uyvedj5qgaa9av94uuvgkqsvzcqk6p3wz02,59796,False,25368816,567
653,drep12jc9gwq2r4et8gc5zf3nwtpmud340l3wcmfgeatdwej5kgf4qyr,59340,False,26914986071,567
