gov_action_tx_hash,gov_action_index,type,submitted_at,ratified_epoch,enacted_epoch,expired_epoch,dropped_epoch,anchor_url,title,requested_lovelace
15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916,0,InfoAction,2024-09-03T19:45:50,,,514,515,ipfs://QmWjcHsrq9kKHZZ7aPPFjqN6wLuxH9d8bcqssmrE7H4cvb,,
59fd353253eb177e2104e8f23ea4c63e3d32ef95c7865d03e90d3884424dc1db,0,InfoAction,2024-09-18T15:24:42,,,517,518,https://c-ipfs-gw.nmkr.io/ipfs/QmXdfDSSkR8TYBntMT4nuTL9sE9E44FJnpWVpaY8ZTfwjj,Cardanoの生きがい - Ikigai -,
7fd6429add8f2611ad8d48c0cc49101463093aec285faea402e8cfde78ea58d7,0,InfoAction,2024-10-11T16:29:28,,,521,522,https://raw.githubusercontent.com/bigpey/CardanoGovernance/refs/heads/main/infoAction3.jsonld,Should K increased?,
51f495aa23f4b3b3aa90afde4a0e67823bb7ac4ac65f5ffbb138373b863f2f74,0,ParameterChange,2024-10-31T18:18:24,,,525,526,https://raw.githubusercontent.com/IntersectMBO/governance-actions/refs/heads/main/mainnet/2024-10-21-ppu/metadata.jsonld,,
b2a591ac219ce6dcca5847e0248015209c7cb0436aa6bd6863d0c1f152a60bc5,0,ParameterChange,2024-11-05T17:41:59,525,526,,,https://raw.githubusercontent.com/IntersectMBO/governance-actions/refs/heads/main/mainnet/2024-11-04-ppu/metadata.jsonld,Plutus V3 Cost Model Parameter Changes Prior to Chang#2,
fff0df644d328a5367212f45bab59060bde3c4091dc96c723062896fd6197314,0,InfoAction,2024-11-20T09:51:07,,,529,530,https://raw.githubusercontent.com/IntersectMBO/governance-actions/refs/heads/main/mainnet/2024-11-19-infohf/metadata.jsonld,Rename the Chang 2 Hard Fork to the Plomin Hard Fork,
0b19476e40bbbb5e1e8ce153523762e2b6859e7ecacbaf06eae0ee6a447e79b9,0,HardForkInitiation,2024-12-21T11:04:42,536,537,,,https://raw.githubusercontent.com/IntersectMBO/governance-actions/refs/heads/main/mainnet/2024-10-30-hf10/metadata.jsonld,"Hard Fork to Protocol Version 10 (""Plomin"" Hard Fork)",
8c653ee5c9800e6d31e79b5a7f7d4400c81d44717ad4db633dc18d4c07e4a4fd,0,NewConstitution,2025-01-30T17:17:38,541,542,,,ipfs://bafkreiehcekhhsq34ccezwn46brg3euj6tbs4g4yjkav34ukqvbnzaya2a,Cardano Constitution to Replace the Interim Constitution,
941502b0aa104c850d197923259444d2b57cab7af18b63143775465aaacc84f5,0,ParameterChange,2025-02-13T13:32:13,,,546,547,ipfs://QmcKQggcpouuhAAvUYGDzoKgMwbZSkWqiEeE6c67SJ3kEq,Decrease Treasury Tax from 20% to 10%,
56f39054758f1a3cedc1de9225d66bf270b62dfdbfbc5399f1d6d43aceffc636,0,InfoAction,2025-02-28T16:23:20,,,549,550,ipfs://bafkreiada4nn5eaezg43esieduks6l57vzkjdo2yfby7yxv6jrat7ilrdq,Defining the Cardano Vision and Roadmap for 2025 and beyond,
