fe_control_consistency,custody_pattern,stake_addresses,current_ada
MEDIUM,CERT_ACTIVE_PRINCIPAL_STATIC,8,280000000.000000
LOW,ACTIVE_MANAGED,8,266631689.327185
MEDIUM,MIXED,211,183419636.633222
MEDIUM,ACTIVE_MANAGED,88,147994610.709219
LOW,DORMANT_2Y_PLUS,228,28720702.484473
LOW,NEVER_SPENT_COLD,96,16157759.076669
MEDIUM,DORMANT_2Y_PLUS,119,12958635.581821
LOW,MIXED,22,1061991.996526
INDETERMINATE,DORMANT_2Y_PLUS,112,55833.056663
INDETERMINATE,NEVER_SPENT_COLD,121,41051.965254
MEDIUM,NEVER_SPENT_COLD,1,20382.535821
INDETERMINATE,MIXED,27,10458.764435
INDETERMINATE,ACTIVE_MANAGED,7,2709.733077
