root_seed_id,drep_id_bech32,distinct_stake_addresses,delegation_cert_count,first_epoch,last_epoch,first_observed_block_time,last_observed_block_time,source_files
cf,drep_always_abstain,239,280,507,621,2024-09-02 00:20:23,2026-03-27 06:46:51,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,31,33,547,615,2025-03-24 19:25:21,2026-02-26 18:43:14,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,21,21,514,607,2024-10-08 03:50:47,2026-01-19 09:34:49,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep_always_no_confidence,17,17,507,596,2024-09-03 16:57:01,2025-11-22 19:20:21,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,16,17,509,535,2024-09-13 13:22:28,2025-01-22 18:44:12,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,13,13,519,589,2024-11-01 14:34:34,2025-10-19 21:37:18,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,9,9,518,576,2024-10-28 16:03:13,2025-08-13 07:03:08,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,7,8,515,580,2024-10-12 01:03:26,2025-09-05 19:02:33,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,6,7,530,594,2024-12-26 18:45:07,2025-11-14 12:48:10,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,6,7,507,597,2024-09-03 04:29:46,2025-11-28 06:14:04,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
cf,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,6,6,508,537,2024-09-09 15:55:57,2025-01-30 18:49:38,legacy/2026-05-20-pre-v2-import/data/raw/cf/drep_delegation.csv
