root_seed_id,drep_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,drep_always_abstain,216,20715088865004,20715088.865004
cf,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,20,10133786343411,10133786.343411
cf,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,12,9983673354278,9983673.354278
cf,drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j,1,7227053473055,7227053.473055
cf,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,13,5347262937789,5347262.937789
cf,drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,2,3491447114098,3491447.114098
cf,drep159gyj5naypamldy257r9g8hsmj8caxrjdw8j3ez0zl0qqu23zd6,1,2703214180533,2703214.180533
cf,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,7,2637726452675,2637726.452675
cf,drep1sy4x93yl9c6q59ewmhxpkumkjnlz8th4wfetddj8lzryvsu7hqk,2,1510147359309,1510147.359309
cf,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,30,1507271441254,1507271.441254
cf,drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,2,1161001000000,1161001.000000
cf,drep1nw0s4rsananj6d473p9uz9yh08jlpl8krc2gxgv2enrg6vuem45,1,967788111702,967788.111702
cf,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,2,792019620090,792019.620090
cf,drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,1,728851709979,728851.709979
cf,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,6,644383004751,644383.004751
cf,drep_always_no_confidence,13,583591220958,583591.220958
cf,drep1kwquh5nf00lfhxmxafd6y6pgc25fvm0d8xx2rtaymtpjgyjagzn,1,545689660645,545689.660645
cf,drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,1,526807000719,526807.000719
cf,drep1rzyq8kfvk2wkymvj6rhxttelrwrky8mad2cz6kajehtz20uev0x,1,500996806031,500996.806031
cf,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,4,447585313239,447585.313239
cf,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,5,334825865112,334825.865112
cf,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,4,330427665482,330427.665482
cf,drep1alkaplr0l7lt9fva4zrduvke22m8tsntw380p2ery9w7gpf74km,1,286277410212,286277.410212
cf,drep1mvn7l9djdckd533eql2rxx42wr93sdvdzwp3zmz4j8h6ss7vkfl,3,257062696656,257062.696656
cf,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,6,237887568675,237887.568675
cf,drep1duf9wj2007jp8zd2k2khq69ppykwq68zsp8vksselwaj5nvnr3n,2,224694492282,224694.492282
cf,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,3,208210428928,208210.428928
cf,drep1nha38e3edus947xvjlgfurt3zgvh60jnwlqszwfgeh79746tqec,2,206631648995,206631.648995
cf,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,1,147496681289,147496.681289
cf,drep1ef0pqfwpc8qlfvq22qxflz0jzhtxcxx3ufj3ck8z9mupxjcsz3v,1,129004518314,129004.518314
cf,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,2,114374262127,114374.262127
cf,drep1pldju6te2rttusf9lq52fzjk6vscq6zsl9z3tlskwwwgxz40xcd,1,108732862545,108732.862545
cf,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,1,103812496251,103812.496251
cf,drep17c2cvvx6d2xxwwwea6d9w4g8jnzprnxs3ag8mawf45kvvswfhgj,2,95644884072,95644.884072
cf,drep1f8dqtkx6snn7wn7ygdsyxqx5q2x0kmak5je4jvpxmx36y5qvcup,1,54027004523,54027.004523
cf,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,3,45156314204,45156.314204
cf,drep1gszrx2zmplzan8e960tlhrlyutwlmmpgtp5h8xukzvr5zasda2p,1,41787992567,41787.992567
cf,drep1ghq6tzqa3wn24pmnmspz7l8u7jauxatmqvquekt95v7tzupktt7,1,34095928203,34095.928203
cf,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,2,31813220840,31813.220840
cf,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,1,30000000000,30000.000000
cf,drep1mkmnzmtlflcadyyy7g6ju3sn9ppcrut5wn73x00mfwmw642g5qy,2,25303343071,25303.343071
cf,drep1kl4yss3v5qsw9j9smpakfcwhm7yrw0zkv3es80qx73wl5n09y59,1,21034188070,21034.188070
cf,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,2,17962175180,17962.175180
cf,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,1,10931141500,10931.141500
cf,drep1vjwg9fm0h8f0qeg7txujermuzcum8tnxrafpqjj23yr02urhgjy,1,7061000000,7061.000000
cf,drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,1,6063470107,6063.470107
cf,drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,1,5121689747,5121.689747
cf,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,2,5058467129,5058.467129
cf,drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,1,2197020930,2197.020930
cf,drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,1,1999400000,1999.400000
cf,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,2,1998000000,1998.000000
cf,drep1e7uj4v5klc5vgllc637a92v4wupq6h5qc55zelk2zmjcuhqgfn4,1,1965169283,1965.169283
cf,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,1,999000000,999.000000
