snapshot_utc,trace_schema,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,trace_value_to_drep_power_ratio,min_depth,max_depth,root_overlap_summary
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,,,,,,trace_only,31120,31120,287837915117467,287837915.117467,,7,14,cf; emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_abstain,14,640,9222311038820501,9222311038.8205,coordinated_like,1381,1381,162427472957379,162427472.957379,0.01761245,8,14,emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_abstain,14,640,9222311038820501,9222311038.8205,weak_behavior_signal,1956,1956,108681151151749,108681151.151749,0.01178459,10,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,,,,,,weak_behavior_signal,29184,29184,105616011980122,105616011.980122,,9,14,cf; cf+emurgo; cf+iog; emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,,,,,,coordinated_like,5608,5608,14787793930122,14787793.930122,,9,14,cf; emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,,,,,,no_stake_or_byron,4415,0,10037399348996,10037399.348996,,3,14,cf; cf+emurgo; cf+emurgo+iog; cf+iog; emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_abstain,14,640,9222311038820501,9222311038.8205,trace_only,180,180,2913699983280,2913699.98328,0.00031594,5,14,cf; emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,weak_behavior_signal,536,536,2180511466315,2180511.466315,0.00366464,11,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_abstain,14,640,9222311038820501,9222311038.8205,high_confidence_retained_like,207,207,1219329925965,1219329.925965,0.00013222,10,14,emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_abstain,14,640,9222311038820501,9222311038.8205,probable_retained_like,276,276,1182816807065,1182816.807065,0.00012826,11,14,cf+iog; emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,weak_behavior_signal,119,119,1171958955785,1171958.955785,0.00482928,12,14,emurgo; iog
