snapshot_utc,trace_schema,root_seed_id,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,current_trace_rows,current_utxos,current_stake_credentials,current_lovelace,current_ada,min_depth,max_depth
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,,,,,,trace_only,467,467,315,208729939592394,208729939.592394,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_abstain,14,640,9222311038820501,9222311038.8205,coordinated_like,1329,1329,579,162037794402007,162037794.402007,8,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_abstain,14,640,9222311038820501,9222311038.8205,weak_behavior_signal,1931,1931,1213,107876527556633,107876527.556633,10,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,,,,,,weak_behavior_signal,29021,29021,18410,103658498065786,103658498.065786,9,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,,,,,,trace_only,30605,30605,24348,78112475718490,78112475.71849,7,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,,,,,,weak_behavior_signal,1394,1394,1126,36096983169453,36096983.169453,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,,,,,,coordinated_like,5509,5509,2037,13904008447115,13904008.447115,9,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,,,,,,no_stake_or_byron,3197,3197,0,7567246930308,7567246.930308,4,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,,,,,,coordinated_like,2401,2401,2036,4593417821208,4593417.821208,10,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_abstain,14,640,9222311038820501,9222311038.8205,trace_only,171,171,126,2883565121053,2883565.121053,9,14
