snapshot_utc,trace_schema,cert_type,root_combo,epoch_no,cert_count,distinct_stake_addresses,distinct_targets
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,508,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,517,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,519,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,521,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,522,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,523,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,524,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,525,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,527,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,528,3,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,529,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,530,4,2,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,531,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,532,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,533,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,534,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,535,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,536,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,537,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,538,3,1,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,540,5,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,542,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,546,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,553,4,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,554,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,556,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,558,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,559,2,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,562,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,563,9,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,566,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,571,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,579,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,584,3,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,586,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,588,5,5,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,589,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,604,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,605,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,611,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,612,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,615,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,620,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,633,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf,635,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo,514,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo,531,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo,534,3,2,1
