snapshot_utc,trace_schema,root_combo,latest_pool_id_bech32,ticker_name,pool_name,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada,min_trace_depth,latest_pool_active_epoch
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo,NOT_DELEGATED_OR_NO_STAKE,,,1343,210,210318850899845,210318850.899845,3,
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,NOT_DELEGATED_OR_NO_STAKE,,,28079,20434,78920371575838,78920371.575838,4,
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,,,7,2,48330921272734,48330921.272734,14,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,,,7,2,48134270019667,48134270.019667,12,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,,,6,2,33298974209026,33298974.209026,12,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo+iog,NOT_DELEGATED_OR_NO_STAKE,,,1878,1408,32814576080659,32814576.080659,9,
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,,,3,1,16674365422057,16674365.422057,13,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,,,3,1,16610246008688,16610246.008688,14,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,,,2,1,16364446930838,16364446.930838,14,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,,,4,2,16355556422115,16355556.422115,13,329
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,,,3,1,16342372684488,16342372.684488,14,329
