pool_id_bech32,ticker_name,pool_name,homepage,description,metadata_url,metadata_hash_hex,active_epoch_no
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,888POOL.IO,https://888pool.io,A Cardano Stake Pool For Everyone,https://888pool.io/metadata.json,2533f3f28807df6f5d208cca9b0a71778fb5d81ef5073e8c9b23b61801085112,593
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,ROMER,https://romerstakepool.io,ROMER ROKXS,https://git.io/JYGfW,06cb849a95d543b22f0c8f4958da0efa3ea6a7a7ee667e8be86c7129f9421af8,292
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,Garden Pool Two,https://garden-pool.com,Grow your wealth with the highest pledged pools on the network!,https://garden-pool.com/gardenmeta2.json,1a8e228b3be606c5303f4f511ffa78d9029213a01f2dd1954a50154ef6c50495,575
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,Nu.Fi & AdaLite B,https://nu.fi,Nu.Fi & AdaLite B,https://pools-meta.nu.fi/cardano/NUFIB-metadata.json,ae7bf8d3e0fd6cbd48b053b4475c5b755c3af80c7bfd4321077c8b0e3c5e3d22,382
pool104fdj0xdhr8cqedwn0lf8dk206ryn62kn8mtyym020nuxthjgvj,,,,,https://www.shivapool.net/pool1.json,2c3f5808fb149c19fe3d2763e299303c6b92dedc35daf9e639cd33dd5e62f219,211
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,Pilot Pool 2,https://www.adapilot.com,325K Pledge. 0% Margin. Mission Driven Pool donating 10% of all fees to the Multiple Sclerosis (MS) International Federation,https://raw.githubusercontent.com/PILOT-Pool/p/main/p2.m.json,f68a8abdf2c0c73f5bc1a08087f33ed31a37e0768c1be792dca08c444b73f8a8,329
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,TOKYO,TOKYO,https://tokyo-pool.com,bare metal stake pool from the most beautiful city in the World,https://data.pooltool.io/md/0f35af5b-d000-4b0d-a908-c05beecbc3a4,a510ac2e5b02a7f98821e35fe0d647a876fb8d6cef8586dcb195dffcd7690719,456
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,adaseal.eu,https://adaseal.eu,"Community pool - Dedicated HA cluster, server room, 0% margin. 10% of profits donated to seal sanctuaries and zoos.",https://adaseal.eu/poolMetaData.json,06179016bb99292a607ffea0dd7deba50483fa19195a6ce02854805657195658,452
pool104yydru8l6rjg0c9jryy9luw2s7r9ye4u5x835kvhkngy24986h,GER,German Staking,https://www.germanstaking.com/,Providing passionate education to German Cardano enthusiasts.,https://www.germanstaking.com/poolmeta.json,ad2fcca0034a9368513ea17a78598566c94dca4e7ba6f09ffd99bdfe342bd470,260
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,VoltPool,https://x.com/Volt_Pool,Delegate to dRep ID drep13kczm9gva59uzucm3tdej4jgyjlj2lcj7wverypfk8r2sqkq5mj to retrieve rewards.,https://bit.ly/3WvItmx,274cd75a8f6a78376e9aaca8e1c98b2d8fad9df2faeaf7de0691ac2e8774bdeb,538
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,CCJ5,http://ccj123.html.xdomain.jp,CARDANO CLUB JAPANプール5 安心の低手数料設定,https://cardano.ipclub29.com/ccj5.metadata.json,7c21b2dde9e77b79ff382f026f8ef1aae12e53b3e88eeff4033a728690100d71,448
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,AzureADA,https://azureada.com,OFFICIAL SUNDAESWAP SCOOPER! We are run by a team of multiple Azure professionals and developers and consistently are top 1%-7% performers on Daedalus|adapools|poolrank|pooltool. Globally distributed enterprise infrastructure on Microsoft Azure.,https://azureada.com/azur/azursundae.json,803f576738e5fe6d81710646d3572a21ebb65e7eaef8a81aa7add7fe44fe77f5,637
pool109s7c6kn6ugxjnf8d46s9h3nnezs3d77yu80scs9sjppqa0qkyn,,,,,https://www.cryptocreatures.online/files/theme/crcr.json,0ee933b04426f765559d048be4fee18033d1f4281d5c7322d540aab5c3d46a0d,234
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,,,,https://goatstake.com/files/poolMetaData.json,a199a2b09abbc0fac9d56a0c0f85949359517e8b2561f42f7d5764c6732bcaf4,266
pool10capak8jppvj8h46e35xdth6h22pahtr3lcgscrpa06jzv0xn8w,SWAG,SWAG,https://www.ada-swag.com,"Swagged Up, Stack Ada!",https://raw.githubusercontent.com/jlt03/20/master/poolmeta.json,5155db5eec34baaaedb6e7080ac7f5bd9f5b290a8aba4e422c1f756df3a76b42,459
pool10cz0gm5zu74clhrxp9mm7ulslves04wyfxaqzr4sjr2zv7qjpnv,,,,,https://magical.money/mag-pool-meta.json,b05ff61e754efa225207e00a6dea7bf8f708d47b931eb54d2392be177934bd5c,284
pool10dwjth7esfw5gc036vu6l6csnvn6elqax0d3kh8t65rxyewk2g3,IOG2,Input Output Global (IOHK) - 2,https://iohk.io,Our mission is to provide economic identity to the billions of people who lack it. IOHK will not use the IOHK ticker.,https://pools.iohk.io/IOG2.json,04faac1dce6c68b6bdf406eb261fbc6f57ce0baa9ab039d8e3bb1de8f903f092,210
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,Friends4ADA,https://friends.staking4ADA.org,"Friendly-fee. Great rewards. We make a difference with our own servers, solar panels, and donations to charity.",https://staking4ada.org/wp-content/uploads/4ADA/F4ADA.json,af38c03ecc682db121912c8fa4ac609e7ff089c712b937d3cfa554869e4a649d,612
