root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool1h5jtxde8j86qrnqzj32ugn480u7gw5xw8wqy5d227rl3vfg58qz,1,64110752379736,64110752.379736
cf,pool158ag8p06qm4apd750ekep6een9cdldqsq434ll2mp0ykgunmguy,1,64110748825567,64110748.825567
cf,pool1q5za50d3sr707xkmjtyrs0v76ezxyj8g8uhggfk0wfl77aufd9k,1,64110748652630,64110748.652630
cf,pool1ywt7jqfsmxg0yplku4mtdwtm476rp72z6fns9mhevf7u72pkupj,1,64110748479693,64110748.479693
cf,pool16uja2pt05ddq9mzcsw9xkv40qdl7sm00nvpj0h4arn0fgl2xrae,1,64110748306756,64110748.306756
cf,pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,2,50091977059847,50091977.059847
cf,pool1z89dx8u42f4cvujvsjupsg50cfgqhjjuaxegvj59h9q9scra5fy,1,35057421548996,35057421.548996
cf,pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,1,35025951034671,35025951.034671
cf,pool1uhy50u9y76nd6z2xmzt3mta0yc7g3gdssef8lheyyg7zzymgzm8,3,28504379621747,28504379.621747
cf,pool1zecj6wqrzkcjmldvrr992pt3c64sgrhkhexxst32sdlsjwkpmfh,2,20628926086828,20628926.086828
cf,pool1utqhj9g53a5cwg7tyd8neky7jvjlgzuf470adc0e69cp5uuquzx,1,20043821412930,20043821.412930
cf,pool1hwlghkwnjsjk8370qt3dvp23d7urwm36f95fmxcz3np2kghknj9,5,15525729096828,15525729.096828
cf,pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,7,15304923700058,15304923.700058
cf,pool1d3gckjrphwytzw2uavgkxskwe08msumzsfj4lxnpcnpks3zjml3,4,15287082455398,15287082.455398
cf,pool1c89d4drtwn0048mekkdkzllz559ahnntxelyw2mppxnmc36hjlx,6,15206734513136,15206734.513136
cf,pool15txd36fltfgc63qq0yxtpqt88eu76s0yhugn9a6q7f4zspq6k5f,1,15000000000000,15000000.000000
cf,pool1g79uyzvt9mm3z7jdcxnp36n4egm4z6l8c6n9l2mk8ae2yf5zman,1,15000000000000,15000000.000000
cf,pool1helzgcd9sjm9xtyh9mw2wy06gekh6r52s6mx987q0p8lvklwura,1,15000000000000,15000000.000000
cf,pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,1,15000000000000,15000000.000000
cf,pool1pzqdfptvl5f8vh28az37jag2wkfmqz9x8d6eufl8y0z9q34hlr7,1,14999997825567,14999997.825567
