query_timestamp_utc,drep_distribution_epoch,rank_overall,profile_class,drep_id_bech32,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,root_overlap_summary
2026-05-21 20:17:02.929505,632,1,system,drep_always_abstain,2982,1789,715194554487303,715194554.487303,cf:381 utxos/19131001.952350 ADA; cf+emurgo+fourth_entry_781m:3 utxos/1537588.835990 ADA; cf+iog:10 utxos/46498.076664 ADA; emurgo+fourth_entry_781m:962 utxos/26283240.700071 ADA; emurgo+fourth_entry_781m+iog:37 utxos/1206624.852535 ADA; iog:1589 utxos/666989600.069693 ADA
2026-05-21 20:17:02.929505,632,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,414,217,8330765355168,8330765.355168,cf:67 utxos/1507271.441254 ADA; emurgo+fourth_entry_781m:147 utxos/3052018.242094 ADA; emurgo+fourth_entry_781m+iog:4 utxos/13821.948606 ADA; iog:196 utxos/3757653.723214 ADA
2026-05-21 20:17:02.929505,632,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,24,15,4081161510973,4081161.510973,cf:1 utxos/9.000000 ADA; emurgo+fourth_entry_781m:10 utxos/3745913.895353 ADA; emurgo+fourth_entry_781m+iog:1 utxos/929.000000 ADA; iog:12 utxos/334309.615620 ADA
2026-05-21 20:17:02.929505,632,4,registered,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,2,1,885293943,885.293943,iog:2 utxos/885.293943 ADA
2026-05-21 20:17:02.929505,632,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,4,4,4365951299,4365.951299,cf:1 utxos/999.000000 ADA; iog:3 utxos/3366.951299 ADA
2026-05-21 20:17:02.929505,632,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,157,75,17052872484183,17052872.484183,cf:63 utxos/10133786.343411 ADA; emurgo+fourth_entry_781m:31 utxos/584782.119016 ADA; iog:63 utxos/6334304.021756 ADA
2026-05-21 20:17:02.929505,632,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,118,48,6664494197364,6664494.197364,cf:51 utxos/5347262.937789 ADA; emurgo+fourth_entry_781m:33 utxos/844410.738163 ADA; emurgo+fourth_entry_781m+iog:3 utxos/37084.540659 ADA; iog:31 utxos/435735.980753 ADA
2026-05-21 20:17:02.929505,632,8,system,drep_always_no_confidence,156,95,1975870764068,1975870.764068,cf:29 utxos/583591.220958 ADA; emurgo+fourth_entry_781m:42 utxos/668300.544442 ADA; emurgo+fourth_entry_781m+iog:6 utxos/103789.124969 ADA; iog:79 utxos/620189.873699 ADA
2026-05-21 20:17:02.929505,632,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,152,37,13117192493951,13117192.493951,cf:69 utxos/9983673.354278 ADA; emurgo+fourth_entry_781m:61 utxos/1910074.454064 ADA; iog:22 utxos/1223444.685609 ADA
2026-05-21 20:17:02.929505,632,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,6,6,47474528555,47474.528555,cf:2 utxos/17962.175180 ADA; emurgo+fourth_entry_781m:1 utxos/16191.837501 ADA; iog:3 utxos/13320.515874 ADA
