query_timestamp_utc,drep_distribution_epoch,epoch_stake_epoch,rank_overall,profile_class,drep_id_bech32,bucket_order,active_stake_bucket,current_delegator_count,active_stake_lovelace,active_stake_ada
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,1,>=50M,28,1901530138812947,1901530138.812947
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,2,10M-50M,144,3921085272186404,3921085272.186404
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,3,1M-10M,507,1226736043470252,1226736043.470252
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,4,100k-1M,4376,1099615921294175,1099615921.294175
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,5,10k-100k,21219,625131965900391,625131965.900391
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,6,1k-10k,43943,154460540286682,154460540.286682
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,7,<1k,108979,16995204441883,16995204.441883
2026-05-21 20:17:07.345255,632,633,1,system,drep_always_abstain,8,0/no active stake,45682,0,0.000000
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,2,10M-50M,2,37442648120914,37442648.120914
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,3,1M-10M,123,245344169193249,245344169.193249
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,4,100k-1M,1062,282922837610063,282922837.610063
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,5,10k-100k,3930,119264206381556,119264206.381556
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,6,1k-10k,5840,22062192376074,22062192.376074
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,7,<1k,8935,1606068851565,1606068.851565
2026-05-21 20:17:07.345255,632,633,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,8,0/no active stake,5412,0,0.000000
2026-05-21 20:17:07.345255,632,633,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1,>=50M,1,50180242853169,50180242.853169
2026-05-21 20:17:07.345255,632,633,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,2,10M-50M,5,103666703130572,103666703.130572
2026-05-21 20:17:07.345255,632,633,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,3,1M-10M,92,232835927942730,232835927.942730
