rank,cluster_id,cluster_type,ada,pool_id,ticker_name,pool_name,homepage,pool_active_epoch,drep_id,drep_epoch,heuristic_class
1,stake1u9eacqarqgnjvqkr6wk9843mpr49jx8zeuzg4k4tpt9p08grvhlmc,STAKE,56165056.372131000000,,,,,,,,NO_LATEST_POOL
2,stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,STAKE,31778716.493920000000,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,LAG,Lucky Azure Gauss,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
3,stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,STAKE,31682709.767353000000,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,FVG,Fervent Vermilion Galileo,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
4,stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,STAKE,16684273.129648000000,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,RMH,Relaxed Mustard Hopper,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
5,stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,STAKE,16674365.422057000000,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,WGM,Wacky Gold Maxwell,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
6,stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,STAKE,16648211.505381000000,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,FVG,Fervent Vermilion Galileo,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
7,stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,STAKE,16614701.079378000000,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,RMH,Relaxed Mustard Hopper,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
8,stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,STAKE,16610246.008688000000,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,FMD,Fancy Mango Dirac,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
9,stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,STAKE,16364446.930838000000,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,UBE,Upbeat Beige Euler,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
10,stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,STAKE,16355553.525747000000,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,LAG,Lucky Azure Gauss,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
11,stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,STAKE,16355553.524005000000,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,FBA,Fancy Burgundy Archimedes,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
12,stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,STAKE,16342372.684488000000,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,KOH,Kind Orange Heisenberg,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
13,stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,STAKE,16342369.791604000000,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,KLF,Keen Lemon Fermi,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
14,stake1u9znmqtlg2uezpk35ack436jpvgmjwq4ywyd7s2g8ys2h2cwhn0tt,STAKE,14163135.814655000000,pool1uthdnav2zc2hxpg2hyeyy545lnxtl8lqdcdqxjm0j8t5srmyvzj,ADAST,AdaStrong,https://www.adastrong.com/,582,drep_always_abstain,580,UNCLASSIFIED_POOL
15,stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,STAKE,12699559.152506000000,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,UTA,Ubiquitous Teal Aslan,,329,drep_always_abstain,539,UNCLASSIFIED_POOL
16,stake1u8kc7tgt8utvt6483qm0rjnfd6fv9qa0e8wnzutz7fpeqacxx5qk6,STAKE,9999990.000000000000,,,,,,,,NO_LATEST_POOL
