rank,cluster_id,cluster_type,utxos,ada,min_depth,max_depth,cumulative_ada,cumulative_share
1,stake1u9eacqarqgnjvqkr6wk9843mpr49jx8zeuzg4k4tpt9p08grvhlmc,STAKE,4,56165056.372131000000,14,14,56165056.372131000000,0.11080102116847599536
2,stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,STAKE,4,31778716.493920000000,12,14,87943772.866051000000,0.17349327977888482849
3,stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,STAKE,4,31682709.767353000000,14,14,119626482.63340400,0.23599613871572821973
4,stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,STAKE,3,16684273.129648000000,12,14,136310755.76305200,0.26891045625812193499
5,stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,STAKE,3,16674365.422057000000,13,14,152985121.18510900,0.30180522812230520017
6,stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,STAKE,3,16648211.505381000000,14,14,169633332.69049000,0.33464840419254755592
7,stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,STAKE,3,16614701.079378000000,13,14,186248033.76986800,0.36742547173088847428
8,stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,STAKE,3,16610246.008688000000,14,14,202858279.77855600,0.40019375041698362718
9,stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,STAKE,2,16364446.930838000000,14,14,219222726.70939400,0.43247712281815313043
10,stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,STAKE,3,16355553.525747000000,13,14,235578280.23514100,0.46474295053176425573
11,stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,STAKE,3,16355553.524005000000,14,14,251933833.75914600,0.49700877824193880692
12,stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,STAKE,3,16342372.684488000000,14,14,268276206.44363400,0.52924860312094614726
13,stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,STAKE,2,16342369.791604000000,14,14,284618576.23523800,0.56148842229294414717
14,stake1u9znmqtlg2uezpk35ack436jpvgmjwq4ywyd7s2g8ys2h2cwhn0tt,STAKE,1,14163135.814655000000,13,13,298781712.04989300,0.58942910307520840212
15,stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,STAKE,3,12699559.152506000000,13,14,311481271.20239900,0.61448247635349719304
16,stake1u8kc7tgt8utvt6483qm0rjnfd6fv9qa0e8wnzutz7fpeqacxx5qk6,STAKE,1,9999990.000000000000,14,14,321481261.20239900,0.63421020699678628968
17,stake1u90k27vvycsnksgwrslmqryqyweh79r3zcp5hh2t92n65mgkqezp5,STAKE,1,5519374.850765000000,14,14,327000636.05316400,0.64509869192279480320
18,stake1uykwh9nr9chunw8uxxz2gcwth9v4r520a4gs9h6fjn8h84g6geqg3,STAKE,9,3097426.615721000000,13,14,330098062.66888500,0.65120921782955055125
19,NO_STAKE:DdzFFzCqrht1AkFeUy3F1iY8zcVrxy17YxncFa6vpezSfo1UCr2M4DCb7oLF6shHc4biy8B3Ek6K8AoPzW6UrHpvHJRgbRxjP16yNT4b,NO_STAKE,2,2848955.067000000000,13,13,332947017.73588500,0.65682956526755895340
20,stake1u8fq2f83t9npzqh6ujqycy0l23gwryu77d08re8thqkp24s8nx20u,STAKE,1,1999993.400000000000,14,14,334947011.13588500,0.66077510232145160204
21,stake1u9h6qx9aeds82xzepcxgn9vyaagd3rk4048cwt66tsp88uqynnq0s,STAKE,9,1597845.594085000000,12,13,336544856.72997000,0.66392729222260901579
22,stake1u8swxy6ryxk8l9v3s7j0et8gv9lym3r8y79sqk56w6d0tcgul3ltm,STAKE,3,1521496.200007000000,12,14,338066352.92997700,0.66692886194503133922
23,stake1u9s7k7smn9g9jd76z2gyt07q9zyqamly2m2vazxe08gqc0g5q8tak,STAKE,3,1433961.011043000000,14,14,339500313.94102000,0.66975774443179730657
24,stake1u9vw2y3rj9qlju36lr7ec8m0ttekur4a5cednujvx0jnwcs9q7fq9,STAKE,1,1420216.716380000000,14,14,340920530.65740000,0.67255951251714950651
25,stake1uxczv25mlga4mfeydgke9vxl2j05ea679e34czl2kf4ahpsf5lps6,STAKE,1,1400000.000000000000,14,14,342320530.65740000,0.67532139756909503199
26,stake1u86jl5trmfr70cjfe6capkl2ptx05l8jflspswgh79el5ygcv8xwh,STAKE,7,1289435.606520000000,12,14,343609966.26392000,0.67786516394559067509
27,stake1uy43hz64tjh60dw3gz8j6xdd5959u62etjlanp599y7f66qvt6hrh,STAKE,1,1271062.846072000000,14,14,344881029.10999200,0.68037268499891181307
28,stake1uxkkr57uvxuym2j074xsl4pe8nl4u47flk9s7un6lz38tlglvgum2,STAKE,1,1256002.705931000000,11,11,346137031.81592300,0.68285049578370749914
29,stake1u8dhjv99hqdx0um4r35nm385tg87x0wzl9jjz933yy2ct9snkruet,STAKE,10,1155572.585090000000,10,14,347292604.40101300,0.68513018053313472757
30,stake1u9cqsnr4jq29alqp6hes0yc03aqnq32mgjqwecehv6v4gxqkl85xc,STAKE,6,1103398.691191000000,13,14,348396003.09220400,0.68730693792708949890
31,stake1u9mx5erw5n7u82vtmcz97xh4u7z30q7wutmrsnza4x6ds9scmffwk,STAKE,2,1001000.000000000000,11,12,349397003.09220400,0.68928168573923054961
32,stake1u8u2fpz48zdhlcewcz8f637zt84hc5896v8unfxe60vl37cvec0me,STAKE,1,1000000.000000000000,14,14,350397003.09220400,0.69125446077633449638
33,stake1u8dy94mce0jmy9v3q7zagz4xy38hyfql2zdy4f8xu5gwrfglswc0j,STAKE,2,1000000.000000000000,14,14,351397003.09220400,0.69322723581343844314
