stake_address,current_utxos,current_ada,min_depth,max_depth
stake1u9eacqarqgnjvqkr6wk9843mpr49jx8zeuzg4k4tpt9p08grvhlmc,4,56165056.372131000000,14,14
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,4,31778716.493920000000,12,14
stake1u84u9k7yjnujla4stf25q23r0tcxyj0stmzadwam4k98g3s0euwyc,4,31682709.767353000000,14,14
stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,3,16684273.129648000000,12,14
stake1u8yr90g09a2znm4ylaspctgyteuslnrfn6flnntxkka2ysgy2750z,3,16674365.422057000000,13,14
stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,3,16648211.505381000000,14,14
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,3,16614701.079378000000,13,14
stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,3,16610246.008688000000,14,14
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,2,16364446.930838000000,14,14
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,3,16355553.525747000000,13,14
stake1u88zeazj5xy8uamz47rqswpjvn9zmsyg78ahklfmku2k35g2qlaaj,3,16355553.524005000000,14,14
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,3,16342372.684488000000,14,14
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,2,16342369.791604000000,14,14
stake1u9znmqtlg2uezpk35ack436jpvgmjwq4ywyd7s2g8ys2h2cwhn0tt,1,14163135.814655000000,13,13
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,3,12699559.152506000000,13,14
stake1u8kc7tgt8utvt6483qm0rjnfd6fv9qa0e8wnzutz7fpeqacxx5qk6,1,9999990.000000000000,14,14
stake1u90k27vvycsnksgwrslmqryqyweh79r3zcp5hh2t92n65mgkqezp5,1,5519374.850765000000,14,14
stake1uykwh9nr9chunw8uxxz2gcwth9v4r520a4gs9h6fjn8h84g6geqg3,9,3097426.615721000000,13,14
stake1u8fq2f83t9npzqh6ujqycy0l23gwryu77d08re8thqkp24s8nx20u,1,1999993.400000000000,14,14
stake1u9h6qx9aeds82xzepcxgn9vyaagd3rk4048cwt66tsp88uqynnq0s,9,1597845.594085000000,12,13
stake1u8swxy6ryxk8l9v3s7j0et8gv9lym3r8y79sqk56w6d0tcgul3ltm,3,1521496.200007000000,12,14
stake1u9s7k7smn9g9jd76z2gyt07q9zyqamly2m2vazxe08gqc0g5q8tak,3,1433961.011043000000,14,14
stake1u9vw2y3rj9qlju36lr7ec8m0ttekur4a5cednujvx0jnwcs9q7fq9,1,1420216.716380000000,14,14
stake1uxczv25mlga4mfeydgke9vxl2j05ea679e34czl2kf4ahpsf5lps6,1,1400000.000000000000,14,14
stake1u86jl5trmfr70cjfe6capkl2ptx05l8jflspswgh79el5ygcv8xwh,7,1289435.606520000000,12,14
stake1uy43hz64tjh60dw3gz8j6xdd5959u62etjlanp599y7f66qvt6hrh,1,1271062.846072000000,14,14
stake1uxkkr57uvxuym2j074xsl4pe8nl4u47flk9s7un6lz38tlglvgum2,1,1256002.705931000000,11,11
stake1u8dhjv99hqdx0um4r35nm385tg87x0wzl9jjz933yy2ct9snkruet,10,1155572.585090000000,10,14
stake1u9cqsnr4jq29alqp6hes0yc03aqnq32mgjqwecehv6v4gxqkl85xc,6,1103398.691191000000,13,14
stake1u9mx5erw5n7u82vtmcz97xh4u7z30q7wutmrsnza4x6ds9scmffwk,2,1001000.000000000000,11,12
stake1u8u2fpz48zdhlcewcz8f637zt84hc5896v8unfxe60vl37cvec0me,1,1000000.000000000000,14,14
stake1u8dy94mce0jmy9v3q7zagz4xy38hyfql2zdy4f8xu5gwrfglswc0j,2,1000000.000000000000,14,14
stake1u98ukwzaxqk95amymc0mh6qnpej5v2yq85x2dfwak8avhkcxrse3k,1,999989.000000000000,14,14
stake1uyjstlfjjc0ws4p7fuzf30udstp5f2d5wcftc87ux5vfe0s84hlg9,2,945000.000000000000,13,14
stake1uym6w3eukf8hm620y547puhhrkp5w2rxkfu9kkeaneet78c08xlgq,11,935683.481957000000,13,14
stake1uyu2rg8sul0wkuzmlxhfp03jnkdy7f6kqk4khdjn2xz6czglgfa0n,1,900000.000000000000,14,14
stake1uyezz2wzt4rl5wug8ju8zshvfzkw2lksw8jfp0wpueq2nccnnkwxh,1,892830.022239000000,13,13
stake1u8pa4kvumn4429t96wunfhynfxxg5hlphnlcclk6v0sew4sl6007x,2,808956.702647000000,14,14
stake1uxycx5f9czkftu3tut497egyxec057jn0au5z8gr3yu3lssd05nc3,25,793909.000000000000,14,14
stake1uyz8zzqlutelas9cwd6u3fae0j6cjslh00ulnkrtgvd40egurm9kc,1,706198.094000000000,13,13
stake1ux659upvzs054ggd72rjx8t0grryp3m6emw7p2l83037yuqap277w,1,659257.788150000000,14,14
stake1uya32th68pdmy5gwf7qejd7m86t83c9azlqq9ku3fadj6tq9q3jev,7,654048.917665000000,14,14
stake1u8fqp8r2gymcsd6pywwl0udmq36pudtky2l4kjpvjf3ls7gtnjmae,6,606025.577095000000,14,14
stake1uy2s8vvzwnqhl0lnhxzahpxuu0ac5gaamheeacey6mdz2wqh9vv2a,1,600793.436539000000,14,14
stake1uxm2q8zmw2yjrv46k09qv0mtxzr5rn5zmjh542t4kynm27c9hzvhs,1,599995.458197000000,14,14
