source_tip_block,source_tip_epoch,source_tip_time_utc,destination_type,destination,transaction_count,output_lovelace,first_output_utc,last_output_utc
13520244,635,2026-06-07 18:44:37,stake_address,stake1uxnwfdn9samwjqj6n3sfgtflxmca47l4dns8snkz0tp9v6c5nnhs3,81,1900926998312612,2021-02-04 18:56:23,2023-02-27 17:47:44
13520244,635,2026-06-07 18:44:37,stake_address,stake1uycla9q3glrugp48cq2r7awemjxepvj4lxs4emw5qmpsclc4tpe52,32,925000100000000,2021-02-11 20:27:00,2021-03-19 16:45:44
13520244,635,2026-06-07 18:44:37,address,addr1vx9lp37m3xk7qhdw6uwp8crduqcwlm56wtf56yume76pwwqvtdsdu,2,182000000000000,2021-03-31 22:36:05,2021-03-31 22:44:27
13520244,635,2026-06-07 18:44:37,address,addr1vymu4620q8vqf4xsstfrk6dy72787syvezet8ujsdj2k3jsfvlx47,6,154564895000000,2021-03-17 17:54:03,2021-06-04 20:09:30
13520244,635,2026-06-07 18:44:37,address,DdzFFzCqrhso12U691LVkojqKS7KR9vRrQy99cWx56awoFsx2m4cqM2gQSuXCKDn6w7X8QhwLL9rqzbBAoftNq8c7xnnKxC5SuUR4Y4Q,4,32500010000000,2021-02-20 20:50:29,2021-03-16 17:31:08
13520244,635,2026-06-07 18:44:37,address,DdzFFzCqrhstGzjRHvZVAd7b7C8EWqYuagzzL29VQovcujnKjhSPHnaqZ5U1f3pv5pZsyAs53oTk5KqKz8YRBTD5WZ8QzfC1hyimfnXS,4,32500010000000,2021-02-20 20:49:05,2021-03-16 17:29:29
13520244,635,2026-06-07 18:44:37,address,addr1vxud2ddj46kk22ffc9kwttg83uv3uf45f4mq6mcch0efw6c8x6ez6,2,30000001000000,2021-03-18 16:30:29,2021-03-18 16:37:58
13520244,635,2026-06-07 18:44:37,address,addr1vxrrmcvg7dulvkmqvjhm350tf3ty7pxja2rnnsefgfgrjyqtkr7u5,2,11435106000000,2021-02-17 14:35:35,2021-02-17 19:18:55
13520244,635,2026-06-07 18:44:37,address,DdzFFzCqrht3NbxHh4HbCiFWKwASqERy5DNZiHEewFdoNNxBkYUmg1VkfyDJJUjJcon3y5wCPatgti3AjgyKezW1EoEacJtbQvvbs1Wq,6,4000003000000,2021-02-12 12:48:11,2021-03-02 14:38:44
13520244,635,2026-06-07 18:44:37,stake_address,stake1u8h9rv847ee4zpzz4ty4zv7uw4jkzhcm0aj0pu3e24nuqaqq3596u,2,1500001000000,2021-03-01 12:19:17,2021-03-01 12:21:18
13520244,635,2026-06-07 18:44:37,stake_address,stake1ux5rj5vpt4ctfqkwveg3zk52c2vlqau9k4jmr4gdrj70ukg6y9vml,2,1409135198989,2021-08-11 19:20:40,2021-08-12 15:59:24
13520244,635,2026-06-07 18:44:37,stake_address,stake1uxghu8uzc88za5r7n6kghkc6e3y4m37tfrjk4jv8eqjljacqcwrs6,6,741951946718,2021-02-09 10:24:59,2021-07-27 10:00:51
13520244,635,2026-06-07 18:44:37,stake_address,stake1uyypn995exmnwy7d0zvm22dn3kz0j7utyzg620qfplfvyxg2u42vm,6,460021815043,2021-02-03 13:28:33,2021-06-08 14:27:47
13520244,635,2026-06-07 18:44:37,address,addr1vy0lsqwv9ezpgaxqh8s3ajhqc02s6j05m8tavry3eg3vjas05t2p0,2,372023000000,2021-04-02 08:50:34,2021-04-02 09:11:04
13520244,635,2026-06-07 18:44:37,stake_address,stake1uy5h94jmrv356u0ek9p9shpheh5lyxs3ht8gq629d7t4r6qwq3z4r,1,100000000000,2021-02-16 14:31:10,2021-02-16 14:31:10
13520244,635,2026-06-07 18:44:37,stake_address,stake1uyq8efxqq8tk4kswvk84xffkrgw0752d0nmczqslc97f99sft3zq4,1,100000000000,2021-02-16 14:33:06,2021-02-16 14:33:06
13520244,635,2026-06-07 18:44:37,address,DdzFFzCqrht3jrfc5Y29puNUuXZfKRE4TSYsUCL2GRA4ePDoWqiUmhTZGoyKwXnoGMXJekXmpW9VAU4NZhwYUC9DNh1nmsDWmRghMREG,1,860000000,2021-02-05 11:51:49,2021-02-05 11:51:49
13520244,635,2026-06-07 18:44:37,stake_address,stake1u96ezsf44eglvk9j6m8xewj5jx39gf85w99vxpeed5l847s074jg7,1,3000000,2021-08-12 06:55:58,2021-08-12 06:55:58
13520244,635,2026-06-07 18:44:37,stake_address,stake1u83pwucuygcznmak0du7hy58y35qqp2cka97w4n6yn4zrvg9kwdz9,1,2400000,2023-02-27 18:49:47,2023-02-27 18:49:47
13520244,635,2026-06-07 18:44:37,stake_address,stake1uy559a4a3rgg8xyfaes3ms670x62l29zqmt87zmj4yved2qgrtjjc,1,1000000,2023-02-27 17:47:44,2023-02-27 17:47:44
