flow_level,leaf_utxos,qty_night,pct_of_supply
2,7,9300589521.695047,38.7525
3,6,970538894.322245,4.0439
4,569,1868007587.046469,7.7834
5,976,136459946.119004,0.5686
6,1098,71244746.957334,0.2969
7,1139,1187764486.827464,4.949
8,1258,810725748.2395,3.378
9,1311,1053900316.630894,4.3913
10,1507,612817652.720114,2.5534
11,1555,57990847.920127,0.2416
12,1780,116538795.375355,0.4856
13,1958,268671603.206053,1.1195
14,2292,112734103.689682,0.4697
15,2710,186035654.784555,0.7751
16,3081,208682359.403467,0.8695
17,3500,433132039.048677,1.8047
18,3938,427265323.512274,1.7803
19,4181,276677262.661989,1.1528
20,4426,282026060.444216,1.1751
21,4402,169235577.116352,0.7051
22,4695,151079040.156794,0.6295
23,4492,336325323.785883,1.4014
24,4199,218175892.224438,0.9091
25,3961,217904044.653435,0.9079
26,3321,62961324.713213,0.2623
27,3040,51639152.470235,0.2152
28,2690,61169124.628212,0.2549
29,2396,42015536.741846,0.1751
30,2197,47983273.412318,0.1999
31,1988,295412610.533226,1.2309
32,1755,130254624.247652,0.5427
33,1598,54991136.061325,0.2291
34,1564,31355206.372684,0.1306
35,1461,161009833.078529,0.6709
36,1348,85205929.525449,0.355
37,1344,45279273.304855,0.1887
38,1293,43053621.904405,0.1794
39,1235,26266861.666453,0.1094
40,1230,20530639.655957,0.0855
41,1168,24378836.431404,0.1016
42,1202,32182789.296222,0.1341
43,1184,41135917.64754,0.1714
44,1163,26001435.357396,0.1083
45,1206,12708452.125991,0.053
46,1179,53308498.227639,0.2221
47,1110,40376043.564194,0.1682
48,1102,28056747.73792,0.1169
49,1111,67516238.891009,0.2813
50,1032,20083065.385243,0.0837
51,1021,32838664.699644,0.1368
52,921,35013010.263143,0.1459
53,893,23257552.578391,0.0969
54,876,15338330.467726,0.0639
55,931,16963308.634658,0.0707
56,893,33494138.386442,0.1396
57,817,35630158.2109,0.1485
58,834,22878871.110319,0.0953
59,818,58280289.004854,0.2428
60,826,17962541.848053,0.0748
