address,has_script,qty_night,utxos,pct_of_supply
addr1w950c5zxn5fhwlauvpy3ssk287q0qlwz6e2zc4gaj62vaxsy3s9p0,true,6000000000.873988,1,25.0
addr1qx2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623y4yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqgddhlg,false,2973022991.23,7,12.3876
addr1wxgp2xvmvh0lrfdeu2q3jtqp2lprej6hjvgjx2u5lcwqxlqfvty7h,true,1630859175.3369844,569,6.7952
addr1wyczfpxfnf5hvp36mrn655ye4k2cwluvlez6phx8jx46k6s2ttdaq,true,1200000000.0,1,5.0
addr1qyahg78kwaa3fstl8awlt5rqfyq4gtxmpzth3wge2f3520usrrrehtfu7m7ql049e5qnaep75yv0ml527fujmy7xgpcszdlh7j,false,1096130969.88,1,4.5672
addr1q83vjnxkf5tvz29qwl0jd2n3eatc5g0wg09auzpw97dvs8tyuzet687wvt9y2vte6xzyyd06tve3h452tk43d2hdgm6qca36vk,false,813365253.77,1,3.389
addr1qydme5y2u3fwdwufdr2xqgsydmmtg3xw3s3l4vu0xegthm6ltalj3ujjq8e8ezk3r4eu86zyr02aelaq4zx05df9ryrsjwy0y3,false,676709345.12,1,2.8196
addr1xyw0kswupwx38ljnvq8pwpvae0x69krywdr7cffg3d84ydp9nvv84g58ykxqh90xx6j8ywgjst0dkt430w9lxgdmzncsw5rzpd,true,527425961.3642971,37,2.1976
addr1qxas5f0772ghkp6vmhnumqj4agnqfcra4f6e4rh8phaak7jy6waupeny3gamecxmvypk6f3d9ew70hd6r0rtx4lf0glsh09clv,false,400000010.0,2,1.6667
addr1q8tjukn95v344g6gqasptkkvz0ks92xxlrndenna863k3yklp7q2ag9kvzc2myap7a79zd49rh8ckpq2due9cnrzd3esm6dgqh,false,347784632.67,1,1.4491
addr1qytgd3gk950p8kc4ymrvcrc2ftm96glv3gxjg5a5gwl3uzzkynuznuyv6g7ec7g0m3eca368n6nnu7ljr7qx09wjavjqtu0fas,false,322043129.0,1,1.3418
addr1q9awhyg7nfhweyezjf5wkd0zth6cgjhgzp0c8d27k38rntu4rmr36a2al8meyrr5v595xrrpjq2vqchv5y8q662huvys74yk6h,false,279509518.0,1,1.1646
addr1q9xkmu35qvztt03wves3hv2w5xae5huweay93xhw2cser0wcegr086cd9q6tdg9f344r6hh69gvr4qdxtg2n6kanrs9seduedx,false,260891666.0,1,1.087
