label,kind,identity_grade,address,stake,ada_now,night_now,role
W1,attacker_wallet,FACT,addr1qysj48kpy8qra2g64scvu79n489qrv2uys5ggsrun29v5f5udqxfpr7x0pqfl6khjwv6vm0k8s3spn6h0zfrwszfqgcqeld8kj,stake1uxwxsrys3lr8ssylatte8xdxdhmrcgcqeath3y3hgpysyvq7kng6l,972521.604177,16735135.064029,received the 4 drain transfers; sold NIGHT on DEXs; staged exchange deposits
W2,attacker_wallet,FACT,addr1qx7haxyr5qdwcpkvdjmrjnk8wzrsyh7usaajpt3crmted5nkw3n3ner7p6vjudr5urnxywhx0zj5e487w5d3ry4s6nsq2k7aq5,stake1u9m8geceu3lqaxfwx36wpenz8tn83f2v6nl82xc3j2cdfcqd7ju39,12.079689,5800000.000000,collateralized NIGHT in qNIGHT/Liqwid; round-tripped funds with W1
W3,attacker_wallet,FACT,addr1qyx992x3khmvc0leu8qge5gs4yys53eecarkx29cyekqfzscummv9adtkfu3qsssupfzxgv5vldajdnuj8926xa8kn0q3mhtym,stake1uyvwdakz7k4my7gsgggwq53ryx2x0k7exe7frj4drwnmfhse53hr2,1000004.710830,0.000000,fresh ADA vault; forwarded ADA to W4
W4,attacker_wallet,FACT,addr1q8qr45yl9tlllu3cnl28qq279lqrkdea0rg59djn5qfrkv6lt4lqq28h3f60vyrxductvufgcpcc7p5uk5s07th87s4s3qvakc,stake1u9046lsq9rmc5a8kzpnx7v9kwy5vquv0q6wt2g8l9mnlg2c0n5ynh,0,0,"dispersed 32.25M ADA into 6,450 fresh 5,000-ADA addresses; returned residual to W1"
BRIDGE,bridge_lock_script,STRONG_INFERENCE,addr1xyw0kswupwx38ljnvq8pwpvae0x69krywdr7cffg3d84ydp9nvv84g58ykxqh90xx6j8ywgjst0dkt430w9lxgdmzncsw5rzpd,stake17yjekxr652rjtrqtjhnrdfrj8yfg9hkm96chhzlnyxa3fugkaqhyp,218893.938966,11837337.212388,Wanchain Cardano-side NIGHT lock; the drained address
CREDIT_PAY,aggregation_rail,STRONG_INFERENCE,addr1vxhyxumuh98fxf9y4d4z98q34lmtpgqaxxu92thp2ynvnrcf38k4w,,381266.859577,77214.202957,holds the $credit.pay ADA Handle; pre-funded W1 and later received swept ADA
LIQWID_QNIGHT,lending_contract,STRONG_INFERENCE,addr1wynz2dws5vjeqhecwg3d7v9q7frzwg8ces042a8x09l9t0g2885qf,,12.000000,32748955.550860,qNIGHT/Liqwid collateral contract used by W2
PROVIDER,liquidity_provider_cluster,STRONG_INFERENCE,(cluster - see stake),stake1u885m3ck0hqccswz7zyp564fzh4e429ema9rneuy53ch0vqhj3nvd,,,supplied the bridge NIGHT inventory; descends from genesis settlement 7a906cde...
BINANCE_CUSTODY,exchange_custody,STRONG_INFERENCE,addr1vy26yjamt2hnamy7xqwwvepafhn62pmktyw30gal670slsc7rmelv,,5832.744240,546531354.935501,Binance NIGHT distribution/custody address; destination of the 240M path
BINANCE_FEEDER,exchange_feeder,STRONG_INFERENCE,addr1vyec4dzr7lsy5apmq2ld95pwtt7d9j9za00xknh960wr7ng2fwyzq,,0,0,routed the 2026-03-11 240M-NIGHT allocation into Binance custody
BINANCE_1,exchange_hot_wallet,STRONG_INFERENCE,addr1vx7j284mqe59w2mka36gf5xq0hvu8ms2989553fk5qh3prcapfpj3,,46187551.355031,0.000000,community-tracer-tagged Binance hot wallet; fed by attacker-staged deposits
