index,address,has_script,stake_address,night
0,addr1wxgp2xvmvh0lrfdeu2q3jtqp2lprej6hjvgjx2u5lcwqxlqfvty7h,t,NO_STAKE_CRED,4547399400.634954
1,addr1w9m77uujyd6069nfdly22ejtslcdkf8w6z3f4603pzf42tqt6a398,t,NO_STAKE_CRED,6000000000.873988
2,addr1qxmz3l8y50rmqp3smjda5a8c3k3z0uk4xs65zr8v2ws09e72npy58ky0jqcc5s4y0anwfmjjfzezqkljtqddwwtphnts3qtgsm,f,stake1u89fsj2rmz8eqvv2g2j87ehyaefy3v3qt0e9sxkh89sme4cq508q5,533782364.690000
3,addr1q92c0vnsmkcn7vnc2whfz8u5runz76qs0l987jrs9ndjvqy4u7h70d5ljzmg6qjsa0q9xx2c7yuxmhkh587gkf53davq7zln59,f,stake1ux270tl8k60epd5dqfgwhsznr9v0zwrdmmt6rlyty6gk7kq7pvjs5,463194414.070000
4,addr1q8uk0hmsgz2xya8hxdc5vx7meg7sh8xjuznhzkj0kvvfc954yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqakkurt,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,446351799.870000
5,addr1qxx5k89drkc3fye66kwepdukdazqjagx6wd9e59xezn89pv4yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqanwlyj,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,415764571.320000
6,addr1qynf5py55mftnjuc8kkffyz3jmgf39vhr2lxc57tgh8j8s54yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zq3jydfu,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,501313347.430000
7,addr1qxc0t6q5httku8a325pqjmynyrqd33xk2l9f4yyvxjv32eu4yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqx65ct3,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,529390466.190000
8,addr1q8vf40lyqgywzlsg0v9hkccf8qaemj3lv592taakwe6l5054yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqllma3f,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,508756038.030000
9,addr1q9a88d86g8vn73fku89t6knd68twhk8znp4t8gagkjy6r854yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqvs9njl,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,531223397.920000
10,addr1qxugps685x40wx09u5tec6qp85ux6wake964hrc5d6eurlu4yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zq35wu7j,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,429100377.110000
11,addr1qxeuag80cl5rfx5yxrjyhj6nhz599jtcsqsrpe52m3724ty4yxlrr32gugxw60489u469hzke2hx2ejwxnfdnj7m54zqzel6t3,f,stake1ux2jr033c4ywyr8d86nj72azm3tv4tn9ve8rf5kee0d623qwdugzz,441123223.360000
12,addr1qy92vsgra9hpwatnc8x29w4prkrla9s8s9awxhtd75mqu6lledeczpq4dap894u9ne785cxphchzhnuulk03wlxcwhlq608rcf,f,stake1u8lukuupqs2k7snj67zeulr6vrqmut3te7w0m8ch0nv8tlsdytdna,980032813.640000
13,addr1q9er8vp44ntgk4g84yymdygmztqz5yxp9sqt65as6va44hqssd8lz98gc8frxupvujlayc0jhmzvy2jf77ycjtfec9yszrquhu,f,stake1uyggxnl3zn5vr53nwqkwf07jv8eta3xz9fyl0zvf95uuzjgk3m6cp,889829960.870000
14,addr1q9h2wzhswqvx8ul6lvny7ymhgjx978avycuj9p38pt3scxwxmf2xxuef400pk08r9y8sls8p6wr8t2ap90vdmqh7fa6s6hq86p,f,stake1u8rd54rrwv56hhsm8n3jjrc0crsa8pn44wsjhkxastly7aguyk4df,988395534.150000
15,addr1q8gm43m4x0avkvkxwhn99p74jde3rq03ek7jd9dd57n0gwh687fq5dpdlny4j9asmmyrw3tk2cgakq4uw3x6vj8yzvqqcqee8m,f,stake1u8arlys2xsklej2ez7cdajphg4m9vywmq278gndxfrjpxqqejgqfr,801741691.350000
16,addr1qx5vruvrm9708ge5p74pv22w8eglpflypptm92xfdzepvrnyuzet687wvt9y2vte6xzyyd06tve3h452tk43d2hdgm6qazg88j,f,stake1u9jwpv4arl8x9jj9x9uarpzzxha9kvcm6699m2ck4tk5daqygfswz,1179365294.770000
17,addr1qyelpa7an79qr7z9uw506vs56qhgsfr8eq7f5ruguuhfgsvsrrrehtfu7m7ql049e5qnaep75yv0ml527fujmy7xgpcs42cvyc,f,stake1uxgp33um4570dlq0h6ju6qf7usl2zx8al690y7fdj0ryqugv2sy89,1196131119.880000
18,addr1q9n95zkx4w4l77t8szwvnsn6h6ny4khcl30m4xy7f8v49p74qne3dqwqmnejaa55wzwvkamlux2w23xcumda5ne5t2fsadgxjv,f,stake1u82sfucks8qdeuew7628p8xtwal7r989gnvwdk76fu694yc3g3794,1224503585.350000
19,addr1w9m77uujyd6069nfdly22ejtslcdkf8w6z3f4603pzf42tqt6a398,t,NO_STAKE_CRED,1392600598.491058
