address,ada,sweep_rail,first_seen_with_attacker
addr1q82ln7jdwtxf5nf3h25fk69vdhrjsk6y57gvh4j2s7wjz92zc75u7eqjunc6vd9frfjkvh0f7l72qvetempa6a4jy5xqsavuea,100000.000000,unswept_or_other,t
addr1q893fvmqst3t3tcaflfnl6ugqfzrws5vqr0et8057cz6uv5dunc5hdy3cnzqrq53j3lxf3fpcp8n2pz9nwr33zwv92gq47mnsc,100000.000000,unswept_or_other,t
addr1q8pufmnpm8sakxnuhx9ufscvmf2q6uen5tyqzw99shlvc2wkamww5ejxh5nz2lw4894jwkzjnn2fermtryppejtg3nws8d5f40,100000.000000,unswept_or_other,t
addr1q8u3f3t65ptclz92hq03kj4u9u64p8jrwsqhjuq63hh6ncxu6t6z47sfwr8k0n60l33ljcz26vd3emc3k04c760su2dsk7ys7y,100000.000000,unswept_or_other,t
addr1q8ysm9ggytpwvsguvdlue7zrlvx7l7dpxpqutpjr2l9u6waunfddaxrzstha7w8vcm40ff6zhgf4487qdmjpq2pr96xq08rpfv,100000.000000,unswept_or_other,t
addr1qx66dt50gc3vx4avkyrzx8fh9xpflmaztgjlnhw987ynytzz0xx6f60wkk6ym7lh9ccdsu73a0yryez7mgjd90w4rjlqh6c7vh,100000.000000,unswept_or_other,t
addr1qx85t7mptrsnen6756ltjmvr7vpha0w38ncftuahd7cv6nmgtdg4y9tsk94kqmsyxxar2vcd2vfry26uwgz0du9tsdtscm2jce,100000.000000,unswept_or_other,t
addr1qxagzt0vyqs0vsu8esezqttgmzwwrptc7636xzl0z29dvm7yytepnxcys6lqjnwcmwld2q4mg85ugcme8qaf6zyvn6ds3qpulv,100000.000000,unswept_or_other,t
addr1qy5qu9fu08a3letkpkfkxfufhx3y6sqdnucakmugrlcyryzupwvywal6wzk0zhek09accgz3dwxl3zkkrsat9kujw2kqep0rg8,100000.000000,unswept_or_other,f
addr1qy7l3tf4m023fjcmjt2xmjtut6q2afg2l8zq667lgcxyp4vxswls7qwm84r2yltpxlhu0xxy8hpg2pl9nx6mwmlujcrqrejg6a,100000.000000,unswept_or_other,t
addr1qylsln0scqwav3jr74zeu63wsxrhctwyu2mrwa005x8hvj3yd0p6pv97xrs9nzm42tylddsrwrp0q0fyarwcvkqxpstq42vqh2,100000.000000,unswept_or_other,t
addr1qyz2hsalwrfjgzk27vqc8r38vntcak9am7ypegjmuxm2e0h3vpuguum4wfrkkwe68gthgaq37xdnth6xmhvf04lnugaq5kfs8d,100000.000000,unswept_or_other,t
addr1v8082wcxemv53e3e62wj3jlz3v0kwv9jkvdsexdhqhcp58q4tchkp,100000.000000,credit.pay,t
addr1v82u79rh6r89g4uywznapytqz3kt70zqgve5sx7tlxw5jysprhpgu,100000.000000,credit.pay,t
addr1v83anndn6t6ffys7a5xyua8h03p9nxjq6fqc7u2v6dmmumg7dknwm,100000.000000,unswept_or_other,t
addr1v8jjrch9a8g8nmehgstzx0w8ymk97twpgk8ehu6f2ff902szxqf0p,100000.000000,credit.pay,t
addr1v8t69965mjuw4r6gdpsuwsjssqnhczph0vkmz42pcsnck4gv45eeq,100000.000000,credit.pay,t
addr1v9c6wjsfzx5hmqkjvg6meycmzagtn6u0tz78gdq44l6t2tcrjlxp4,100000.000000,credit.pay,t
addr1v9kqmq0p7eu0mev9stq2t6ptq0m53hm8n8emdrdyhdmv0kcdrr42q,100000.000000,credit.pay,t
addr1v9nydkf076q36h6fgd7arav4we9lh0sqanujctnldvmfkpgv9wsd4,100000.000000,credit.pay,t
addr1v9vrplnc3u2nznd2z6ltfc7ktegfxpy0m0v3vr3rpvwnc5s4uc6wg,100000.000000,unswept_or_other,t
addr1v9x9gerde9qkp8huuxn94nenc6pkn2xj24urvzvdmud562gnaypjr,100000.000000,credit.pay,t
addr1vx7a9jjd5ds900wfnpsnvlv4yylkhcqrneky0zpvtutkt8c2uc942,100000.000000,credit.pay,t
addr1vxlm4xmn6ujkl98fkcu4w9asv0kfvkumauhm37tslugpkuc9wad0n,100000.000000,credit.pay,t
addr1vydms4q6l0aerj2h0yadmufn8tlapr90wm7qr9mmmgkeztsa72l4w,100000.000000,Binance 1,f
addr1vydnrw557m46jx7z8twuyqav72gr0yspaa9guve599czducq37pek,100000.000000,Binance 1,f
addr1vydnxp047sv4486fy43an8c27qp4td2ymvz9807h4mxy73cc777gf,100000.000000,Binance 1,f
addr1vydnxp047sv4486fy43an8c27qp4td2ymvz9807h4mxy73cc777gf,100000.000000,Binance 1,f
addr1vydqjxnksaneqadlq9yd97pdv93dgxuc8mk2mydaae9fjpcgkns7c,100000.000000,Binance 1,f
addr1vyecpksj9apyjzu68d93e09ltpngs3en089tnam6h64fxnc9upuf3,100000.000000,Binance 1,f
addr1vyk09fc73vs4jazhwmsa2gauq9gk8crehfchg4dtx3xgvgsydwdqe,100000.000000,credit.pay,t
addr1vyshwwqwt436w6ylhdp8kmp2yt8ec3c8kcz7l3kqk0jx98qsr0u8v,100000.000000,credit.pay,t
addr1vyug3euqff9ter67uzqhpnl8pxzpfjpamuzzctgt9z79cmcjfuf2z,100000.000000,credit.pay,t
addr1vyvuludcafajhd77rgyxt4cgm6vp7wx25pjj02anpqzy48c7d5jku,100000.000000,credit.pay,t
addr1q9gjaxyxyfsatnkzg7fv03u05sny0g9egg5ph2jd9g38yrf657t0hz052q7st0wl95nz643vcwat59y62hcttdkay28sfjxy2h,50000.000000,unswept_or_other,t
addr1q9gjaxyxyfsatnkzg7fv03u05sny0g9egg5ph2jd9g38yrf657t0hz052q7st0wl95nz643vcwat59y62hcttdkay28sfjxy2h,50000.000000,unswept_or_other,f
addr1qys7cvnm9h7xx48wfgdte4nshxt5fkh8gle4gler2l60tmeqhpz36exjmtwcthqdap3lppw0w3mehvjfqmd4xq4uln6s2d48md,50000.000000,unswept_or_other,t
addr1qyzgrn88hcpd6kufxs3qxr6xkdvcj6p9zqzlz87c8vns368zhc8dt8g6wf3fk07epaj20msda2mylrlvm6kdtj09jjkqsq85nr,50000.000000,unswept_or_other,t
addr1v8d3ktgtg0cd5caspmjh48aad29mqztr78u06xd59wpp6hcrjtepw,50000.000000,credit.pay,t
addr1vydppgk9fjjsykpwfc3aw9mhadd3wzmlvkytvehymnd0evsh29rem,50000.000000,Binance 1,f
addr1vydqclgm00vyq6vf852c0zmj62hflqyx5dq3hnrkyzrg5qqcahyuz,50000.000000,Binance 1,f
