cluster_id,pools,stake_ada,block_pct,delegators,abstain_ada,top_drep_ada,has_onchain_links,sample_tickers,last_sync
1,55,2484041059,11.44,345,2482375306,405818,f,ARH CVM EGH FBA FCS FMD FVG GCD GCN KLF KOH LAG N/A OOH RMH RRC RVH TBG TIA TLK TZD UBE UTA WGM,2026-07-08
6,13,503373174,2.20,48,0,428,t,ETO1 ETO10 ETO11 ETO12 ETO13 ETO2 ETO3 ETO4 ETO5 ETO6 ETO7 ETO8 ETO9,2026-05-02
13,8,458053919,2.11,27767,318877903,2468507,f,BTV1 BTV2 BTV3 gjp7a LBF1 LBF2 LBF3 qzsbu,2026-06-04
17,7,441708146,2.15,35957,150194794,683659,f,KILN0 KILN1 KILN2 KILN3 KILN4 KILN6 TW001,2026-06-08
2,29,413158902,2.12,2894,46689221,114965225,t,JAPAN JAZZ JAZZ2 JAZZ3 JAZZ4 JP2 JP3 JP4 JP5 KTN KTN2 KTN3 KTN4 POP POP2 POP3 POP4 QQQ QQQ2 RGDL SPH WA1 WA2 ZZZ ZZZ2 ZZZ3 ZZZ4 ZZZ5,2026-06-21
10,9,391777831,1.80,227170,283914156,85368,t,ESTK EVE EVE1 EVE2 EVE3 EVE4 EVERS EVRST VRSTK,2026-05-11
21,6,355465624,1.55,218,111680370,151218078,f,BD0 BD1 BD2 BD3 BD6,2026-04-16
25,5,313702620,1.59,17475,95710628,16396509,t,NORTH,2026-04-23
4,18,290609941,1.47,41344,82768299,6161090,t,ELLIP NUFI NUFI0 NUFI1 NUFI2 NUFI3 NUFI4 NUFI5 NUFI6 NUFI7 NUFI8 NUFI9 NUFIA NUFIB NUFIC NUFID NUFIE NUFIH,2026-06-09
5,13,277868459,1.35,47658,51302813,15453572,t,0PCT CCV CCV2 CCV3 CCV4 CHEAP DNEWS GURU ITC ITC2 ITC3 PAUL PLTUS,2026-07-06
3,23,258747167,1.28,10478,43784078,22182030,t,1PCT 1PCT0 1PCT1 1PCT2 1PCT3 1PCT4 1PCT5 1PCT6 1PCT7 1PCT8 1PCT9,2026-06-17
7,11,256227327,1.01,8866,201584709,3075148,t,ARF2 ARF4 GMO1 SKY SKY2 SKY3 SKY4 WAV1 WAV11 WAV2 WAV7,2026-06-28
53,3,216921649,1.01,11819,66193132,40753478,t,ADV ADV2 ADV3,2026-05-23
15,7,216889859,1.06,15433,21785318,75287752,t,BLOOM DARK,2026-05-16
12,8,213836924,1.13,11461,44199771,36974418,t,EMUR1 EMUR2 EMUR3 EMUR4 EMUR5 EMUR6 SWM01 SWM03,2026-05-21
14,7,178284586,0.87,7042,28277012,10625980,t,OCEA1 OCEA2 OCEA3 OCEA4 OCEA5 OCEA7 OCEAN,2026-07-01
24,5,172255284,0.79,13401,47089671,5138507,t,EDEN,2026-07-02
31,5,166533857,0.74,8,0,0,t,UPBIT,2026-04-17
30,5,164178805,0.81,6,0,0,t,UPBIT,2026-06-22
20,6,158900986,0.78,8882,36572463,14984924,t,DIGI DIGI2 DIGI3 DIGI4 DIGI5 DIGI6,2026-05-31
29,5,158776059,0.78,8,7,0,t,UPBIT,2026-04-23
87,2,153887149,0.70,4,0,0,f,(anonymous),2026-05-19
9,10,137997964,0.69,1560,619177,107732600,t,MS1 MS10 MS2 MS3 MS4 MS5 MS6 MS7 MS8 MS9,2026-07-02
58,2,129288291,0.59,7583,24379124,14585570,t,ATAD2 ATADA,2026-05-23
28,5,122086530,0.63,15487,22678185,8631067,t,AZDFM AZUR AZUR2 AZUR3 DAPP,2026-05-14
59,2,117546938,0.62,7466,17322013,8477552,t,TITAN,2026-05-24
48,3,112439937,0.56,2661,22396613,18149183,t,AICHI KNY11 TOKAI,2026-06-18
33,4,111116285,0.54,7239,11728140,29978306,t,NEDS1 NEDS2 NEDS3 NEDS4,2026-06-29
47,3,106625838,0.51,16976,27384929,5123207,f,CCV1 DNEWS PAUL1,2026-07-05
49,3,104053016,0.53,2189,16870665,20585299,t,SIPO SIPO2 SIPO3,2026-05-25
18,6,91508082,0.50,1507,10971544,4854525,t,CPS SPS SPS2 SPS3 SPS4 SPS5,2026-05-29
73,2,90395497,0.42,9009,18268515,22453289,t,PILOT,2026-04-27
40,3,84031656,0.41,5050,25217250,5138560,t,ACL,2026-04-20
70,2,79675734,0.33,5889,25678121,4042685,f,APOP PLUSH,2026-07-03
19,6,78874893,0.41,3811,12209022,9967202,t,CALM COOL COOL2 COOL3 COOL4 COOL5,2026-07-08
86,2,77384729,0.35,3523,27411884,23254316,f,FIKA SMILE,2026-06-13
92,2,73416580,0.55,626,7870524,15432,f,IFS1,2026-04-20
42,3,70488812,0.11,6041,46610699,8177244,f,P2P PPCX1 PPCX2,2026-06-16
11,8,66600909,0.31,5341,16731351,4665000,t,BCSH BCSH0 BCSH1 BCSH2 BCSH4 BCSH5 BCSH6 NEWM,2026-06-27
32,4,66155266,0.32,2804,51972291,1644760,t,ONYX,2026-06-21
34,4,65436617,0.34,12849,9724230,6480354,t,ANGEL SION SUNNY,2026-05-19
90,2,64478449,0.32,10762,11292159,5525765,t,BRAVO,2026-04-06
95,2,63782702,0.35,299,16692538,18322578,f,SASA SASA2,2026-07-08
22,5,63406745,0.32,2561,5914624,15392792,t,CCJ CCJ2 CCJ3 HOPE JOY,2026-07-03
84,2,62753931,0.30,4641,18350716,5853750,t,VIPER,2026-06-17
43,3,58276931,0.27,8006,9649813,4653563,f,ADACH STI STI2,2026-04-01
50,3,57052059,0.29,6192,13489521,3325241,t,CNODE FUND FUND2,2026-06-09
