asn,as_name,country,pools,stake_ada,delegators,pools_single_asn,stake_single_asn,delegators_single_asn
16509,"AMAZON-02 - Amazon.com, Inc., US",US,112,3016687945,30556,100,2816653320,20246
396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,58,2065241262,19661,53,1915082337,16494
16276,"OVH - OVH SAS, FR",CA,177,5302075482,665640,86,1163238910,259253
24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,147,1560623210,135634,102,845150691,72613
51167,"CONTABO - Contabo GmbH, DE",DE,117,1051370639,80212,82,688476347,61928
14618,"AMAZON-AES - Amazon.com, Inc., US",US,57,767590970,15818,47,584307635,5641
8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,25,568210434,7103,20,556465905,6206
197540,"netcup-AS - netcup GmbH, DE",AT,97,1372298062,61727,46,411586268,12147
14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",SG,73,1625352150,71685,25,409955775,29523
15169,"GOOGLE - Google LLC, US",US,50,1600403790,36312,9,379269189,494
1836,"GREEN - green.ch AG, CH",CH,7,372535512,163,6,371589281,71
7979,"SERVERS-COM - Servers.com, Inc., US",NL,15,795395138,42431,4,249859359,5995
13037,"ZEN-AS - Zen Internet Ltd, GB",GB,9,312592896,15117,7,243689872,14795
20473,"AS-VULTR - The Constant Company, LLC, US",US,21,237362897,27633,15,151969353,22490
8560,"IONOS-AS - IONOS SE, DE",DE,31,443120542,31573,16,147505108,19679
7992,"COGECOWAVE - Cogeco Connexion Inc., CA",CA,4,142611349,3875,4,142611349,3875
262287,"AS262287 - Latitude.sh LTDA, BR",BR,1,128018574,6,1,128018574,6
201814,"Mevspace - MEVSPACE sp. z o.o., PL",PL,4,94223258,4535,4,94223258,4535
40021,"CONTABO-40021 - Contabo Inc., US",DE,51,578492335,25172,18,91901648,10588
7922,"COMCAST-7922 - Comcast Cable Communications, LLC, US",US,16,133197181,3937,11,87564886,1633
61174,"Glattwerk - Glattwerk AG, CH",CH,1,76785520,2286,1,76785520,2286
16591,"GOOGLE-FIBER - Google Fiber Inc., US",US,11,75095860,5835,11,75095860,5835
62240,"Clouvider - Clouvider Limited, GB",GB,1,73534612,5420,1,73534612,5420
31898,"ORACLE-BMC-31898 - Oracle Corporation, US",SE,22,164541365,25161,9,72437256,17536
63023,"AS-GLOBALTELEHOST - GTHost, US",CA,2,71396190,32,2,71396190,32
12876,"AS12876 - Scaleway SAS, FR",FR,11,170586191,3216,8,66445377,376
852,"ASN852 - TELUS Communications Inc., CA",CA,8,121646586,10573,6,60795619,8622
8881,"VERSATEL - 1&1 Versatel GmbH, DE",DE,1,60198033,5417,1,60198033,5417
1136,"KPN - KPN B.V., NL",NL,10,88326962,4029,7,55201534,1911
6871,"Plusnet - British Telecommunications Limited, GB",GB,5,55190214,9477,5,55190214,9477
395201,"ALLNODES - Allnodes Inc, US",US,1,50024643,3204,1,50024643,3204
63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",US,6,131435479,8029,3,43134324,1657
577,"BACOM - Bell Canada, CA",CA,9,44096668,23092,7,40141374,22631
6939,"HURRICANE - Hurricane Electric LLC, US",US,1,39237739,1454,1,39237739,1454
50178,"LIMITIS-AS - Limitis s.r.l., IT",IT,1,38426757,1012,1,38426757,1012
38195,"SUPERLOOP-AS-AP - Superloop, AU",AU,2,30665927,1736,1,22796061,621
14671,"TACONIC - FairPoint Communications, US",US,1,17478212,448,1,17478212,448
2514,"InfoSphere - NTT PC Communications, Inc., JP",JP,8,31972062,969,5,16089469,248
54290,"HOSTWINDS - Hostwinds LLC., US",US,1,14707137,4147,1,14707137,4147
7545,"TPG-INTERNET-AP - TPG Telecom Limited, AU",AU,4,88211747,12521,2,13493571,6193
135377,"UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK",HK,1,13454134,904,1,13454134,904
