pool_bech32,ticker,stake_ada,delegators,pledge_ada,operator,kind,endpoint_host,port,blocks_all_time,endpoints_registered,endpoints_foreign
pool1lx7hdfz430vmrwhkrdgxu8c0xclffltavmkejpqzzz4ax0lnfvd,NIGHT,981696,94,1000,IOG,fe_bootstrap_backbone,backbone.cardano.iog.io,3001,294,3,3
pool1lx7hdfz430vmrwhkrdgxu8c0xclffltavmkejpqzzz4ax0lnfvd,NIGHT,981696,94,1000,Cardano Foundation,fe_bootstrap_backbone,backbone.mainnet.cardanofoundation.org,3001,294,3,3
pool1lx7hdfz430vmrwhkrdgxu8c0xclffltavmkejpqzzz4ax0lnfvd,NIGHT,981696,94,1000,Emurgo,fe_bootstrap_backbone,backbone.mainnet.emurgornd.com,3001,294,3,3
pool1vp5fev56urx924nyxj5qjvzcsh76e47c4lc8xruh0rdlv0n2kvt,REIT,24114,24,5000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,33,3,1
pool1h5uycju7n5puxn2ckfkpza550rf6jk4twr6ef0hsmxft78ajt6q,IOGP,5466,2,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,2800,1,1
pool1n3agd6rep8jw3gff684mja56ns6wqmshayu0av7hxcgx7f4pnwy,,4593,3,1097,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,0,1,1
pool148ajvsw7z9mhgw43tqvgmfrv22azvm638knkqghqv497xvdl2tk,IOGP,1021,2,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,971,1,1
pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,IOGP,3,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,1145,1,1
pool1646vlaras0deljthqtfl9dpdw2xsna799l0kayyu9v44cql4ky0,IOGP,3,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,1182,1,1
pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7,IOGP,1,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,2952,1,1
pool1ha70qvqwnmnwpa7e575y9tgyx47aw29rvkz73mnf42z5wet5dr3,IOGP,1,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,1171,1,1
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,961,1,1
pool172fsazvg6zrpkj7c8wklsp7lrn5yxjvhru4enddvvfnyx343dyc,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,738,1,1
pool1867sv2tgcq2cjmyhqgsfveekmsy5zksld69zhgrlkluukfydq29,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,508,1,1
pool18w4dzpe8wtkx29scf74qmshrf58xg760mcxu5p7s0azxufwwgec,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,454,1,1
pool19r4ef6n0xkw3pvztuwd44ymrzrkylyralnf5rudnc7hnvvddyqz,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,640,1,1
pool1cx8njhvw34weqykla5fz38ngt3dr4d0ltv0srqjqa8ugzap937l,IOGP,0,1,44000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,389,1,1
pool1e827fy8efd7n9zacdknhtr2n5rqmry5up05mqgqsjkmmzjmzrf3,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,953,1,1
pool1gctelcfktanxhqfjw88vjp9v0ayumd6lr3re38pjw3kvvc8tanq,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,724,1,1
pool1ge06eu8lvdj6jakxw8zuwj3yxtpmeek8j8rgwqfshj7vg390fj0,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,496,1,1
pool1hfxjswx4wnpfmdad660hvzx4knjhf32uwgg6wgsnqp98x9zz927,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,971,1,1
pool1j0j39t2dfmkflfnvresds8vlfhwg75qwufa95u55nw376ky29r8,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,777,1,1
pool1kcw2kqj27qe7ntsz9fhvyvyvpf7prclwc5jq4cw0qydh7cygcek,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,929,1,1
pool1kp0wl7kxn0zt5xtmld72s98rv6ejpufvl39qk26h99nqshmkmge,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,731,1,1
pool1pmknsy9yqh06fpmduf8vzcvkzpllygjj8uzkjccgvewtq9uc53k,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,779,1,1
pool1q3snnww4ggayr8hd6gd83ypx982yhwlhywlcew7yxq46jzyst2g,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,800,1,1
pool1q4l2wpswlanqszppj4tcvgw4j9wdjmadqky57dq0wqhg5tmhsxn,,0,0,15200,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,6000,0,1,1
pool1sr82s7yvwwsy6q0geveawrglt8ss39jhsfz7d0p4a5y6kk30mdd,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,487,1,1
pool1szgruqm2dlhkh5qh7rft28xz9gkxj6rzfncsuquf3vm37k63kqv,IOGP,0,2,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,849,1,1
pool1t5zgwakxfmqxgu7l65fk45u33frlqrvgsvzn7demdy0ejgrhq9a,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,744,1,1
pool1tjaz8a62743k5tzdd8lyd0sgf2lcvtk09jsz9etvas82zdamc2q,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,999,1,1
pool1v8lgn85mfvj0hhslfjz2u0nut43ahkhuzhfcm5aexjkewn8krle,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,638,1,1
pool1v9gqa6n4em4aly7ew2trvhgrath4mrsp9tyc290l638nvqs5aej,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,1019,1,1
pool1x5ge78ks6jc0j8nsfwyqqhk2ukxlkvz7zxlm9utgk6405hh490n,IOGP,0,1,1000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,1151,1,1
pool1y9xftc4cq0svcv0gjdtusnvllrg5v5rn0d24g8r4m7tnsem6ve8,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,932,1,1
pool1ygamv2t9lw03khcxpe75rjd4p8lnn36hux3deeg3hrc3jwrx43z,IOGP,0,1,64000000,IOG (retired),fe_legacy_relay,relays-new.cardano-mainnet.iohk.io,3001,453,1,1
