pool_bech32,ticker,endpoint,endpoint_kind,endpoint_host,port,target_host,target_port,resolved_ip,handshake_ok,failure,rtt_ms,at_tip,checked_at
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,ipv4:165.232.146.185,ipv4,165.232.146.185,3000,165.232.146.185,3000,,f,timeout,,f,2026-09-06 03:17:22+00
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,dns:relay1.888pool.io,dns,relay1.888pool.io,6000,relay1.888pool.io,6000,62.171.185.139,t,,114.25,t,2026-09-06 02:43:33+00
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,dns:relay2.888pool.io,dns,relay2.888pool.io,6000,relay2.888pool.io,6000,194.156.151.163,t,,130.96,t,2026-09-06 02:44:18+00
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,dns:relay3.888pool.io,dns,relay3.888pool.io,6000,relay3.888pool.io,6000,92.243.139.220,t,,117.69,t,2026-09-06 02:44:56+00
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,dns:relay4.888pool.io,dns,relay4.888pool.io,6000,relay4.888pool.io,6000,87.21.58.242,t,,128.37,t,2026-09-06 02:45:06+00
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,dns:pool1.romerstakepool.io,dns,pool1.romerstakepool.io,4021,pool1.romerstakepool.io,4020,80.60.116.153,t,,145.05,t,2026-09-06 02:42:56+00
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,dns:pool1.romerstakepool.io,dns,pool1.romerstakepool.io,4020,pool1.romerstakepool.io,4020,80.60.116.153,t,,145.05,t,2026-09-06 02:42:56+00
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,dns:pool1.romerstakepool.io,dns,pool1.romerstakepool.io,4021,pool1.romerstakepool.io,4021,,f,no_route,,f,2026-09-06 03:03:14+00
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,dns:pool1.romerstakepool.io,dns,pool1.romerstakepool.io,4020,pool1.romerstakepool.io,4021,,f,no_route,,f,2026-09-06 03:03:14+00
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,ipv4:148.113.17.23,ipv4,148.113.17.23,6000,148.113.17.23,6000,,f,timeout,,f,2026-09-06 03:14:31+00
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,ipv4:149.102.140.164,ipv4,149.102.140.164,6000,149.102.140.164,6000,149.102.140.164,t,,105.88,t,2026-09-06 02:48:25+00
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,ipv4:158.69.25.103,ipv4,158.69.25.103,6000,158.69.25.103,6000,,f,timeout,,f,2026-09-06 03:15:39+00
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,ipv4:46.4.53.238,ipv4,46.4.53.238,6000,46.4.53.238,6000,46.4.53.238,t,,120.62,t,2026-09-06 02:54:04+00
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,ipv4:3.142.161.47,ipv4,3.142.161.47,3001,3.142.161.47,3001,,f,timeout,,f,2026-09-06 03:25:00+00
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,dns:cardano-relays-1.nu.fi,dns,cardano-relays-1.nu.fi,3003,cardano-relays-1.nu.fi,3003,144.91.109.112,t,,105.91,t,2026-09-06 02:41:42+00
