pool_bech32,ticker,stake_ada,delegators,blocks_last_30_epochs,minted_last_30_epochs,relay_entries,distinct_endpoints,registration_class,relay_additions,relay_reductions,ever_removed_all_relays,removed_all_relays_on,endpoints_probed,reachable_hosts,at_tip_hosts,endpoints_untested,best_rtt_ms,shares_endpoint_with_other_pool,reachability_class,last_checked
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,TW001,113314118,35771,3505,t,3,3,MULTIPLE_ENDPOINTS,0,0,f,,3,3,3,0,112.5,f,MULTI_REACHABLE_HOSTS,2026-09-03 03:09:15+00
pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,PPTG1,112586037,5808,2486,t,3,1,SINGLE_ENDPOINT,1,0,f,,1,1,1,0,107.25,t,ONE_REACHABLE_HOST,2026-09-03 02:40:19+00
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,gjp7a,87707140,86,2473,t,1,1,SRV_MULTIHOST_POSSIBLE,0,1,f,,1,9,9,0,30.18,f,MULTI_REACHABLE_HOSTS,2026-09-03 02:56:31+00
pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,WAV1,85248982,35,942,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,3,3,0,24.71,t,MULTI_REACHABLE_HOSTS,2026-09-03 02:46:14+00
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,LBF2,84433396,10607,2591,t,1,1,SRV_MULTIHOST_POSSIBLE,0,1,f,,1,9,9,0,27.69,f,MULTI_REACHABLE_HOSTS,2026-09-03 02:56:47+00
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,80937337,43,2399,t,3,3,MULTIPLE_ENDPOINTS,0,0,f,,3,3,3,0,107.17,f,MULTI_REACHABLE_HOSTS,2026-09-03 03:08:16+00
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,,77295610,3,2201,t,1,1,SINGLE_ENDPOINT,1,0,f,,1,1,1,0,184.94,f,ONE_REACHABLE_HOST,2026-09-03 02:47:32+00
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,,77237884,2,2193,t,1,1,SINGLE_ENDPOINT,1,1,t,2022-12-07,1,1,1,0,183.54,f,ONE_REACHABLE_HOST,2026-09-03 02:47:29+00
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,WPBJ1,77049779,109,2207,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,3,3,0,24.71,t,MULTI_REACHABLE_HOSTS,2026-09-03 02:46:14+00
pool1zm5qw9r7fz25t2epjgvzynsj3gp5puxcwy7363zy3265ujndfaw,,76834086,1,1158,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,0,0,0,,f,NONE_REACHABLE,2026-09-03 02:57:36+00
pool1alseugmsr68dn8mlen92jqgdc6nm4f3dvqyc8m55fgl967ytyua,,76831814,1,1061,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,0,0,0,,f,NONE_REACHABLE,2026-09-03 02:57:36+00
pool1m6awcstjzafepr5dwan54gemvh4y8dlvmqjtpwxsa7uqurcuq0l,,76831813,1,1093,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,0,0,0,,f,NONE_REACHABLE,2026-09-03 02:57:36+00
pool1c3f370yr063cpzpdapsdyqye8dutrztqjfhrug8dr3uj7d50375,,76831438,2,1109,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,0,0,0,,f,NONE_REACHABLE,2026-09-03 02:57:36+00
pool1qcvvyev6gdhdnggvypta045l0vtruawayq6gap29a99c755k8nm,,76830299,1,1113,t,1,1,SINGLE_ENDPOINT,0,0,f,,1,0,0,0,,f,NONE_REACHABLE,2026-09-03 02:57:36+00
