pool_bech32,ticker,stake_ada,delegators,endpoint_kind,endpoint_host,port,defect,why,blocks_all_time,endpoints_registered
pool138s0uwydwtrhkaqj4uwkh37yqw098v9v6nf5q08k9nugumlf8mw,AURA,10502599,29,dns,http://a1.aurapool.online/,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,2903,2
pool138s0uwydwtrhkaqj4uwkh37yqw098v9v6nf5q08k9nugumlf8mw,AURA,10502599,29,dns,http://a2.aurapool.online/,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,2903,2
pool1gnnwyf9vwcgtm3us0w0duuy43r9k7yhnchvyx0xqv9766ysw2a9,A2A,4244219,20,dns,https://ada2a.ddns.net,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,766,1
pool18hpttrmc7v6nhjcywhdpymwzxv3y9kujzc5ne53jjdlf6hxa7cv,5FOLD,758451,31,ipv4,192.168.66.143,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,171,1
pool14rs7ky0p867k0fe9mk3uug9c6w0mwlz3sllh7rpwxcqacr70s8t,KIKO,110503,2,ipv4,10.0.3.185,3001,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool14rs7ky0p867k0fe9mk3uug9c6w0mwlz3sllh7rpwxcqacr70s8t,KIKO,110503,2,ipv4,10.0.5.19,3002,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool18q92uyx3973u3qt64nxf8p7us58gwkytrn0c3ed2a99s5uc9usc,FREE,101747,7,ipv4,127.0.0.1,3001,loopback_address,"a loopback address resolves to the machine doing the asking, so no other node can ever reach it",2,1
pool19clgr0yxjs8pqmlsmfzu6hg5muy5ws2rze5hlesg0v7tvyhcgxh,ACUDA,57013,18,dns,http://r.acuda.site,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,7,1
pool12p0qtp89dfzr6spqq4xl6ha2s9m8lqydnvfafyd0h38fy0hfv3f,PANDA,45059,9,ipv4,192.168.1.100,3000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,922,1
pool1tnymyv08dl3k9wyfz040vq626542ztm60wwyu7szwl5l6x9h3vl,VCC,35880,42,dns,https://pool.cardanolibrary.net/,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,118,1
