domain,pools,stake_ada,delegators,tickers
aeq5f.com,41,1109854547,34472,BTV1 BTV2 BTV3 BTV4 FGMT4 FGMT5 FGMT6 FGMT7 FGMT8 FGMT9 FGMTA FGMTB FGMTC FGMTD FGMTE FGMTF FGMTG FGMTH FGMTI FGMTJ FGMTK FGMTL FGMTM FGMTN FGMTO FGMTP FGMTQ FGMTR gjp7a LBF1 LBF2 LBF3 LBF4 LBF5 LBF6 qzsbu zzcf1
staked.cloud,34,1114899466,141,FKAI STKD
ddns.net,33,79663085,10518,7SEAS A2A AVOC BEADA BHMT BIDA BROCK DC5 DEV ECHO GRANA HKB JSY MAYA MEOW MONTY NIXE PREEB RELAY ROCKY ROS SRN STKCH TGEM VITAL
iohk.io,33,36377,61,IOGP REIT
bison.run,29,1386593251,268,COIN EGH FBA FCS FMD GCN KLF KOH LAG N/A OOH RMH RRC RVH TBG TIA TLK TOT TZD UTA WGM
1percentpool.eu,28,241532243,10845,1PCT 1PCT0 1PCT1 1PCT2 1PCT3 1PCT4 1PCT5 1PCT6 1PCT7 1PCT8 1PCT9
duckdns.org,22,29700268,2698,AIADA AION ATLAS BAT BBO BLNC BONE C2VN HADA MOST NSPYR PMP PWP SIMBA TREFI VENUS VILAI WRHP
herd.run,20,1168301349,171,ARH CVM FVG GCD N/A UBE
upbit.com,20,647033889,27,UPBIT
nu.fi,17,281154454,39435,NUFI NUFI0 NUFI1 NUFI2 NUFI3 NUFI4 NUFI5 NUFI6 NUFI7 NUFI8 NUFI9 NUFIA NUFIB NUFIC NUFID NUFIE NUFIH
everstake.one,15,638178603,267764,ESTK EVE EVE1 EVE2 EVE3 EVE4 EVE5 EVE6 EVE7 EVE8 EVE9 EVERS EVRST RSTK VRSTK
wavepool.digital,13,671067868,9521,GMO1 GMO2 SKY SKY2 SKY3 SKY4 WAV1 WAV11 WAV7 WPBJ1 WPBJ2 WPBJ3
kiln.fi,11,546554759,36436,KILN0 KILN1 KILN2 KILN3 KILN4 KILN6 KILN7 KILN8 KILN9 TW001 TW002
