merge_tx_hash,epoch_no,block_no,block_time_utc,root_combo,root_count,traced_input_rows,traced_input_lovelace,min_input_depth,max_input_depth
c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76,4,105004,2017-10-18 05:15:51,emurgo+fourth_entry_781m,2,2,1855547037657684,0,2
71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78,7,156971,2017-10-30 05:58:51,emurgo+fourth_entry_781m,2,4,4711094174957320,1,3
45862b04d0ff4b48923eeb2d185e4ecc9864bc80380fc2e646d0b0b25083a3e8,7,156979,2017-10-30 06:01:31,emurgo+fourth_entry_781m,2,2,5693982408583012,2,2
93cf71b598fd47e1ebbc0721972cb6118bda3fc92c7038d1b3b528a8e8d6f5e8,7,156985,2017-10-30 06:03:31,emurgo+fourth_entry_781m,2,2,5507307502240520,3,3
a462e1f070099b1c61d8bdf071fbb859f55d61a479751c30920d99dc6a79bb37,7,156989,2017-10-30 06:04:51,emurgo+fourth_entry_781m,2,2,5490640837898028,4,4
79118ff95082c5614f7b1e3c03421ecdadafe8be69979002e10565b7e2018d61,7,156993,2017-10-30 06:06:11,emurgo+fourth_entry_781m,2,2,5482307505555536,5,5
b64aa27726118446103b265724efe9c0bcf063fb8a45071f2dba6950ab3c2c4f,7,157006,2017-10-30 06:10:31,emurgo+fourth_entry_781m,2,2,5482307305213396,6,6
8303da9e07e9e6146013840d17c6167a1827019f821f55b6032e27bc7328e989,7,157009,2017-10-30 06:11:31,emurgo+fourth_entry_781m,2,2,4995985116870904,7,7
10dbea7cab7d57a83376f5994e05dbfc6919892e85907d76efcb59d36d8dbf5c,7,157011,2017-10-30 06:12:11,emurgo+fourth_entry_781m,2,2,4937649208528412,8,8
fc861d313b594f812e3487d458496d960cf9acb7117d0225c0ae0db5ad22e049,7,157013,2017-10-30 06:12:51,emurgo+fourth_entry_781m,2,2,4895982548185920,9,9
a1d69ce7b0810ee998d34e813379f1783fe597418e85c90741ec7e7a6667877d,7,170397,2017-11-02 08:34:31,emurgo+fourth_entry_781m,2,6,586324756000000,7,9
cf6454d21387b44b8cdbae68ae9270623e3a9d17b05fabe82f043d97b1304e40,7,170402,2017-11-02 08:36:11,emurgo+fourth_entry_781m,2,2,620548485610134,8,8
a663bdad40c5eefe780b3630924495be3f136cad07f3acc09b369a217436a137,8,179073,2017-11-04 08:46:31,emurgo+fourth_entry_781m,2,2,8333332000000,5,5
7091c5987d01457c7411c356554b6d971144c878cda690232e3fec069975a37f,8,184404,2017-11-05 14:23:31,emurgo+fourth_entry_781m,2,4,130000002000000,8,9
31cb83dd3db5b78112b0631d5c247953acaabcd2911e08ed1ade03370fca2bc4,8,184412,2017-11-05 14:26:11,emurgo+fourth_entry_781m,2,2,30000000000000,9,9
d95bd141ff81c835a523720fa49f32ccb2d91d6612b2054547cf0cd514b3573f,9,204039,2017-11-10 03:28:31,emurgo+fourth_entry_781m,2,2,100000001641600,9,9
e4ee897274891227116f2891485114b57b338444b55e9f408bad4073d22ee9bd,12,269440,2017-11-25 06:51:11,emurgo+fourth_entry_781m,2,2,186674906000000,3,3
78f4739b967eebabd7801693bc9fa4e01f2c0d46135658ee3ffe2a7c4c6f8ae8,12,269473,2017-11-25 07:02:11,emurgo+fourth_entry_781m,2,2,12471600000000,4,4
feeba17d8fead98001f4af5367857bfcfe0bc46c30c03adac90b8255c4420707,12,269501,2017-11-25 07:11:31,emurgo+fourth_entry_781m,2,2,174203305657508,4,4
974dde6c83078ed088fb92eb40cd3e145715db5c85f1dd49941682fb6b97d540,12,273751,2017-11-26 06:48:11,emurgo+fourth_entry_781m,2,2,17111866000000,2,2
835fb311face937a6853c97c5ba1b4219f4aa383496fe3283338c5197a55884c,13,286111,2017-11-29 03:28:31,emurgo+fourth_entry_781m,2,2,87203305315016,5,5
498ff647e4f7cca05a4035a8a99594acd4d97b02712e1045249cefa9ec723989,14,308007,2017-12-04 05:07:51,emurgo+fourth_entry_781m,2,2,12471596000000,5,5
7d06f0948ffb2972e9558c06ea28ea0743c0b8d7d50dba851a2e6b2075235e52,15,329813,2017-12-09 06:17:51,emurgo+fourth_entry_781m,2,2,83203304972524,6,6
b0a9740b136b5afec30282d9f624cb0b31a5e59663637aaabb277d97bd6293e2,15,329817,2017-12-09 06:19:11,emurgo+fourth_entry_781m,2,2,83203104630384,7,7
98450622d1a07d9c0f0a7d1dd82b6c551e660f73696bb8b105db0d33ece90dd3,15,329822,2017-12-09 06:20:51,emurgo+fourth_entry_781m,2,4,80000200000000,7,8
e5ba98e688411f0e1a6b180455f7ca41ef6bef1a958890c6febca680231ff983,15,342219,2017-12-12 03:13:31,emurgo+fourth_entry_781m,2,2,87000000000000,5,5
588eddf204b7c9741a3cc8ceb8677761e8afb211501be77863681f0aac42511d,15,342226,2017-12-12 03:15:51,emurgo+fourth_entry_781m,2,2,86997999657860,6,6
91167704f823caad409db5d143586b94a06f8e3d15b8b3a2a4c15b398850669c,15,342954,2017-12-12 07:18:31,emurgo+fourth_entry_781m,2,2,84997999315368,7,7
6f1e04ea9ad9b47244904dba90da8a53635f8bd8582edc7da1a03b126ce72065,15,343170,2017-12-12 08:30:31,emurgo+fourth_entry_781m,2,2,82997998972876,8,8
c72db6cbbe84db0686cc21dd95d8e586d699e0b09287c651c898c69d3ae27c25,16,352934,2017-12-14 14:45:31,emurgo+fourth_entry_781m,2,2,82597998630384,9,9
d06897cdf0dccc680d4db0e13d2bd55afce5d42d15f137dab8b00132c64ea481,16,353130,2017-12-14 15:50:51,emurgo+fourth_entry_781m,2,2,3203104287892,8,8
7d64675b6d5269ad77c6485ae6b67dc4b4f1d17dba1446ab1ac4f10dea0a9a65,16,359499,2017-12-16 03:14:11,emurgo+fourth_entry_781m,2,2,200000000000,9,9
6b84861760134cd8720e1c5e967bac4254a0a679df16bcc40cf60d0382b756da,17,374703,2017-12-19 15:43:11,emurgo+fourth_entry_781m,2,2,490548485267642,9,9
f27188850af5bb9e8e569e4deb36380691d7d94867f8723e8c8fe74e008a8c12,18,392085,2017-12-23 16:17:11,emurgo+fourth_entry_781m,2,2,200000000,6,6
400223f34ef322d62c82ea054140fd188afa5b7ec25567fb5fd60ee065288064,25,557036,2018-01-30 20:47:51,emurgo+fourth_entry_781m,2,2,2000000000000,6,6
