snapshot_utc,trace_schema,root_seed_id,min_depth,utxo_rows,total_lovelace,distinct_stake_addresses,live_unspent_rows,live_unspent_lovelace
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,0,1,648176763000000,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,1,2,648176762828930,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,2,4,1296353523778555,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,3,5,1944353023132999,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,4,6,1294353023622820,0,1,47
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,5,5,1248176762154721,1,1,1529484
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,6,6,1150177740256467,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,7,10,1639284273611177,1,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,8,14,2002378666955729,5,1,93571
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,9,31,1806966811723904,8,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,10,101,1311332320597000,13,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,11,236,1407100692358199,22,1,1000000
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,12,955,1059321245048323,57,3,5372172991
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,13,3289,1954292208331312,188,53,294649722668
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,14,9530,4602699804493579,655,131,1677473809408
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,15,23394,14474607485092022,2059,355,2803091707348
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,cf,16,55660,25726833937759163,6553,1038,211490577883936
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,0,1,2074165643000000,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,1,2,2074165642828930,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,2,4,4929712679949190,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,3,6,4807372185145464,0,1,131
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,4,8,3027547188821234,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,5,16,3052111781208372,0,2,1836423
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,6,26,3052511776739624,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,7,54,3137457667017907,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,8,109,3312741462121147,3,3,6998653070
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,9,241,6113105895999711,6,4,200100521450
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,10,601,6483524014767392,16,9,530983613897
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,11,2552,9479307480844640,148,26,85931674848
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,12,12023,15620301506724609,973,181,363933023244
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,13,54683,27528874954569548,6316,1049,3165698685150
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,14,215819,47393133098196070,40269,5039,251591031860684
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,15,710016,102299827074583355,148326,19125,71336722617927
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,emurgo,16,1336885,202779575187708779,276129,40420,395437028710355
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,0,1,781381495000000,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,1,2,1855547037478791,0,1,131
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,2,2,2855547137291506,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,3,4,2951825147666673,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,4,8,3027547188821234,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,5,16,3052111781208372,0,2,1836423
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,6,26,3052511776739624,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,7,54,3137457667017907,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,8,109,3312741462121147,3,3,6998653070
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,9,241,6113105895999711,6,4,200100521450
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,10,601,6483524014767392,16,9,530983613897
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,11,2552,9479307480844640,148,26,85931674848
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,12,12023,15620301506724609,973,181,363933023244
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,13,54683,27528874954569548,6316,1049,3165698685150
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,14,215819,47393133098196070,40269,5039,251591031860684
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,15,710016,102299827074583355,148326,19125,71336722617927
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,fourth_entry_781m,16,1336885,202779575187708779,276129,40420,395437028710355
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,0,1,2463071701000000,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,1,2,2463071700828930,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,2,4,2463071700486790,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,3,8,2463071710794555,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,4,14,2463186134607310,0,1,1000000
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,5,26,2478732164570516,0,0,0
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,6,59,2533629957698500,3,1,1000000
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,7,148,2656978681241861,11,11,175909214675
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,8,424,3772487853170646,59,4,706865364
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,9,1794,7851845347880193,319,26,172769722835
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,10,9944,8296105415149338,2198,249,906827293472
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,11,55102,16289895613623576,11440,1287,6437474505339
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,12,227288,38452160979374859,51692,5768,48851974046160
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,13,787042,109501971443242918,179591,21614,60559236843686
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,14,1454386,206113996345191072,315374,46736,381833072939400
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,15,2017990,303419213962754812,439938,71437,604467317069641
2026-06-11T14:07:39Z,abcde_forensics_stage_depth16,iog,16,3455829,434068830827400134,652512,121173,1159128989990940
