artifact,bucket,rows
cross_entity_merges,cf+emurgo+fourth_entry_781m,990
cross_entity_merges,cf+emurgo+fourth_entry_781m+iog,3948
cross_entity_merges,cf+iog,8136
cross_entity_merges,emurgo+fourth_entry_781m,90635
cross_entity_merges,emurgo+fourth_entry_781m+iog,423971
trace_utxos,0,4
trace_utxos,1,8
trace_utxos,2,14
trace_utxos,3,23
trace_utxos,4,36
trace_utxos,5,63
trace_utxos,6,117
trace_utxos,7,266
trace_utxos,8,656
trace_utxos,9,2307
trace_utxos,10,11247
trace_utxos,11,60442
trace_utxos,12,252289
trace_utxos,13,899697
trace_utxos,14,1895554
trace_utxos,15,3461416
trace_utxos,16,6185259
