asset_name,asset_name_hex,fingerprint,hop,cluster_key,address,stake_address,prev_cluster_key,same_cluster_as_prev,tx_hash,tx_out_index,block_no,block_time,is_terminus,is_valid_deposit
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,1,s:stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,,f,5a27e1bd9cef474dad07b76c158525ddff6e011f6dd93a25ecb4ad27180ef7b0,1,13557737,2026-06-16 14:12:01,f,f
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,2,s:stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,s:stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,f,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,2,13557784,2026-06-16 14:24:17,f,f
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,3,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,f,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,0,13590458,2026-06-24 07:44:06,f,f
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,4,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,t,7d6dd9b2af2d496b5c9f583bfa1e7244b4276209b638a5590c76657514e543df,1,13629146,2026-07-03 08:01:17,f,f
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,5,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,t,f5fff2ff54951d7775ffc13645e61e5a7fa7a6f1fd2314841f2d130a7e6564b7,2,13689535,2026-07-17 10:26:29,t,f
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,1,s:stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,,f,5a27e1bd9cef474dad07b76c158525ddff6e011f6dd93a25ecb4ad27180ef7b0,1,13557737,2026-06-16 14:12:01,f,f
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,2,s:stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,s:stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,f,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,2,13557784,2026-06-16 14:24:17,f,f
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,3,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,f,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,0,13590458,2026-06-24 07:44:06,f,f
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,4,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,t,7d6dd9b2af2d496b5c9f583bfa1e7244b4276209b638a5590c76657514e543df,1,13629146,2026-07-03 08:01:17,f,f
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,5,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,t,f5fff2ff54951d7775ffc13645e61e5a7fa7a6f1fd2314841f2d130a7e6564b7,2,13689535,2026-07-17 10:26:29,t,f
