asset_name,fingerprint,from_address,from_stake_address,to_address,to_stake_address,spend_tx_hash,block_no,block_time
TRACER05718F936A0FFCC100,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC101,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC102,asset1wn9z98epr2rkkt0x9ac96vstgjym2y2x6fqyq8,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC103,asset1pfurdsxk8vgqn85d9t7aeywt0m86d07e9xrcfq,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC104,asset1ushv54j46fd76rzg2u39t50xc99fzkkl9t3y5y,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC105,asset10j2r5vpdv8lhwl2mla349qpdj52f064fmklf28,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC106,asset1vv0lwdamykz0dj7mz5ymqk9m8gufd8n0nvce3f,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC107,asset12f4rg7r4luxxa0cxl3tjgv779r0z9ugyendsdd,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC108,asset18xxe7gwvnnj8qtvz7gk24pc9xm6alsal7xrw9y,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
TRACER05718F936A0FFCC109,asset19k88gj7qq6pl3xag6yxte3slckpz6cpfsxcut2,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu,stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,addr1q86l8xrtca38psy3wseqrdd73cja2n9f86rjnrgfd67gx66xcn477nfjjwn7ql9en0alqsrc58w4rzw0l9tmxc2ka33s4cdnyv,stake1u9rvf6l0f5ef8flq0jueh7lsgpu2rh23388lj4anv9twccca2h37j,c4a2fdf00e093c0a7a212bd7a5854eb8968f75e88fd83cd4b85b6ae518719e30,13557784,2026-06-16 14:24:17
