stake_address,addr_id,drep_id_bech32,epoch_no,tx_hash,block_time
stake1u9gvea70qvsvllu44aa5qr4l9r7rw6tt6l6mtykquctk35c99c784,2130,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,507,102beec51a1ac5e5d29f21504f1f2c834eafb2bba79c8bc2c97e7e6a2832b0f4,2024-09-02 16:11:33
stake1ux2e5w3rgf7j2nmgd6sqcy884jxe8flumqy5z275c00u0ngjze4nj,5505,drep_always_abstain,507,18cc103f788dec73030a3b41f19bd42a9fb4a3b505c3664e3b3ec2273090ba27,2024-09-03 13:49:59
stake1ux6klt4t304g842tk9l8myk3lj0azhxaw5yjspqwyqcyspqngdfs0,173134,drep_always_no_confidence,507,c5c5b13b5ab38e8649cdcbf81d7a38cc5616e6104bc7a70cb44425bb732dc8f2,2024-09-03 16:57:01
stake1uy7z2trhd87x3h386jl4uxturz8r8z74esq9dam5vqfaassmau0lk,2340940,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,507,404b2c65e1c09cb2a7eba980c93bb7804a9b79d99b1f7b21154fdfd542fd3391,2024-09-03 04:29:46
stake1uyfsmlufrchv79rzvjwcxp6cjmzllyqsh9praa9zje6haas3jhpet,48008,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,507,29794ea017acb1c66c7fd49e2098ab568b14a170f146b91ba9ab159d107a781c,2024-09-05 21:39:22
stake1uyk59qn5qzgtkzu6htjktxcd93umuqn99dla6khcmd067fcj70dn8,64299,drep_always_abstain,507,ee6c484977902834c22af823557dd05fa960ce42b65cf60b6a292a66d04c13a2,2024-09-02 00:20:23
stake1u8n0z0tngr0e5f0mvqvanqtg4pjq3mupn9dtaz7m75lgrqqs8q97e,38355,drep1kwquh5nf00lfhxmxafd6y6pgc25fvm0d8xx2rtaymtpjgyjagzn,508,6bbefa9837452b5a13cead3e6c6625236783e6e2be3da16ea512c1dad733583e,2024-09-11 13:54:12
stake1u9mwjgt28pp4kp8amj2jrh80tlhsln322mr2k93te66te7cxdp4j8,79990,drep1jk8rk0p7py52vz4jnhwjtn4nhyptnr5tcvewgpahwu7djkqu46m,508,f8fbbf86b45cd52bd3d468f5c112c4f668dda3c0b4dc6494b35f8b175b5a9f12,2024-09-07 15:11:14
stake1u9mwjgt28pp4kp8amj2jrh80tlhsln322mr2k93te66te7cxdp4j8,79990,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,508,0e9b224e7cfacabb257643b018f3d27df286162bcfe0c0d98dbbe5e43106fbdd,2024-09-09 15:55:57
stake1u9url9ytqphzqm0ql3ffrp7m6wftxjsnwtwx7k5ma02rjccjhqjdz,56450,drep_always_abstain,508,9af14496c8ee8447cc80475f94eff58e18b2099b0797020f1f5d6255439cbcec,2024-09-07 20:16:41
