seed,final_category,utxo_count,total_ada,pct_of_seed
CF,BYRON_DORMANT,14664,7479801175.90046700,51.94
CF,EXCHANGE,3674,4611951405.22721300,32.02
CF,DORMANT_STAKED,4643,2309831194.87187200,16.04
CF,ACTIVE_ECOSYSTEM,24,469799.31731500,0.00
EMURGO,BYRON_DORMANT,34621,13116951902.89362500,50.58
EMURGO,EXCHANGE,5307,10744262301.62054000,41.43
EMURGO,DORMANT_STAKED,9106,2068653567.17574300,7.98
EMURGO,ACTIVE_ECOSYSTEM,55,1205234.95464300,0.00
IOG,BYRON_DORMANT,35258,9952570349.48794800,70.99
IOG,DORMANT_STAKED,15123,2802583998.90113500,19.99
IOG,EXCHANGE,4589,1188759349.04063900,8.48
IOG,ACTIVE_ECOSYSTEM,71,75849012.33600200,0.54
