consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
a71578ec01f6cf39dbcf31351631159e3dd6fb99dd475783effbc65b90b8f0f9,95,2019-01-15 21:50:51+00,4,2
fb46644ed1575c8620f0e1228a7fcf1f8530a23affdcae8b8b8179dd8476a984,125,2019-06-12 01:04:51+00,2,2
c72f9384bf92ed69f1f8ead364c709b61921455b79664968ca975c16ae7edcd3,125,2019-06-11 22:54:51+00,2,2
36dcf3e08498b0ae22bb8e6c217597e9c01791f1940065fc95f72efa60d8a7a2,132,2019-07-16 15:19:51+00,2,2
e524d0220f9f17b8eedab524900f0ea06b663c3e12481210b46fae72f2375cdc,132,2019-07-16 15:18:11+00,2,2
2b5ca99595a44da21700b8d5a6268118d74afec3c05fe4b813a11ea0de48d276,153,2019-11-01 05:48:51+00,8,8
f2de36dd4e2c5e79657dd3a042e3e24db678844e8be47dfe0eb72fda456737a6,153,2019-10-29 20:53:11+00,2,2
d6ff2e3c54c7bcd2bb6fe08f92313f63e5989bad01b292145534ed9c9f1f3d6d,153,2019-11-01 05:51:11+00,4,6
ba241ecd7b2635919a1ee59aa561f9c37f53c7470169a338cb3fe091a99a13b4,154,2019-11-04 09:34:11+00,2,4
d038e876bda137467439acef281435d7aa2273ebfe57308be39969719e030c8d,175,2020-02-20 08:38:31+00,2,2
767f60d55b9b8c86d3bd8fdb3e6a4cf0bdf6f9d5ead597877574ad6bcc7f65e3,175,2020-02-20 01:38:31+00,2,6
fd94e97cef3264546fc3c2af276dbbaea937249424484322e525baee4dc0711c,175,2020-02-20 03:07:11+00,2,2
e19fe13aaf89ddd1d365110ebe3ae779507ff057717a6ed82c7940afaf908046,180,2020-03-12 04:44:31+00,2,1
850b042f0e52d890a2b2d8dfbd291cc0f4a01cc8f4210b2e63bedfd1444bec58,180,2020-03-12 21:09:11+00,2,2
bf18bfd822df85c3da981e9e53b9551f6890c5caa40585a63400e302b0ff1726,180,2020-03-12 04:41:11+00,14,4
31758ab0634189b80f4a171022a8af33b59243e914d34446e5ac02589ac94e2b,180,2020-03-12 04:42:51+00,6,6
6f355004c55cd2a3334ed2b1bc867cfd0a9ec8df73d6be1650bced97d2aaab49,180,2020-03-12 04:47:11+00,8,3
8c0c03829b6b4f19c8cfb05f6fb34f7aae353b0ef9c6360e638a30176ead85b2,188,2020-04-21 05:44:31+00,2,1
197f9d27e49345cc085c9a2951d96c77f57f1cd82a71c095b7b7a3b36e74855d,196,2020-06-02 09:58:31+00,2,2
eca5922f880ff486a9106cf15c3ab6bb193a31b69aa882cc7a571c7b3dcc3cd6,210,2020-08-10 11:03:51+00,35,35
43a08b9c32bbebb59ef7383d5553192b7a26b466758e5f13151f8081c08589c0,213,2020-08-25 19:20:54+00,4,2
4c32809add6166ab0c471b0ff2c0c0a827ea3f384722e79366a945f764a80abd,214,2020-09-01 00:02:18+00,1,1
e75b78b0fe4a612e26e34a9a219fe8d658c396fcef2abb5bc9919e8a0c928594,220,2020-09-28 19:45:09+00,4,4
d7e81739b302896774355c575151497dd5120f01d67c88b20a276b0818994919,231,2020-11-24 02:09:17+00,1,1
34147ef46fd105ed39e3be63ac194e79622fb1bf9ea6e50313a0c3e0e6fd20c3,239,2021-01-01 10:17:58+00,2,2
feb83888ee9770548e64d9f260935ef610c203626af37033babdb92cdc6b64c5,244,2021-01-29 16:30:46+00,8,8
c080b5418cd1fce6af3a8295671044cee209dffda6949d9186f6375bda08046a,245,2021-02-01 17:00:41+00,16,16
a594f027891105f50d36bb8a5d1b43fe6eb81673aaf3ade90633f9092ff8ac87,246,2021-02-08 07:02:45+00,16,16
1d4f2daf1d220d117a3dd12e043ada147b58f5c5eb20ea9b7a8d1b6e96d90b9e,246,2021-02-09 09:46:41+00,48,16
c8ee9bc6c5ae754426087b27c7cb4c6f91001b33ce04c0091c03193097dfd163,246,2021-02-08 11:47:28+00,16,16
34fc0ef548ecdbe682ee8be90caa4894a563ebc8fbd81598c8b5ff6c3dc50355,246,2021-02-05 01:08:54+00,12,12
ea11506fab9768897f492bde29c373e16f27cf79a60f2277ca280b89984cbbc8,246,2021-02-06 02:47:16+00,2,2
bbc12bc723703c78360e19f982a7557d47aae6938ccbe27b9b4b4113c7629d93,246,2021-02-05 02:05:27+00,16,16
741023bc0726991c90b2a74db65af7bed73b0d6dd8873716a3eac2c1b27e336e,249,2021-02-24 04:59:14+00,24,24
c9fa073b2760ff79babeb8a9cfe25c015bc21619bc13f63e0fbb83db48a693b8,249,2021-02-24 16:00:20+00,2,2
0c9efa3c415816d7768644c8eaa6347d60b14c08c94ac6590f768c19ac8b7341,249,2021-02-23 01:59:49+00,1,1
504ca7c0605fb354daef7bdc89237635f729bd83bdbace65e9adc8fc8fabb0b6,249,2021-02-23 04:02:29+00,2,2
7cb8b3291c09709d50cf9a3ba24bc2dccec2686d299c65286c0a06209336a2d5,249,2021-02-23 23:12:46+00,2,2
2c070023c3047cf930e29657133932c5ca9025c08a52dc2856853c4913d8a4ac,249,2021-02-24 07:53:06+00,12,12
d6e12fcc4c390689e0c6d45b6edb0e04653c1c0babc764ff8ce403a314204b92,250,2021-02-26 00:57:00+00,116,58
3a3aecb486ac3aeb75a77fd463c7d2181652dadd81b360c0eaa944bad0384fd0,250,2021-02-27 12:01:49+00,2,4
6bbe974365ddce508abfa9656a00636645ce90bb698cd786801d53a66a062bb6,250,2021-02-27 18:04:30+00,2,2
