feeder_address,untagged_creator_count,total_feeder_ada,first_creator_epoch,last_creator_epoch,exchange_entities,exchange_likelihoods,exchange_categories
Ae2tdPwUPEZJCGuAQyPGCMUXS4XH9DZdH5sfPPruHi6WRtmKAw79bH25nF6,48,20392710.427112,232,249,EMURGO|IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZ3144Xnww5Et54apKUr9go5s3pL9SUdAU4E5igRZPj1Gfa66o,20,3316510.000000,246,249,IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZEN9FTLvP4Sc72Cojz2L7Cx7ZjinndUNho4pbLf9SDyHxgGeU,4,192410.881442,243,249,,,
Ae2tdPwUPEYzVHQv8wwcarP2rxb72JNC76oECfWrZN95XLdBTiFxTD3gmeg,4,26618.007500,226,248,CF,POSSIBLE_EXCHANGE,BYRON_DORMANT
Ae2tdPwUPEZ9LkeT7A4k5CQ5a1pKPnr4P1MF9iMGZoRpy7KgwtKF5YxrTet,4,7158.000000,237,249,,,
Ae2tdPwUPEZ132152pBAfXhuKXtn2ZoirsLm6jK1JhEfsJJk8JHw6ZAJ2iQ,4,424.000000,246,248,,,
DdzFFzCqrht6CJjxbJXXJyaun2SpH47TK7aTjyYSJazZZtwhjzfYBCM9bTgV5hQ9HNas5n95agS6R2H4V8rfxsSKpoXMKG1u7PaodXjT,3,348912.000000,227,227,IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZMcgxpvmpAF9bepUWbhgGMTzPRvH8NUWoiZeTcg4b4Kh6jLpv,3,324825.630617,240,244,,,
Ae2tdPwUPEZ8y4Ng5TEkECJKJt94JLyEcuK8UMNfMMrkGpCtvgYUs7MPJ6K,3,126000.000000,243,248,,,
Ae2tdPwUPEZ2vx6VDn44iuaUPqmNxVdittFPkAFkGgkMk4oce7aqvycLeHc,3,109998.200000,247,247,CF|EMURGO|IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
DdzFFzCqrht9P9wkUTNznpau4YXBzaNL73Znan5jnmu5rzzq5dHujqA8aJkbaxDEXG5xEd8Gjr6knWvCJN868pwnfpCNWmPiq7Cd558e,3,77052.299999,227,227,CF|EMURGO|IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZ4pAqrAHoaa7LmLWt4sm5cXdpUJSN5KHSRf334sbBrSuhWjBj,3,43844.000000,245,249,,,
Ae2tdPwUPEZ89zrtjXMeQQvj1g29doK8qXsTu7MeapohnTPWY8FTmgRLejH,3,19887.925417,239,240,,,
Ae2tdPwUPEZ7EnYfF91AdDyjtxxz1vwcNSVxheFtghKMokuhRRUCNCXHGMZ,3,15000.000000,238,242,,,
Ae2tdPwUPEZ9sVYDvcxJvc6e1LvbqWmJWXkFKaS4KpXuwj9xqC7YLakEj8N,3,10636.000000,239,246,,,
Ae2tdPwUPEZ3TZcPKUrokq2ve1TLYkiLMpfQur89vAf1SiYwjK6cDp9Mxk7,3,5679.000000,242,248,IOG,NOT_EXCHANGE,BYRON_DORMANT
Ae2tdPwUPEZGZphUP7M6b8gKAm8Ao7VTd91n2si2hFG1WJ8e8zFM3rENsBP,3,5505.000000,240,249,,,
Ae2tdPwUPEZAV7ZwRu8iw5epXZBgkVYCZUBy4d4nuVEs1VHkymEShw5AMo3,3,3884.839501,238,248,CF,LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZHrTDNiCgei1KRnvRTozSG9Z1cJm9DxPzmihKFC5XkpnXrQLC,3,1572.800000,223,243,,,
Ae2tdPwUPEYxdpRmzFmB7mjo7N4BR713h4AXXtKu62G6jZkVUNnRnW2KEfj,2,260000.000000,240,242,,,
Ae2tdPwUPEYzeT2ntzT5nPz2tgwwuBVo5CpW6v3MdZupx9CuXZcCFiTTtLz,2,223757.763001,236,238,,,
DdzFFzCqrhsgaDtGMzwuGidxL9P6YovWG3EjejQFWcy9SVkdq7GQna6jDxrZvDnnSN5pH8tL3TqhgceW38QZo3gFy8wEkNYMX1r22f74,2,214777.818800,227,227,CF|EMURGO|IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZBmcBx9VPq2NjhEekzk2Az9kanmD6zz4yBQsgVv4kEwe9sEbP,2,170000.000000,237,244,,,
Ae2tdPwUPEZFMB6hktFHcFtFAwzuMAdhsaZ4UEw9Nony8fA1SA1thQDee8V,2,161085.210012,230,233,,,
Ae2tdPwUPEZ9kD9pCAKd6uTGLGypua1hBuV6qbLHipYVryGbjBbhKiQS1TT,2,130274.529503,236,242,,,
Ae2tdPwUPEZ976vZUedXqNYbjKXnFijoebHZvX9fRFtDz1L8PFaimYfQF3B,2,93246.156500,241,242,,,
Ae2tdPwUPEZ9TZWVjPgBH6Mz23dGFCNVVpg8m4APKcZEVBMN9LpmWG9u7s3,2,62910.562090,239,239,,,
Ae2tdPwUPEZ2fPWb8Z766g2PkzWZ9xtdoTus1Hv86WUc9PaJEMmjJXDd9V6,2,28999.000000,240,240,,,
Ae2tdPwUPEZJCjZH7ojjZWEenh2xs3yKDtRG1d8SWqn9nkDtVfgVankF9wv,2,25300.000000,242,244,,,
Ae2tdPwUPEYyFEperFDVzWGk1BdhifFU6EqYbEC4Vd3sXUb7K2KQihNNxAY,2,19710.365000,248,248,,,
