entity,ticker_name,pool_name,pool_id_hex,total_delegators
CF,CF1,Cardano Foundation - Private,38e4322371b4febd7a711c423fde62c48dc9f9dd3b63f3b8b3dfc3d8,11
CF,CF2,Cardano Foundation - Private,36fe08c110839dab3b876f028372c2bfedef4aaf097151c41c346541,5
CF,CF3,Cardano Foundation - Private,fbf236c879462f96c5b23a8e02c469ea9357543a54c6aa9cd0bca97e,5
CF,CF4,Cardano Foundation - Private,9eb2323667378b0ec53b18372f6f04074b9dd12108eb5f4b4d2d9e67,5
CF,CF5,Cardano Foundation - Private,ff2fba50c6005f867bb588f0918cfbd6fd5b273e735806a1225d4f13,5
CF,CF6,Cardano Foundation - Private,1a921b9d5b95d1c2d298cc27526652676b0b7b9cbbf44bb927c97f3a,4
CF,CFH,CARDANO FOR HUMANITY,fee3bedc411184269a695e3bb960a2b0211f0abaf82a5c3d3b58492a,5
CF,CFLO2,CashFlow2,4a28983e56816b4285340198d6323ff0c59dc9e03e55f5eb9331a9bf,125
CF,CFLOW,CashFlow,e7b605b72af41d6e8e6894274dedd18114f1759fea500b6d07031535,4454
EMURGO,EMGAL,Emurgo-Alibaba Cloud pool,26c0e484a13ef48797bac75fbb6df3de1f91226cbae4f6060c9ec926,3
EMURGO,EMGHW,Emurgo-Huawei Cloud pool,cabbeb8f216da6fecd3aa365fd88f20931c961159ed2281dca4ad986,28
EMURGO,EMUR,Emurgo,5de618253bb7211840151048795414828d8c7de3fb0e42d20b72e86e,1
EMURGO,EMUR1,EMURGO 1,dbda39c8d064ff9801e376f8350efafe67c07e9e9244dd613aee5125,2787
EMURGO,EMUR2,EMURGO 2,359d3f8e355c873b0b5cae1e18eb12e44dcfc2ad212706d93ac314ab,1020
EMURGO,EMUR3,EMURGO 3,8efb053977341471256685b1069d67f4aca7166bc3f94e27ebad217f,3485
EMURGO,EMUR4,EMURGO 4,0ef7aa564933ce75b695cdad66be4a39b43a22726de7c58908e0e033,4121
EMURGO,EMUR5,Emurgo #5,446f60e9628689e2b6ad148e7e8862594cb4824798e26d8cb51abe65,7
EMURGO,EMUR5,Emurgo #5,8145274aa1713d4569e0d946af510b4d2b80640d87c1a0e4e0517954,1
EMURGO,EMUR5,EMURGO 5,2a8294ad7538b15353b9ffd81e26dafe846ffc3f6b9e331d4c1dc030,4681
EMURGO,EMUR6,EMURGO 6,b19f2d9498845652ae6eea5da77952b37e2bca9f59b2a98c56694cae,1884
EMURGO,EMUR7,Emurgo #7,8efb053977341471256685b1069d67f4aca7166bc3f94e27ebad217f,3485
EMURGO,EMUR8,Emurgo #8,0ef7aa564933ce75b695cdad66be4a39b43a22726de7c58908e0e033,4121
EMURGO,EMURA,Emurgo A,dbda39c8d064ff9801e376f8350efafe67c07e9e9244dd613aee5125,2787
EMURGO,EMURB,Emurgo B,359d3f8e355c873b0b5cae1e18eb12e44dcfc2ad212706d93ac314ab,1020
EMURGO,EMURC,Emurgo C,2a8294ad7538b15353b9ffd81e26dafe846ffc3f6b9e331d4c1dc030,4681
