stake_address,iog_pool,iog_first_epoch,iog_last_epoch,iog_delegation_tx,emurgo_pool,emurgo_first_epoch,emurgo_last_epoch,emurgo_delegation_tx,cf_pool,cf_first_epoch,cf_last_epoch,cf_delegation_tx,current_pool,current_ada,stake_epoch
stake1u8qlhtqh52yp7sayavayclm67h2x2jukrwjmavd7sj9av5snn8kau,IOG12,211,211,be677450733acdd57017dc097817467451b32c7151765bdb4895263fe4ada596,SWIM,216,223,fe1c0d6f0ab74756f025070b53e6c4544335c699b1975e843c3addb8ad41e4e0,CFLOW,286,286,7b8257e534586c9bb90183a6f2888acea8b9f3b3fef4e3f85d3a212075333ffc,CFLOW,0.00,622
stake1u8stds2advjjwuxypcl7qkeg33ru9muvdlgzt296sg06zjclkd7vt,IOG15,215,215,8ac2e89193783a6aa703e51c3b72be0e6bc1fe9ca7fd65f043f8e8f67460ab60,SWIM,264,467,387cc56b09fce86734d86716841d0481d8e03b5a4a6bf528e8512814ab07d605,CFLOW,232,232,b146e4fb47aeb68dee67bf7e51472043b1cb3030e08345f4127c5c234812fb4f,WPBJ2,37508.97,622
stake1u8uzgravfnrdgpvg7xhmluzgt2r8gnvk7r2gs3tahxm9g5sdctzts,IOG3,214,214,3ee4e198889e9cf7391544cb4e33ac97ac5a1776c726082136acb72a3deb21c0,SWIM,220,220,db372d766cd2768a00bb2c967579cbf38646872a8422a8724dd75e5b713815c8,CFLOW,234,234,13cc3e6305f656a4b14bb0e60b580c177c3828cb71a49b168dcf5be2222afc8b,ADA,5640.39,582
stake1u99tk7z8e8ae9g2uk8j4w8fl6escmgwya3k08ux7vz0cf7s57jtgv,IOG18,213,213,ec5ac0b3240e7197fe8135fe2cb8a11f6437a2d788ad5c133b9a56cec37ecae8,SWIM,217,217,eee91bd742cdf8bab0a069601526e02d85a5831309b04092bda98f88737d4db1,CFLOW,232,232,586fd3ae3904123477a728e65f5c33f4320e0816a0108da5375a5bfafdda1860,SKY3,3.57,622
stake1u9t4q48qsjy4mnnd80pe5pexy3m2vwjr7px3rccew7ffgksf86npr,IOG1,214,214,70a3f38ee29f899ad0472f38144d0f93da546e23dac245cbbcc5c44c6a2151e1,EMUR1,514,514,b148e3e2dae77ecc30d31e4f47fd5346ffdf8492bbe1629649ed2e2262835e1d,CFLOW,233,233,0e2824c8d6012a497f5ca4b3ff348268ff6b77231743f854060049db8dda03b6,SWM14,257.91,622
stake1u9tj58cd7lewck20k3mhfrvkumlkdcs2ya0hmvjzugrh5lcmpnx0j,IOG1,214,214,4c844e5d19822bc17ee88f952506fc55f15e540558666a56f987a65453c4b934,SWIM,216,216,998a4c06a717787b8d6eda741458f255ce74ce8344cbb5543fd551aa99160460,CFLOW,233,233,488636062c5092062ca0c830d78a8040983e3976b620ba7a04c4699cff6b8f88,CAFE,1769.09,622
stake1ux6ev0t5fxvlsn85ej0zd9lfgl63s5e8trqvvpkw4k5vl3s9lwyjr,IOG1,214,220,6cd826c737f4f58eb3b9a081fb4811bad161c493da43033dc3992dd4537ffba7,SWIM,220,224,f7f16e1def711277c0007522365639367e479f4de6cee916c77dfdd7394a9665,CFLOW,233,233,f86f83c3c9e7fd88659737d1da57891d3e7449fad50ff87dee8e5e40441f34e2,OCEA4,0.87,622
stake1ux6g6c4r9686vey5rspnm5gdk62jkkjn6dsawagra2g74qczmw6zr,IOG14,235,235,4a74a34c771875e9014d7611b278f6f16012528e7e249259949ae51d2d5d5057,SWIM2,242,242,8e445edca05f58ba816a935b3be8312dc2767b80623ea396af1d4fc78ac890a2,CFLOW,232,232,1c3dd3fe95047f1c10189a38c4526be220432f4d5c8d3f18d5a3c2b957cdd63c,EDEN,2078.23,622
stake1uxa0tf3anjhg798nke233wjqqn430x909cyx5pu4gar8zwcrjn57l,IOG1,214,214,f3d124007b49d59ab7701f2dbe003508b7006ac78504175a7256dde6cedd25b9,SWIM,220,241,b4ccd079cd2c7f3f635eafe79953787d00440fdfc3485a3ed712a06b39b1fa86,CFLOW,232,232,5ef73c7f58aa4b6ffb36268d9f33341337ff768b8b5a377f4ff9daa62ab79f00,SNAKE,189686.53,622
stake1uxdu39tjy9tflqmr7rfygrjf9hcydq6j6j2gclpvtp9k8dqg4yynn,IOG18,214,225,04bda3d0b782f5326cf1f1189498917a9ad86a39dc4d8c056e32029b7e32fc72,SWIM,221,221,0593abc31c19935a7d6836ee4751090ce47b3de25465f3df1b994277edf40241,CFLOW,239,239,f01853e55e185f9d9ab1a9d106fc0e71512c2e754919191c9bb0945a6441da00,SECUR,68.27,622
stake1uxhtsmgsu45ldc2ecw4c0ds3626p4k3hte2yt76pftyncqc94mvq0,IOG9,219,219,09622efba118303188436d61526ef7bfb79c23ac8ccd9f482bafe9761aecf7ea,SWIM2,241,287,1f01308ce65e23135c711bf693e4865840beac2e67d7eb361dbacd9b5d26a77a,CFLOW,250,250,4f8385c94b034a66889b572401db2f9904f385224be22e1060b02b0451e258cb,NORTH,28.95,622
stake1uyz4qs9mcz4xl39vyrzs9elwrulmq55d8xm98jn8rjht9rqhxmfpt,IOG18,213,213,639d384476f40bcea90a54af7af6ed477e3388b90805f500767dadb27ffb27af,SWIM,208,208,58f510cb77700ea659b59e215e97a4051152ba5bf6e6a5808ae480c6fbbfabaa,CFLOW,233,233,3052a435b60b19ec72b9c49e6fbbe046808981e8e06541e0c781388e759f25d5,MOKSH,3284.90,622
