dest_address,rows,total_lovelace,largest_single_lovelace,first_epoch,last_epoch,label,category,confidence,source,total_ada,largest_single_ada
addr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t,3,13736202602695,8499999832695,360,372,,,,,13736202.602695,8499999.832695
addr1wxtwkls63ae00apdncn4hlxt6jala8367weqam9srlmul5g78wtm4,1,10110332000000,10110332000000,396,396,,,,,10110332.0,10110332.0
addr1wyc9fpugnw6dprx2kly87mwk0razrh6347qmkn74glq2rlqzsmd6w,1,3846143000000,3846143000000,439,439,,,,,3846143.0,3846143.0
addr1wxxaleu8a0feusutn3ntnqfg3a55hp0t5l2hqjeau0wg7cc4262zv,1,3378040000000,3378040000000,477,477,,,,,3378040.0,3378040.0
addr1wymztkhaekt7derv6ceu2xhkcw4zl92m68xyvmcpqlxy0kqggmn4s,1,3244676000000,3244676000000,468,468,,,,,3244676.0,3244676.0
addr1wyh9nq6fjw72mqud6w7yfe0h4tv04fxdfgcz9akczxgey8c649vxx,1,2637603000000,2637603000000,310,310,,,,,2637603.0,2637603.0
addr1w9t3xx2jwwh3px0x9gcyz0cxhx29f4rcp0yrpj50ur26regz3gpyl,1,2344086000000,2344086000000,432,432,,,,,2344086.0,2344086.0
addr1wx5gn92erwwd639twe3m46g3z6c9mdjdpkhcqduzq8g3xgqhwvjwu,1,2314240000000,2314240000000,428,428,,,,,2314240.0,2314240.0
addr1wxwfdgvamxp0ea4sgvngnnj9pd7aa455uc8z7w54sp8ehxsp77mfy,1,2304073000000,2304073000000,433,433,,,,,2304073.0,2304073.0
addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,2,2067000000000,1317000000000,503,523,,,,,2067000.0,1317000.0
addr1wx4fknf39dsf2s4z6dkm57rmegawyjx6zpl93mju3ml8phgvsa6y8,1,2031166000000,2031166000000,449,449,,,,,2031166.0,2031166.0
addr1wy4mdmkdggu369d9karndccwgx0cuyuwr7vzpdjktyh0pqsjy7j56,1,1977570000000,1977570000000,399,399,,,,,1977570.0,1977570.0
addr1wx886xj2uyppjgsxxdjgzknfmykjjerfapgfyvedaagvmmgtevrtr,1,1804223000000,1804223000000,481,481,,,,,1804223.0,1804223.0
addr1w9zwa7kpxxnnsndrlh5fxuydk48pax3m985q73ja4ntqgpshrvztq,1,1716623000000,1716623000000,437,437,,,,,1716623.0,1716623.0
addr1w9lkk0dgvcx4d0l5uqsfd393lxdu697epugwefrjxm62dms27y90l,1,1673550167305,1673550167305,348,348,,,,,1673550.167305,1673550.167305
addr1vyt8aeq20rvwm2wwx8yvf7kxgejhg7nmlyd032caxn3cpcc6reqkf,1,1447368000000,1447368000000,446,446,,,,,1447368.0,1447368.0
addr1w8rpse9h098yhydxwwkvzlgxzgpzqc2705jjrlp2yfvcmrcpyych5,1,1394346000000,1394346000000,428,428,,,,,1394346.0,1394346.0
addr1w8563gqg6yc59y3ex5wsd268nvqz8j2q59dn4nzsgumlw4s3ee8q5,1,1376347000000,1376347000000,432,432,,,,,1376347.0,1376347.0
addr1w999l4d7rtccm4nutl4xam3kpw8hd4h2r7pf5u8033undccsxyfc9,1,1360517000000,1360517000000,439,439,,,,,1360517.0,1360517.0
addr1w8fzzf8d7yu4mndpuy2qug57674v29l92jxmjed6vxk5y8c6qrgga,1,1349225000000,1349225000000,473,473,,,,,1349225.0,1349225.0
addr1w99ezaay5hfklnwe0utel6tm7dr8dr8dq36d2xk8nkwcavqufrdlz,1,1233247000000,1233247000000,481,481,,,,,1233247.0,1233247.0
addr1w9jpx6743ss3vtutj5yvsncqsavrjjw28djkfaznh2wff3c3u9ger,1,1228040000000,1228040000000,411,411,,,,,1228040.0,1228040.0
addr1w9lrfu6egwy9rsygmmesr7vv247je2090k0xt2gwv5mfakqa2yzpt,1,1155080000000,1155080000000,302,302,,,,,1155080.0,1155080.0
addr1w8ngjkcqjnqnljtyn7ggmw5dv66xnvu3ky6wtmk45xgducq3l087l,1,1154934000000,1154934000000,374,374,,,,,1154934.0,1154934.0
addr1wyx2ezzkr2fntsztw9vj23z50xncfacrjc9n0f856r5q5fsm2h6an,1,1145402000000,1145402000000,442,442,,,,,1145402.0,1145402.0
addr1w9cke0pgdfdqyqyleqdscpqx2jct6y2ah5jzpeen96n9k8q3aa3jy,1,1145399000000,1145399000000,374,374,,,,,1145399.0,1145399.0
addr1w9yxkgh8y0gk7kfep3e22qxlwp77p6luzvmlghcunp0jp5cf2cmt2,1,1144026000000,1144026000000,386,386,,,,,1144026.0,1144026.0
addr1wy4ehpxhdu6fgtmlhvsgayl3hl9vyn6e6433utpnyxsz35q5r6gt3,1,1032605000000,1032605000000,432,432,,,,,1032605.0,1032605.0
addr1w8l3r7v6mm2tc8lmwf5m08pyxpdv7c84adnzwcrq3a6wywgnhxawa,1,1010887000000,1010887000000,432,432,,,,,1010887.0,1010887.0
addr1w8p7yyzahk20zg3a380ata92tqrrrz46tnq79aymcvk3eucvdyrw9,1,1005388000000,1005388000000,437,437,,,,,1005388.0,1005388.0
addr1wx83jzgct6uxk6q7cjgy4mwgp7awx0s28suwhvhf6s6jv3shk55hg,1,933903000000,933903000000,403,403,,,,,933903.0,933903.0
addr1wymxsz0a2pcdels6awrmuje2czeklvutd2sgf5vqrkhd8ycjzldw2,1,912381000000,912381000000,372,372,,,,,912381.0,912381.0
addr1wyzlswequusu8x0jxpyjyfj64c75trj3nxfdc0jxlm0s98cek0ujz,1,910507000000,910507000000,437,437,,,,,910507.0,910507.0
addr1w8rh2jz956gyljfsddnkmxxn39frva2r2mqqhlr4gy5eltq5ggc5p,1,909336000000,909336000000,374,374,,,,,909336.0,909336.0
addr1wx87jxt2mygxe8w4lmez6s0tq63v4phe4sfzjjgsg3ev3pgj6vgsy,1,902738000000,902738000000,453,453,,,,,902738.0,902738.0
addr1wya04ly3vx8nk3ck2g83xddak7lv6d3wrkg4zjr5xsdh76ct46mdg,1,889529000000,889529000000,422,422,,,,,889529.0,889529.0
addr1w9gcuzw480l4zmpje46euhku949wrdch0tqjddtxs32eq6ghvded0,1,887098000000,887098000000,433,433,,,,,887098.0,887098.0
addr1wxm3l90j6c9mgmsl448m6c32aj7cla39a2tp2m6uk2pk5ysyqxujq,1,838506000000,838506000000,366,366,,,,,838506.0,838506.0
addr1w844lrss2chvakjnpv7lggsr8xyu0j546fthgann6yv48schxssed,1,836355000000,836355000000,435,435,,,,,836355.0,836355.0
addr1wxhmsfc6wuc9apnu7medcpfq7zmym336g0y9edlapt3mlgs6xcmyh,1,804057000000,804057000000,400,400,,,,,804057.0,804057.0
addr1wyzn43amtgnm0narlh2xs9uuxzl0pakhn2mnmjrcmwfqkkqmrelwx,1,799508000000,799508000000,433,433,,,,,799508.0,799508.0
addr1w90h8xtwgdunl82xw8rfjjp5wl7jjhk9hwrlgajwmm2e3sggh5ygh,1,754609000000,754609000000,428,428,,,,,754609.0,754609.0
addr1wy6lg0epnn4hdlcjuxr9vq6wt7lg7h6yxy8fuqhy78tycxgh86epw,1,753408000000,753408000000,428,428,,,,,753408.0,753408.0
addr1w8r0p249dyf5hu9qrfwdz5serqvy4mlp2mrlkg00avusthgp90v35,1,699509000000,699509000000,403,403,,,,,699509.0,699509.0
addr1w8pc9aylkru96ufpyty6c0mn8xy0v924dg597dlk6u2u0cqafvwse,1,695632000000,695632000000,403,403,,,,,695632.0,695632.0
addr1wyydkxjmy43slsqkdu2wldpq753qvv98kmw25e2zcqpy0xcxrgwgy,1,635649000000,635649000000,422,422,,,,,635649.0,635649.0
addr1w9fru8rjgec2dg76epu2f745eagjftxp7ww8u2vx4ag9wcg0xelg7,1,601983000000,601983000000,446,446,,,,,601983.0,601983.0
addr1w9japqnkp7kp0hy3t02ghhll80p4gcs5030gst953w9n4vsk2wkx3,1,563869000000,563869000000,422,422,,,,,563869.0,563869.0
addr1wx8ug3y5h6vgemd7shdazzxs9tu8saauhvfvdzr400sgttg39z6re,1,539135000000,539135000000,470,470,,,,,539135.0,539135.0
addr1w8udnp3jmxqjqelk8znvm5h3kms9j324a076pr2cczeealg5mxv5q,1,504016000000,504016000000,442,442,,,,,504016.0,504016.0
addr1wym3nzrj0pwgnuu5umjygn732k4q0ptdz8pvlwmc6m362fcsp4xxh,1,500738000000,500738000000,393,393,,,,,500738.0,500738.0
addr1w9ydexfcyjmtgltn832ydadzncacajxqsnp2g200ztmpu3qmvpw20,1,500507000000,500507000000,399,399,,,,,500507.0,500507.0
addr1wyf3u26u7m8lxpmuyxxzv54vphkx5hrdpydceg6c3wqqk2s6edupw,1,500264000000,500264000000,380,380,,,,,500264.0,500264.0
addr1w8jtej40lg0yz0ls7jmn3u7a8lmqhgfdzettenqnd2tmufqxt25ap,1,482095000000,482095000000,399,399,,,,,482095.0,482095.0
addr1wx6hxtqq9mpflruthpckmsjl2m3zn3fcaq5xzqjy300mvycxuxq28,1,477278000000,477278000000,428,428,,,,,477278.0,477278.0
addr1wx25en4gpf9rlkl9z90d4hjac4fy2pvy95kde8559756l5s389xmv,1,473838000000,473838000000,453,453,,,,,473838.0,473838.0
addr1w8etm396ha867euf4tgq5qhqa3kdpxkhdpgakn709e56sxgq4yud0,1,471927000000,471927000000,470,470,,,,,471927.0,471927.0
addr1wykl4vfvtkr6kv873clvadj09j0c7hgn08hfyw0y7wgkh5gp62gt9,1,471700000000,471700000000,411,411,,,,,471700.0,471700.0
addr1w89jlpm9fv6fq884q9ltuc7g45yng5e54qkyk9qz5a2hxqsczev99,1,471522000000,471522000000,468,468,,,,,471522.0,471522.0
addr1wxz2qprekvnv9nmg2masswqe5ynyas8tshpjahavj0q7pmgr6pfl7,1,469827000000,469827000000,422,422,,,,,469827.0,469827.0
addr1wxfp2gw927kuv8a6h35naa8z397haqz4jh35wmja6dlkzmcry0727,1,466315000000,466315000000,393,393,,,,,466315.0,466315.0
addr1wyd7sm5rw039qge9pvqvmrqjmzpgpv5zcmdevfc7qlvlzuc5vhppc,1,464094000000,464094000000,433,433,,,,,464094.0,464094.0
addr1wxtjs8wj8tr3urkyrv4mzgjumy6paj5hzfar7kvfvz5mt7qut2hec,1,464032000000,464032000000,422,422,,,,,464032.0,464032.0
addr1w8vtgr4ul4y5p8mjc84xjvn6ygvc7gul20xkl0aaxjcr4lgdxq2nm,1,462821000000,462821000000,433,433,,,,,462821.0,462821.0
addr1w9cr4qxa48pg0y2cpn28fe7482h02fxl59steh55mruktyq9t7aed,1,462733000000,462733000000,399,399,,,,,462733.0,462733.0
addr1w8pdylqspmc4hxqkrfpnzuzcu3rkdj9njtspe95t4cc2enggkmmgw,1,462677000000,462677000000,374,374,,,,,462677.0,462677.0
addr1wx084tp8qn69z4ckgznt70ge0kmkytfc4y087c0jzmrspmq40rfkj,1,461639000000,461639000000,437,437,,,,,461639.0,461639.0
addr1wy7kquw2a04m08jazydj57s70audhwzz8syrtzfe7ptemcqze7hst,1,459480000000,459480000000,411,411,,,,,459480.0,459480.0
addr1wyunmsgkkyjkaay90vdc9j0vjn3az5vx9x4hlapvc3nk5gsprm2vw,1,458777000000,458777000000,435,435,,,,,458777.0,458777.0
addr1wyhm7u3nmjcxevmkhlmxs2kyzvpprw538dfxm0rtt5mw8sc5mv4yv,1,457638000000,457638000000,380,380,,,,,457638.0,457638.0
addr1w80fd6h60qan29zzdejrvsh6nqlq3jyaxtxrakj4fcum4jsq6sy2h,1,457423000000,457423000000,396,396,,,,,457423.0,457423.0
addr1wy9fztaehywadnzv70m7jqt7t68ufrn0hpe9v2x7ljmwswc9yp0hr,1,457419000000,457419000000,422,422,,,,,457419.0,457419.0
addr1wy5jwu3655nkn4ghe7v2wvqhwt6gpnqshh9ad2yd86qk50g965kwk,1,456861000000,456861000000,446,446,,,,,456861.0,456861.0
addr1w9u7ww8n5rta5xjggz8ra67wu7r0nnvgzkaxggyul2m8xgsx277yl,1,456829500000,456829500000,377,377,,,,,456829.5,456829.5
addr1w8n4pmwexa6wtsy7n9e7mc4dlpjlaku8xx53xduwkg2shkcvwhg2a,1,455590000000,455590000000,468,468,,,,,455590.0,455590.0
addr1w9dhjd8z3ceevv0mw992scz76u4a4glgtv02nps3amjjvuc29sypv,1,455590000000,455590000000,481,481,,,,,455590.0,455590.0
addr1w9n0nsmye3f8hr0h9euzwxhq3vtcv63f9vkyxnv63gwl0ksrnxhme,1,455590000000,455590000000,380,380,,,,,455590.0,455590.0
addr1wxe268va0qd5jzxmvtlt9rgnrwzr82h3u8n63mmpn3mgj4gdaqj5g,1,455590000000,455590000000,484,484,,,,,455590.0,455590.0
addr1wyzqm98x7wrgtcy3wtrg4uvjgpysw4nqcsxgneattzcpp7qmyc9sg,1,455590000000,455590000000,446,446,,,,,455590.0,455590.0
addr1w8g3n0xzngd0slg9d0lv4jsu8xttadvj0wkg9e09slmzefgunzj46,1,455509000000,455509000000,380,380,,,,,455509.0,455509.0
addr1wxygjyrpvw9l7gkj64dtsdg0rp2pjs0hh4vg9l7eat3tlvgrx0j2s,1,454535000000,454535000000,380,380,,,,,454535.0,454535.0
addr1wyfn3jwru4shmzfrf035szlskzyhth30us8zu7s78rhjs5qw3700u,1,454535000000,454535000000,442,442,,,,,454535.0,454535.0
addr1wyhjzyfn0hyhtfgq6n2u65c0apd6naud9lrn8p7yqsshsjcky9frl,1,453685000000,453685000000,411,411,,,,,453685.0,453685.0
addr1w86yf0gy2w5lhn4l7xfrpu3rpsz2avsxrhdz77rkm4al07s62swg2,1,453635000000,453635000000,380,380,,,,,453635.0,453635.0
addr1wx9sfvff2q23kr23hda7vl3xcpjffrwuptpjme2hgurux6snhmlzs,1,453410000000,453410000000,439,439,,,,,453410.0,453410.0
addr1w8xe54mtmtthnyu7rv3ee93sglv0u6lrmf660msnnkrdy4sttc3qx,1,453072000000,453072000000,374,374,,,,,453072.0,453072.0
addr1w9h0n7d8cxn4qjz6zcrfxu5ve75qyact74pl0gz999swmdsm8w678,1,450847000000,450847000000,422,422,,,,,450847.0,450847.0
addr1wxrnm2l2jyyp9stht3vdfuyqgg4am67k9xu4vafufnersyglj8wmh,1,450052000000,450052000000,422,422,,,,,450052.0,450052.0
addr1wykfx37ut49rm2hqfkg0e6msmnm3g342ke3yzerd2jh5ukcljpa2m,1,448662000000,448662000000,422,422,,,,,448662.0,448662.0
addr1wy4jvq7e4n9aw9n4xlkfshksmpq25f4nsuamk5jv5gfjcvcu35vma,1,448347000000,448347000000,439,439,,,,,448347.0,448347.0
addr1w95ap9plunjyw0ly20vg55emd77yynsyw6d8xchp6wqt0pcrr2ntz,1,447401000000,447401000000,453,453,,,,,447401.0,447401.0
addr1wyl29mcyk998j2c4tah6fq5jqq5w8kq7nss284rmucrxr4gmm8acg,1,446708000000,446708000000,437,437,,,,,446708.0,446708.0
addr1w9ucvqdx3a6txz44f3pw32whqn0jw63nm9jelm4ae8fptyc0enr6c,1,446664000000,446664000000,383,383,,,,,446664.0,446664.0
addr1wylz559hq9khw9hn7sqg5rl8g0jcg6d9jsqnrzpanefyh0s2glggg,1,424786000000,424786000000,432,432,,,,,424786.0,424786.0
addr1w989dk8syavsszshrecdar5jc4wxhpeahm7c9jrtnfyxgkc93m799,1,422551000000,422551000000,309,309,,,,,422551.0,422551.0
