dest_stake_address,sample_address,rows,total_lovelace,largest_single_lovelace,first_epoch,last_epoch,current_pool,current_drep,total_ada,largest_single_ada
stake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3,addr1qxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgea9mjxk922w4gh90syyfr0j30drxp49c3sc6vkq9x46c3n6qgqs358,2,15620679042540,8258238000000,414,433,pool1ksz6vfc4xqdxyhp06h4n7kckh60370cy2t6m3wfgdxtug7ph4x0,,15620679.04254,8258238.0
stake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht,addr1qylrudrt6mwahqk3208zesm8apumk42j07j7qqzdc0jczgk7nxaltyjw55jcpx2rr3ehf83l47vrw7uk6x3s70kulu0sjzlrzt,1,15361881000000,15361881000000,380,380,pool1fmcv9p7vv754rwc0p6ud2mgm76vnn0gq0gngrk7rq400vsvhsvs,drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,15361881.0,15361881.0
stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,addr1qxfsvcxn7v7vx7al0vv8cd9c0yzwu69duerfdn28xz5e3s32r6vm6vh88xe2wj932xwycuqq4gdah872vnuzd068tnwqdscl3z,8,5234245619770,1172919540000,378,490,,,5234245.61977,1172919.54
stake1u9jasamtphty6907hl43t7tfecyqe2ju5lqaw3zfgad33kcvwmlue,addr1q9mrm6eea6nn6drpzu3cp0zn4gpscjcnjduruswqdgzswsn9mpmkkrwkf52la0ltzhuknnsgpj49ef7p6azyj36mrrdsxdtnpu,1,5018022000000,5018022000000,383,383,,,5018022.0,5018022.0
stake1uy6tdplul92rfp8ewuc6vmncuq7h5rgdwdlfx7hga7faf5qruws4u,addr1qxrqcnjz2c8lwgzd3xd6ds4dx5kp5kurnaw0famuz4t8j635k6rle725xjz0jae35eh83cpa0gxs6um7jdaw3mun6ngqjuls3f,1,4641036000000,4641036000000,383,383,,,4641036.0,4641036.0
stake1u909pyegwxe8lwxya5283jctzg6ryttfy42mefyp7639ukggy2hfz,addr1q8m4xqjnex4qfgn5ksdc8389vkzr00ef80dk8h43gm6t9uj72zfjsudj07uvfmg50r9sky35xgkkjf24hjjgra4ztevs384gza,1,4545444000000,4545444000000,422,422,,,4545444.0,4545444.0
stake1u9ua5m029qe3z8tjkmszek0q8dj3hzmxvss8aq05qqghsygg452j2,addr1qyy4yl6l6at3pu8fxh9v905cf70gyvz2c3thx0yacqwg4enemfk752pnzywh9dhq9nv7qwm9rw9kvepq06qlgqq30qgswkv28m,1,4036115000000,4036115000000,473,473,,,4036115.0,4036115.0
stake1u83sjd5pa4paymq6hled52hjggwmj5yedvdhxdxuumxj7qg4kdzh3,addr1q9aheg7lw2lzhnu4qeekke04l08eskx3n0gxsjhxm5mzl00rpymgrm2r6fkp40ljmg40yssah9gfj6cmwv6deekd9uqs6r7vjy,1,3465701000000,3465701000000,470,470,,,3465701.0,3465701.0
stake1uxh5clcr4gjdqhlhfkyljqkfpaqxkc25yfva2cxs5t2w9pc4a8c0h,addr1q92dtde49hctznuq4ptvrv3gtv4rfrz9ce49pazakaz5zva0f3ls823y6p0lwnvflypvjr6qdds4ggje64sdpgk5u2rs9jc4ms,1,3334006000000,3334006000000,356,356,pool1dhf4dt395f0c0ujnscazvzvw73ynzgwvtf5k4y9c907hwjdyaq4,drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,3334006.0,3334006.0
stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,addr1q87cum888wcrhc38u6lm9cvafl3xgl2trgctrws8wqlqn8cdu8qdc2x9l0vt0wxc4n802x92jzw57dcjl5qupy7w8nvqrc0m0f,1,3214080000000,3214080000000,390,390,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,drep_always_no_confidence,3214080.0,3214080.0
stake1uxhpml8xs6zvmtdtf2yxylp3c87xshguxlggpa4kyks966g3lvzzh,addr1qy6kwcquf7pvfnwmvgwc5czam4qnfmcyzujwvazkl5r4an4wrh7wdp5yekk6kj5gvf7rrs0udpw3cd7ssrmtvfdqt45swwcdrz,1,2334335000000,2334335000000,488,488,,,2334335.0,2334335.0
stake1u8jzezej70zecawsdwhdlvvphuvh9dexjd33w4t3ghh692sfl5nlj,addr1q8rlpqupqpgypgfapth0emu730kdnghryaekr403wuk9u68y9j9n9u79n36aq6awm7ccr0cew2mjdymrza2hz300524qz7fht3,1,2260187000000,2260187000000,449,449,pool1gwnu7f7qgaruxph8gn3u28qphvquvnj63elyd3r0nndacj9g9pa,drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,2260187.0,2260187.0
stake1uyzfgj0336nl0llsf5rhf4s55rgema2yt82v8k9qv85pf0gy3ce85,addr1qy7538vks3trm9gqnmru2yanxmx78z6p20ejnzud7g7ts5cyj3ylrr487lllqng8wntpfgx3nh65gkw5c0v2qc0gzj7skc0kra,1,2068403000000,2068403000000,433,433,,,2068403.0,2068403.0
stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,addr1q8d8pmjcu9j5s8qg0r2xf0rml9qknk0qvthvr3rljd0lt5g3gwve08urhmlavlh7wmtf9xe3z7mlmt28f7rqjc59gx7sgjp2yd,1,1699900000000,1699900000000,366,366,,,1699900.0,1699900.0
stake1uy6rthet2e8lcv2v4j8wnex5px5xkv2l4x3pxnzzcxswgjsuldej4,addr1qxajcvxw6dhnev0mzv53e92ytj8gppnaamaqj6drltkj9535xh0jk4j0lsc5etywa8jdgzdgdvc4l2dzzdxy9sdqu39qf7ulrg,1,1612253000000,1612253000000,374,374,,,1612253.0,1612253.0
stake1u8m3lka5kk8dw849nhey8ghn8vfykf3s2cmrfteasua0umc8qq0d0,addr1q8eadppvfdypdhaqdnlms9uxg0ck73petdklhc8cufvckp8hrldmfdvw6u02t80jgw30xwcjfvnrq43kxjhnmpe6lehshn0wjh,1,1513895000000,1513895000000,433,433,,,1513895.0,1513895.0
stake1u8qdnezzx46h3wugcvadl8h2jjhs5xxystzn7xhcj5eu2rskzvvlm,addr1q8ggsz9zjslkk9lq2eumxtcdv2ccr3yxghgjll8zj0y2lvkqm8jyydt40zac3se6m70w4990pgvvfqk98ud039fnc58qqmx76l,1,1371813000000,1371813000000,437,437,,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,1371813.0,1371813.0
