frontier_kind,frontier,frontier_ada,spend_tx_hash,epoch_no,block_time,frontier_input_count,frontier_input_lovelace,dest_index,dest_type,dest_address,dest_stake_address,dest_lovelace,current_pool,current_drep
stake,stake1u8jzezej70zecawsdwhdlvvphuvh9dexjd33w4t3ghh692sfl5nlj,2260187.0,70e9c3b9a1ec9d7b52e4210b756447335464ed80b2117fc5b74906ca491f2d22,449,2023-11-17 17:57:42,1,1000000,1,external_stake,addr1q8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdsplv3sj6rjj8xnffu7etahmxggs0f9p07x32z4w8qdzumqrsquz66j,stake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v,60310319666154,pool1af03lvsktpekmnnw333629hfuhtytcgyh8hmlweet4lxs6p56fq,
stake,stake1u8jzezej70zecawsdwhdlvvphuvh9dexjd33w4t3ghh692sfl5nlj,2260187.0,5f395a047388bef18cd0d8600a322c42263b480b7bebc34d8b4181a025e963b6,445,2023-10-31 18:11:56,1,10000000,0,external_stake,addr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,98569735659,pool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602,
stake,stake1u8jzezej70zecawsdwhdlvvphuvh9dexjd33w4t3ghh692sfl5nlj,2260187.0,45542e158cf437467cff5fbeb8d8ac530f5c8505ce76b6884ea1eea224c466a0,446,2023-11-03 18:08:47,1,52802770601,1,external_stake,addr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,98559560544,pool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,cdf318116284a1033f7e9399578a286ddc13aa46fc10a945e3ed7ad70557a490,324,2022-03-02 22:26:18,1,1250000000000,1,external_stake,addr1qxt2ggq005kfm3uwe89emy3ka2zgdtrpxfarvz6033l3fqvk5ssq7lfvnhrcajwtnkfrd65ys6kxzvn6xc95lrrlzjqsjttk32,stake1uxt2ggq005kfm3uwe89emy3ka2zgdtrpxfarvz6033l3fqgve6ku2,204869983160836,,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,cfd9842c125d190e1ccc90f8b3db12629f0f85c8ca5b1c686e2e567f613710cb,371,2022-10-27 12:21:32,1,1381679611656,0,external_stake,addr1q8gawn2npc6a2lnnrz4wckgmwcurqeecpeetl0fz83xmc8t9yutr2yxu02dpma90kzq06j8exh30mxmms52zaf57murqqgvk04,stake1u9jjw934zrw84xsa7jhmpq8afruntchandac29pw560d7ps96qz4v,80006027397260,,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,cdf318116284a1033f7e9399578a286ddc13aa46fc10a945e3ed7ad70557a490,324,2022-03-02 22:26:18,1,1250000000000,0,external_stake,addr1qxumgkkyn0gdkntgsg90jkq3wkwqxqfhh46s6j3xd0z8h64ek3dvfx7smdxk3qs2l9vpzavuqvqn00t4p49zv67y004q390g46,stake1uxumgkkyn0gdkntgsg90jkq3wkwqxqfhh46s6j3xd0z8h6see3xh6,67999999500000,pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,15b1205fc1d16535024b990491ca98a34c757c2f3b116bb4fe1f0db406fcc47b,393,2023-02-14 07:09:08,1,508701000000,1,enterprise,DdzFFzCqrht8iYWkJADpynF7KDZd9BtMGjLvi725mpcAqSfHDLc5pyu2zAA8migeoHJCjCH76FfT5UXNLiLL9kz5j2AvntNn5BfaWe67,,57877030922860,,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,8e415ea43dbfb1decbffb840a20f451328862fd88b7382f9c3eb81308a331ca5,352,2022-07-20 15:59:01,1,2999999833707,1,external_stake,addr1qxumgkkyn0gdkntgsg90jkq3wkwqxqfhh46s6j3xd0z8h64ek3dvfx7smdxk3qs2l9vpzavuqvqn00t4p49zv67y004q390g46,stake1uxumgkkyn0gdkntgsg90jkq3wkwqxqfhh46s6j3xd0z8h6see3xh6,56250008657315,pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,2ee00d81ed1dbaece179205dc716383ff2e5fa66b24274cffce0750cdf298f0c,344,2022-06-14 15:31:37,1,495415971077,0,enterprise,addr1vymu4620q8vqf4xsstfrk6dy72787syvezet8ujsdj2k3jsfvlx47,,51500000000000,,
stake,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,1699900.0,bc69ffa511b314d8310e9c4968346bba7123dad1db53dd6ab0cc6680f432848c,283,2021-08-13 20:56:53,1,18999999813775,1,external_stake,addr1qy88uenysztnswv6u3cssgpamztc25q5wea703rnp50s4qqw0enxfqyh8que4er3pqsrmkyhs4gpganmulz8xrglp2qqq7ut7v,stake1uy88uenysztnswv6u3cssgpamztc25q5wea703rnp50s4qq0ddctn,46564891488691,pool10kya8ug3wr6cwnzm0qdcppjtuwfwmnvusu2uenscz4dg7pl07qv,
