frontier_kind\tfrontier\tfrontier_ada\tspend_tx_hash\tepoch_no\tblock_time\tfrontier_input_count\tfrontier_input_lovelace\tdest_index\tdest_type\tdest_address\tdest_stake_address\tdest_lovelace\tcurrent_pool\tcurrent_drep
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t1b1ffdc150d19f470d5f5ee860f3f0b30b55ad8ea2e3baa6ea53a4f8f360af62\t350\t2022-07-13 20:42:39\t1\t7362441042540\t0\texternal_stake\taddr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05\tstake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv\t68378634074837\tpool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602\t
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t747596d94382c75d8a076fad7cbaff89c1686467c58e179a0499ecccc60109d4\t405\t2023-04-14 20:38:19\t1\t52637608957462\t0\texternal_stake\taddr1q80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sx7faa9yns6fkhz0mk3r862a2r26w2jja45vppqz6ap64qqfjdtz8\tstake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn\t2443059975061\tpool1ksz6vfc4xqdxyhp06h4n7kckh60370cy2t6m3wfgdxtug7ph4x0\t
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t2e6373da6a61874069b2bfec266a6ecab877c269341f1444a5945c12e0478e88\t425\t2023-07-20 13:53:56\t1\t20000000\t0\tenterprise\taddr1vxl7ut5dhd8n9dx7rmzlsq8vpd2tqedacufpsyl6z9vrkcgds5crj\t\t120000000000\t\t
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t431fe080991fd610f5ea94d143630e946e6feee8967676c4c101fdbbf8113d56\t413\t2023-05-24 17:35:17\t1\t50000000\t0\texternal_stake\taddr1q80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sx7faa9yns6fkhz0mk3r862a2r26w2jja45vppqz6ap64qqfjdtz8\tstake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn\t99861702381\tpool1ksz6vfc4xqdxyhp06h4n7kckh60370cy2t6m3wfgdxtug7ph4x0\t
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t3c010069684ced15ed82c022d1ac4d62fda3d5918ff26ee07ff40b0dbbe8edbe\t414\t2023-05-28 04:08:23\t1\t47822773\t1\texternal_stake\taddr1q80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sx7faa9yns6fkhz0mk3r862a2r26w2jja45vppqz6ap64qqfjdtz8\tstake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn\t99811533844\tpool1ksz6vfc4xqdxyhp06h4n7kckh60370cy2t6m3wfgdxtug7ph4x0\t
stake\tstake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3\t15620679.04254\t08caacd6b74dbb4359c76bbd5031460529e1e03ba6d4bd2ee4f3531c01d11566\t453\t2023-12-10 14:34:59\t1\t2000000\t0\tenterprise\taddr1vxl7ut5dhd8n9dx7rmzlsq8vpd2tqedacufpsyl6z9vrkcgds5crj\t\t88000000000\t\t
(6 rows)
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\tea2b8e58f724ac62cdec381943c03c16fc7aa1bd8c123dff10ea641514d41673\t380\t2022-12-09 21:21:40\t1\t1000000\t1\texternal_stake\taddr1qykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xr3vapgrkaydvkm0lvy7rm3r3c53ca5nyfq59mm8kmja5v8qvygvru\tstake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n\t50638122616038\tpool145dkdplkqke4g0unzkjljeh2wr797d08k2jv822rhmmc68xak38\t
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\t0e66188274ea1b834ec55c4a5bb1afd50d8feeea595e0e03c0d9ef7e123263a2\t586\t2025-10-05 07:40:20\t2\t2542763914554\t0\texternal_stake\taddr1qy4mv9g6hpd2jhz2fzlp5yxn8qdnvr5mp64ycsgegjj3d20cvhpcwtqmrzldrmrautykvxrw3yfx2xkgkrj2q5vy7lns8962mh\tstake1u8uxtsu89sd330k3a3779jtxrphgjyn9rtytpe9q2xz00ecf08v4c\t3201550000000\t\t
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\tf4b116f3f9ff5fbef21ca9ee3caf39f28a52f1f7b16d3150b5b0f88d9b8837f7\t586\t2025-10-05 07:41:43\t2\t442883737174\t0\texternal_stake\taddr1qy4mv9g6hpd2jhz2fzlp5yxn8qdnvr5mp64ycsgegjj3d20cvhpcwtqmrzldrmrautykvxrw3yfx2xkgkrj2q5vy7lns8962mh\tstake1u8uxtsu89sd330k3a3779jtxrphgjyn9rtytpe9q2xz00ecf08v4c\t3000000000000\t\t
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\t059f96e9a44f84e5a84b60646b987ea920d917dd84bcbbfe858073374d5bf438\t587\t2025-10-11 03:09:58\t1\t7382079\t0\texternal_stake\taddr1qy368s4j70l8swse5gcekntmr8y8hcvewrtcnahed9yytp04f698znlccggmgzpmw64x34e72uc4zjef5rmelnvgh83qdku6ul\tstake1u865azn3fluvyyd5pqahd2ng6ul9wv23fv56paulekytncspcfdwe\t1000000000000\tpool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8\tdrep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\t99b9c6b3c9d38daa0c154ac0e3aec5d88d69e89e32d75845a75670992958fb5c\t578\t2025-08-23 09:45:30\t1\t17053475614\t0\tenterprise\tAe2tdPwUPEYzzaNfgNEGjLxutkoCdnhmPi7pxBTwFAcPNcQGczyFzyuDXBS\t\t319998000000\t\t
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\taaa10627dd2db1fcfb524e3637e7d0b87d0433ab24b2b08c5b761f647b0bd906\t454\t2023-12-14 01:34:45\t1\t65987832123\t0\tenterprise\tAe2tdPwUPEZKnvqdtYNRKBeNYGjp8GtkYDiUT32h6UgFzyjf2TRK8g3SHwY\t\t59990000000\t\t
(6 rows)
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\te5893530512665f770e7306981cd5b71041df7e52b8ea44c45515b6031cec34c\t414\t2023-05-26 15:18:22\t1\t100000000\t0\texternal_stake\taddr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05\tstake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv\t2506736544689\tpool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602\t
