source_batch,frontier_kind,frontier,dest_stake_address,dest_ada,spend_tx_hash,classification
top5,stake,stake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,68378634.074837,1b1ffdc150d19f470d5f5ee860f3f0b30b55ad8ea2e3baa6ea53a4f8f360af62,cluster-return
top5,stake,stake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3,stake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn,2443059.975061,747596d94382c75d8a076fad7cbaff89c1686467c58e179a0499ecccc60109d4,cluster-return
top5,stake,stake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3,stake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn,99861.702381,431fe080991fd610f5ea94d143630e946e6feee8967676c4c101fdbbf8113d56,cluster-return
top5,stake,stake1uxaertz49825tjhczzy3heghk3nq6jugcvdxtqzn2avgeaqr64xk3,stake1u80y77jjfcdymt38amg3na9w4p4d89ffw66xqsspdwsa2sqt8epdn,99811.533844,3c010069684ced15ed82c022d1ac4d62fda3d5918ff26ee07ff40b0dbbe8edbe,cluster-return
top5,stake,stake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,50638122.616038,ea2b8e58f724ac62cdec381943c03c16fc7aa1bd8c123dff10ea641514d41673,cluster-return
top5,stake,stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,2506736.544689,e5893530512665f770e7306981cd5b71041df7e52b8ea44c45515b6031cec34c,cluster-return
top5,stake,stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,2309486.092579,b02dd2cca8cecddd992bbf9b744789709050f639870f9e73fdf056931d6ad3db,cluster-return
top5,stake,stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,stake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v,2089491.661686,dadaf04703289295b9c7844251255902432f3a2daa6185cae15e8e917137defb,cluster-return
top5,stake,stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,stake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv,535803.042602,50fe601ccf8eb569b89ab65cc0611ce20840c0f2a6fb6437469d16082e519541,cluster-return
top5,stake,stake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa,stake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v,360440.199684,8054b98ad2f94a3ce6d967029b026a5a4d0aaff4a450d1eb664cf94f310706da,cluster-return
top5,enterprise,addr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,12908209.442048,e8b9d06f346fb0ffac61d17c98f3e23d06919bf4b6cf5fd01c9c1201f1e374f5,cluster-return
top5,enterprise,addr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,2000000.0,e8b9d06f346fb0ffac61d17c98f3e23d06919bf4b6cf5fd01c9c1201f1e374f5,cluster-return
top5,enterprise,addr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,838124.146835,45e0082ff3efe46147d1d134ea12c1bacd469aafb2c7f67c8cb57f6e7c39e24c,cluster-return
top5,enterprise,addr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,172300.686394,7274d456da5d28cada18bc288abb404b85fae91d86c6a661c60bc2873be70110,cluster-return
top5,enterprise,addr1wxtwkls63ae00apdncn4hlxt6jala8367weqam9srlmul5g78wtm4,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,278716.275347,5a053df193c63c50d5af61618073470afd56b9bb32ae86d96562ef24b6179e5b,cluster-return
top5,enterprise,addr1wxxaleu8a0feusutn3ntnqfg3a55hp0t5l2hqjeau0wg7cc4262zv,stake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v,36569107.763792,48f66601eb8c0dbb6b11261acc750ece621bccfb32f6784aa1caa4ea8c65a163,cluster-return
batch2,stake,stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,31903911.219754,22958ce6ea07a5cdd271fa41968306bb577628cf95d0f1e707004631f61f73e6,cluster-return
batch2,enterprise,addr1wyh9nq6fjw72mqud6w7yfe0h4tv04fxdfgcz9akczxgey8c649vxx,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,123248.692831,cc88d3cdeb774a81d5a12ec4adefb071ed1018a09b8710693e7790f3a80013c9,cluster-return
batch2,enterprise,addr1wx5gn92erwwd639twe3m46g3z6c9mdjdpkhcqduzq8g3xgqhwvjwu,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,292168.499383,18deb34b37de92439f80d5dea898d222f6e57537973669d7b8f20c750b2d8553,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,5389649.866781,f2c66192aafd7b2ed839a368170e6afc1b981ce1af902a94849d23ee911acdb0,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,5211648.796984,73b88873b25758f789d6f0c6a49754cf86be86fa7b3b2656abe39f2b91b702b6,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,5074146.306337,19ec041319fa6318405c204a440476d3bbc5a6d93a1eb5272bdacd2396fc12f1,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,545206.76424,dc04e6f80418c718168110a118a06b791b0a049caaa6813a6ab0ef99d8e7a9ac,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,467860.618248,d96d2045f3c2e015beb374b1a408c8c09e76b0a16cb636336f2a6dfd34ed1804,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,283094.014578,797724130e0c411ce4f3e28f86a989449acf86997172644265db237bd98ebc1d,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j,270617.858822,d3e64e86f693b1b2cdbdfda71af0ec578d0a22c5450282fc4d783e7e6c72fe2b,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,210856.04711,f94c94d2d77b56ff18b3f3bfffebf33eb784500ef70766873b473ad8bb3d5510,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,210726.906639,47ba422ff680c2e7780b49593f3e52690ad82db5a5d191dcf8dee2283830897c,cluster-return
batch2,enterprise,addr1v8aak8psnwz72gvhaawupj5fgl4ukvxz55d3jqt743z8n2sc8zwyh,stake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh,201531.070228,8282abe4f3e94afeab1816590f03a6a8aba863924dea2068c0ab0d2e18ddba5a,cluster-return
