dest_address,ada,rows,frontier_count,label,label_category,label_confidence,classification
addr1vymu4620q8vqf4xsstfrk6dy72787syvezet8ujsdj2k3jsfvlx47,208590000.0,33,1,,,,enterprise relay
addr1vypr00ss7hkqejmvh53xkyf0p9q0a4z2uprxmx6njc463vgst3pe4,67972062.300927,9,1,,,,enterprise relay
DdzFFzCqrht8iYWkJADpynF7KDZd9BtMGjLvi725mpcAqSfHDLc5pyu2zAA8migeoHJCjCH76FfT5UXNLiLL9kz5j2AvntNn5BfaWe67,57877030.92286,1,1,,,,enterprise relay (Byron-era)
Ae2tdPwUPEZBMzqFzaiF7oP8ZxV6HA6vmTU4H8A6TvaMypGcumL8Zwo34cX,46499780.0,7,1,,,,enterprise relay (Byron-era)
DdzFFzCqrhspr4y8AMStTJyPwE3i4zckyo4agSDzSDLLSG28N1zpE4nbXUzYQgpA3vZwYgz7MbHkqVnspPUWvqcRY1Lp8S734fJWNCAX,25327384.068435,1,1,,,,enterprise relay (Byron-era)
addr1vxnax6k222exx4taapk42qphxj0u74dnrm9muuyx89s8y8gdrslly,23000000.0,1,1,,,,enterprise relay
addr1v8tgl90qwtsd8fmerxfdl6966h55kuuyay67zdwxmahumng0k9mv4,20000000.0,1,1,,,,enterprise relay
addr1v9z2k8nd6yjqrecq83fsfwj3rjandj6z79j735zxfgrla0qzt6zsa,20000000.0,1,1,,,,enterprise relay
addr1vyw849maypwwrl2ukd4vvc9ud4chcf65h30rj8p8w40a8xqgu0t23,19000000.0,1,1,,,,enterprise relay
addr1v9md6u26js34473fnqwv5h8ytcg65knekflf49fe2wt9hjqwctkf5,15000000.0,1,1,,,,enterprise relay
addr1v9q0fe02u3e54m8da03lt7m5gknlnwqx5rgrkrnljavh2kqplpgrn,15000000.0,1,1,,,,enterprise relay
addr1vxxhv98fjl6edhzqkq7ap24z33g5z2d4q0y0ldvah9qwzxqnx55xe,15000000.0,1,1,,,,enterprise relay
addr1v9e3rzl88lw0wvqgqx88d94vw7g5k26ykl6grtc0vhghyqg7vk208,13200000.0,1,1,,,,enterprise relay
addr1v9u7va2sktlnz8dp3qadpnxxlv4m03672jy6elmntlxxs7q9nnwl9,12664068.179474,20,1,,,,enterprise relay
