dest_stake_address,ada,rows,frontier_count,current_pools,current_dreps,classification
stake1u9jjw934zrw84xsa7jhmpq8afruntchandac29pw560d7ps96qz4v,349032198.040003,49,1,,,external-stake-bearing
stake1uxt2ggq005kfm3uwe89emy3ka2zgdtrpxfarvz6033l3fqgve6ku2,275424437.11191,9,2,,,external-stake-bearing
stake1uxumgkkyn0gdkntgsg90jkq3wkwqxqfhh46s6j3xd0z8h6see3xh6,209573681.779314,22,1,pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,,external-stake-bearing
stake1uykx3958nur2kayufy2kykz7m76pgmt7l2wrszllhgw0a2q6keymm,159029899.5,30,1,,,external-stake-bearing
stake1u8uyvds0n2zahq9c0u9ttuvqtx8vdhf7kxwg335qdr67gtskf6gl7,116866133.149682,19,1,pool1u99x2rr6trfznwakv0959llmxmtgc2nvanc067uugl3ejuvvnc8,drep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm,external-stake-bearing
stake1uy88uenysztnswv6u3cssgpamztc25q5wea703rnp50s4qq0ddctn,85329782.808845,2,1,pool10kya8ug3wr6cwnzm0qdcppjtuwfwmnvusu2uenscz4dg7pl07qv,,external-stake-bearing
stake1u8afgl4qdnf2rrrusasm6lp9dn6jljcq49n4dmhtddncxdqr9nvsv,50908261.209757,46,1,,,external-stake-bearing
stake1u8sy8pxs8qurus3plgrqk448us5krsfhvx6t6nf6pn25vlgjhwwku,35099999.162926,1,1,pool103a3tldslwvrcvj5rfraezfqra7sk6c0njawszv6ttpjkq84gyz,,external-stake-bearing
stake1uxajgfljjnwjfh6kx8uhv77tfmgn8fry2jlfj0wgvkr8wfs3rpx4z,21460457.744677,2,1,,,external-stake-bearing
stake1uyd3ccjka7d7ykkyglmqr4j7zjudz08f7vun6pegp33ffxgvg2jyu,14511175.116411,1,1,pool1kcvaxe4q4npwt28qlr3h84htjf4qrqglqk3cr2484ptycr0ldut,drep_always_abstain,external-stake-bearing
stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,13191473.77345,9,1,,,external-stake-bearing
stake1uxf2huqdxhzdrhyjw5qytu6p3zygkecvhnnnc77wcxj72zq3h3hv5,13174996.0,4,1,pool1u99x2rr6trfznwakv0959llmxmtgc2nvanc067uugl3ejuvvnc8,,external-stake-bearing
stake1u9hvz2uxyt75fk470k9r2zy54puk90q729f8gnte8dl5k4g30c5zh,10302612.219899,2,1,pool1u99x2rr6trfznwakv0959llmxmtgc2nvanc067uugl3ejuvvnc8,,external-stake-bearing
stake1u9frvl4a0wgmk4e28gu4asyqrd6ezd3wn3e2wdq4h3hn73q6dxecw,9936558.680594,67,1,,,external-stake-bearing
stake1u9q7pa24y6jh975tkz3c3x506yfrh9htuxw2e063tt9362sp2vh5d,8868104.569628,3,1,pool1ezh8sewqgzy7267yvy0jssz8q7amce37x3dhmfl22j8lwz6wjrd,,external-stake-bearing
stake1ux4w3jnve8azsaps7cjnxy4d8rk7vglm093ty8c9rdn8uac2j6l7l,8026727.513628,4,1,,,external-stake-bearing
stake1uxj0ff002sudv8k2u9d7xlsha5kd6zrt2kgdjct495hqnjgtle6kt,7004425.842405,6,1,pool1g5gmej3cj67td4pmvmacnls8nuq0gjld2pwfeg3jwpxujdx6lmu,,external-stake-bearing
stake1ux63k3y2u9vm4h9hpx9c22c4snayljhze4nt7mxcun5hmkcfr67za,6806873.023821,1,1,pool1u6kpt8hgqcm596kukj97ghefmxn8ks2cgwg8qqe0gtgscnufk5p,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,external-stake-bearing
stake1u8uxtsu89sd330k3a3779jtxrphgjyn9rtytpe9q2xz00ecf08v4c,6201550.0,2,1,,,external-stake-bearing
stake1uy8qghtnjvxce6705degxlzyzjkund3ef6fxq84pfkj06gce3axzp,4955978.685645,3,1,,,external-stake-bearing
stake1uy807crqvtpr0qq0ccvptgsvfvpaul2x3ae4vxlgcegrwgs4mltrr,3859510.4027,4,2,,,external-stake-bearing
stake1uydh7fgueccyqdr630uqv32z5n46p000sd3lr60cnplh83qqjhz7u,2774117.496687,2,1,pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn,,external-stake-bearing
stake1uxnfyqhzlqkhnapsj4lx4atsk0qv6meyggmh56pnmueecwg8xa9gt,2278448.149893,1,1,,,external-stake-bearing
stake1u8yr9430qt659fgmhalafg9f2dqtyrrlg57swf9ud8gzessnr34kz,2090949.655622,2,1,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,external-stake-bearing
stake1uxd8367rav94grcst8vyt5gk8wx2nj8w6auutsamnlkvl6q4faep2,1500000.0,1,1,pool1p9sjhjx0v3k76wvgdqu7jcks2ra48wqlhc6g0mkewd25k3zcymy,,external-stake-bearing
stake1u9nc2zdv49eynm0jstx4n47wv67e5ha4texen8jn0g8x5ssfcu2r5,1088183.320374,1,1,,,external-stake-bearing
stake1u865azn3fluvyyd5pqahd2ng6ul9wv23fv56paulekytncspcfdwe,1000000.0,1,1,pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,external-stake-bearing
stake1uyf50939xx323ez56u7ndp0f99kn0st36arukgpm8fannzcc47kx9,999700.0,1,1,pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,drep_always_no_confidence,external-stake-bearing
stake1u9cvrc3sec2fwvm4kwh62lyep0h746ktdw4qp6r0n4g9gtq83ea72,990278.076801,1,1,pool1gu33fszp9ek0w9fkdt2xpnp4vznvvv2vhktc0dypa8fr53lc9pc,,external-stake-bearing
stake1uxy8fx6gwx8zcldc3fs9rew0esd0fqtqazak6nzfvprkqacjum400,850000.0,2,1,,,external-stake-bearing
stake1uy7n65lwwwp3y72gvdl7nqnss2e3kd8ujz5sw0sgwveaq2gkmqxpc,807932.971774,1,1,pool1ezh8sewqgzy7267yvy0jssz8q7amce37x3dhmfl22j8lwz6wjrd,,external-stake-bearing
stake1u9xxvzc0d6gd0l0mdncqc7sxwhvtnkrspny8rfjqfx2rygsl75rzj,740000.0,1,1,,,external-stake-bearing
stake1uy5hfr0jegtaha5y0yu4u2kqf96jgf9nzut4qx0clj0wcpst6ft6g,406000.0,1,1,,,external-stake-bearing
stake1u8s8c4medk0ktnghjcqh96zncjknx2g0vewpnzhymn38quqe0kucm,369136.406292,1,1,,,external-stake-bearing
stake1u95w29n500zzehfy2jx05lws9ka2f9tq0rhgvntp96gh0jqvga2ws,329834.523128,1,1,pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,drep_always_abstain,external-stake-bearing
stake1uyjcjtl0vwyv56z6zx48cavrx2d9cfdv5vaqwku6c3jgm8gvmcvev,300000.0,1,1,,,external-stake-bearing
stake1uyy6cuaketr9j8h0cl7dvwwnsrkyewrscfgxw8cfue2tyvg4wfrfp,288920.81384,1,1,,,external-stake-bearing
stake1uy0ztlady4xs5uf5cdsc92lvpg4a6tddj2asu35932xfa4cyza757,155807.933496,1,1,,,external-stake-bearing
stake1uyk3v57x3rt7km4jjemn5x2lc3zck6nazy0l5rwt4x333sc8al4qg,154287.64425,2,1,,,external-stake-bearing
stake1uykvs62f57euhat5ypu9yxfske25vy4dtptmxc5crl2m3tczmnasm,136932.432315,2,1,,,external-stake-bearing
stake1u8798yshszw3m0ekrywqerfc8wwevq75fkhh7tw9x4lv9lczz6ltg,130810.805983,1,1,pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,drep1pjlm2g0vr69e0zncnqthltfnny3amtdr344jzee8ehvlw025dhu,external-stake-bearing
stake1u8xnvj99yft37zff02ag4fuhwj5qzp3qjrzuk7cd4wm2m3c8a4fur,112894.882431,1,1,,,external-stake-bearing
stake1u9kruv50supx2ugylu699jyst8lwvy8lufg2q45y5yrp99q8x7cvq,67277.278075,1,1,pool1a3kdettzvvlqvkl9m9hwe63ggeq5fgvz0twqew5c62dzx99vsed,,external-stake-bearing
stake1uxtp7tw24zalnzul8hh90gw2ngf4hmhwxtn6ehesa444ezcpvfa30,66000.0,1,1,pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,drep_always_abstain,external-stake-bearing
stake1uxll9xdzvfr0guhekxa0l48utddq63h3wasurecme738gkqcwc2fn,58578.40711,1,1,pool19asxjgd6ah9ddzauwede4wpt9vsp6s4ax5nz297wt47evc9sn7z,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,external-stake-bearing
stake1u80f4qd8n7a9nwxxsdsheglsuaa5sh3354fmgvzetxtgdvg3h85mf,56843.295406,1,1,pool1k6zdhtvhtfyrgmkmsd0lmxzzeeh46jd37yktscaxpry9vwaxq9x,,external-stake-bearing
stake1u88wngnjwdqdwzcvlyzv03r7y2qgj0964pjwgt76cer0umsxxc85m,49045.698307,1,1,pool1xru6f3fflzwkptgm68pncrsncg9ngllv0jk8jnz40m7wusfhazk,,external-stake-bearing
