stake_address,iog_utxo_count,iog_ada,emurgo_utxo_count,emurgo_ada,cf_utxo_count,cf_ada,in_emurgo_2,three_way_shared_utxo_count,latest_epoch
stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,6,2113083.411704,6,132181.031507,2,89930.179399,True,0,591
stake1u85re0n76p05ld36le8ytuuhdst0lu4mmh8g53hmpqd6txsxxta6n,11,1698192.280051,5,794203.69918,8,634125.833316,True,0,260
stake1u86jl5trmfr70cjfe6capkl2ptx05l8jflspswgh79el5ygcv8xwh,9,3899998.107384,7,3606486.963689,1,500000.0,True,0,306
stake1u87mehxnkc68j98vsmuf6vrrlcfygppyxvkkwm4n89n2jssanukrm,2,2333.26029,1,928.311132,1,6063.470107,True,0,254
stake1u89zwwc9sntxuh2e7qtjydkfdse9fv8uckzqvcg2xp6yw9gj6yp06,1,2053840.935215,1,590010.0,1,1750000.4,True,0,305
stake1u8dg8spc3skawcyzemtxz8f0zk5eadxftq35qcd4f7n5hrc82xu8k,74,2794252.047625,17,1646033.965213,1,97045.078377,True,0,581
stake1u8etn7ndaq3t76af2vlfg74dexkfs7ysm5fwhtjth45z3ccdme5gq,10,1926.736853,3,110.0,8,693.272072,True,1,252
stake1u8kph2mc9r6j2plndz5j27quu06faverhra5lmprax99xqq9cvu9k,5,250.678369,4,128.646791,1,70.750537,True,0,255
stake1u8qeamnqwk9sz84pv3t0m40f9j3apd9gwkga7ywssku0rfca45yua,2,5.61704,1,2.26131,2,4.28383,True,0,299
stake1u907m66smf4lefjzgp7v7zzmjpjeljrvdm5vttv6nulm0asv2de62,1,250.182648,2,335731.01178,1,63951.352068,True,0,254
stake1u986gmjp5yg3eqtv5qcc3hhgx3zu6wct9l26k7scxeurvqgveu73f,5,53643.319215,9,1604871.29963,1,147.383239,True,0,426
stake1u9n2w8wn6w902s35jvjy6hvs5yevd0a8evc86e48wn2v70cv8j4fn,36,251854.872741,10,50527.311125,1,8.825699,True,0,263
stake1u9wxw9y574v9ngskl63effw6qlwl4tg6dr2zrrufhc7anncvvnqkp,55,15248553.44709,28,5199895.868943,3,850000.0,True,0,266
stake1u9xxvzc0d6gd0l0mdncqc7sxwhvtnkrspny8rfjqfx2rygsl75rzj,1,4799999.789071,1,2999999.4,1,317.0,True,0,254
stake1ux3a593q7tq69jkjw7ygqss5mdtteh863r40qhvnftapt6q68puk9,205,2252474.432307,176,2326931.881834,148,3138113.284718,True,0,264
stake1ux60qhkvnlvvjpnw7l7eqldc2nrketmyv2cn9nsn8hruc3qgvy3rz,80,2200214.749501,4,1311190.603254,2,881.377508,True,0,297
stake1uxf53lmw7479rehspdstly4vqmgrtsuzev5nghplh748wrsz8scjy,2,150808.834954,5,1776636.261289,9,7030696.944286,True,0,338
stake1uxfjvzt8hz9yea9ervnqk5zjvvs79chs646vp4tvyhx9x3gcsftcx,7,38544.160108,3,5593.0,1,10.0,True,0,559
stake1uxttvx739dt505d6sxvdykj8336utdq2q92jk3sv253zp5qalcz84,24,216818979.014965,17,134100674.590762,7,167075537.460863,True,2,406
stake1uxvvzsuuk8v0r2kksutrwvd2fe0kms3d4qh5a3su5vky53gjx9uqw,2,30045.579993,1,201.017466,1,54.0,True,0,253
stake1uxztgcgh49sld46q94xtjy7zf8j2tnntd6rswl9dypa9ffqqxrz2a,7,10715097.298833,7,18577048.736562,18,11379155.310768,True,2,250
stake1uyt740u9w299jzmhshe86cx75l2tev6kksutn4th53250lsage6jk,93,4995066.040898,125,14487060.602944,5,162467.305626,True,0,302
