feeder_ada,creator_count,occurrence_count,creators
10.000000,8,12,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
1000.000000,7,12,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
100.000000,7,12,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
5000.000000,7,9,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
2000.000000,6,8,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
999.000000,6,7,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
50.000000,6,6,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
20.000000,5,5,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
300.000000,4,4,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d
150.000000,4,4,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab
