creator_tx_hash,creator_epoch,creator_time_utc,total_to_bridge_ada,bridge_outputs_created,matching_exchange_like_feeders,matching_feeder_count
a6a2a9c3916ccb775a547dd75f81ce7545fa5a1208e5f3fd886a7632a6ae45e6,213,2020-08-27 15:39:28,20199.806519,1,Ae2tdPwUPEYwSvufNJ2gtNc46nYbnwnifDq3ApJezACJPr2mNPFAezsVky1,1
473084401c894292d32dd0c89c9fa3fc01e0a1873492a408446f7132bb517c04,226,2020-10-29 20:28:03,8686.051619,1,Ae2tdPwUPEYzVHQv8wwcarP2rxb72JNC76oECfWrZN95XLdBTiFxTD3gmeg,1
b9b29f8fb5ff0d4cb728b4e1b18833f5c869d0be825eabfcbbfec62a92f0d042,226,2020-10-29 20:43:26,10336.048919,1,Ae2tdPwUPEYzVHQv8wwcarP2rxb72JNC76oECfWrZN95XLdBTiFxTD3gmeg,1
2a037578b8129d4d00e69d07d67a1d8047b36076294764021304cc93baf41ec7,227,2020-11-03 00:05:58,1000000.000000,1,DdzFFzCqrhsqgbjJYRL6GkEA3HVPjY4mvcFbtHCe5SxZk55TYjTQqbgZCoL4EerYVywWuvuATiY6nrhe4GgCfyC44EduZjfmvpPPhdrs|DdzFFzCqrhswv66EYxwR4LZfrnorLazMe6LaWV9LfFbkvPxwVmzy53J33hSx5DyGXwTmNYd4dzvG1BNJ2WfCWRzVSJ8wsDXruHs3EYrU|DdzFFzCqrht9HnufghPShWhcdJD4KT1ugceAEjj1bLu5zFHvhEJP5Nqsyy9mo7c8qYonnzrfhmG5rpnCQADwefU4qKZNMVrAgcMPm5Np|DdzFFzCqrht9P9wkUTNznpau4YXBzaNL73Znan5jnmu5rzzq5dHujqA8aJkbaxDEXG5xEd8Gjr6knWvCJN868pwnfpCNWmPiq7Cd558e,4
990c4db9bd2afaf6e2eb06d28661b35af22f6cff55212a20e3cf5cac35c19bb2,227,2020-11-03 02:04:11,1000000.000000,1,DdzFFzCqrhsgaDtGMzwuGidxL9P6YovWG3EjejQFWcy9SVkdq7GQna6jDxrZvDnnSN5pH8tL3TqhgceW38QZo3gFy8wEkNYMX1r22f74|DdzFFzCqrhshSTfA9JJHcPUyhksTvNt5YxPj4W6MqU9DtHDCQCNGF5EvkEADreSLzB6TxQAvBcjt9DkMt2D7kAm6AbxmXKuKP79fGgWT|DdzFFzCqrhsqgbjJYRL6GkEA3HVPjY4mvcFbtHCe5SxZk55TYjTQqbgZCoL4EerYVywWuvuATiY6nrhe4GgCfyC44EduZjfmvpPPhdrs|DdzFFzCqrht6CJjxbJXXJyaun2SpH47TK7aTjyYSJazZZtwhjzfYBCM9bTgV5hQ9HNas5n95agS6R2H4V8rfxsSKpoXMKG1u7PaodXjT|DdzFFzCqrht8xjDAPrebVrAziMEXmgSxYryY47WDgUAQ71dLqHXcJQ4P1nHcwmGuDHHuZ9JCobXcRjd614PraZRhgKR7oCLbtyEC6Y1q,5
37d6e535b39331d12f77e5acec4b4c104d2c000303ebebaf478dd740c63d0c70,227,2020-11-03 02:32:11,1000000.000000,1,DdzFFzCqrhsxuz4boJfsBDqFuRDs6GNiyJ41Cq7AoAf8MzJFss9QaDWkZHDbHzmNbFNMzCevndohVa7P54ASYrKVxPXRTszMN4WmPWBD|DdzFFzCqrhsxxCH3ew8XpqiwmQZ55t9U1iM5WKbQgu16wKShf5sbijBq3X4RekvpvJcCrJkWwmRiuT6PDFn63osfcQ6h21ZKTsEpstM2|DdzFFzCqrht9P9wkUTNznpau4YXBzaNL73Znan5jnmu5rzzq5dHujqA8aJkbaxDEXG5xEd8Gjr6knWvCJN868pwnfpCNWmPiq7Cd558e,3
73a427b495e47670019eacab8f28f66c37a444dbcac02abc7fd7fc3f4990bf2d,227,2020-11-03 15:00:11,1000000.000000,1,DdzFFzCqrhsg8JMRi3cmfLkc3Lk894q1NDda3BDiieRaW5QHpVQT66mfKGboN24oiFicCicWqZaYSbXJX6WLitUswYANtgLu29TRLi8m|DdzFFzCqrhsmoG4GgxbQxQrQVsDsJobXR6iP6QpeVRbFycwgoJo4dyyJsoTGv1BvkGvnbiAi66equVpxRRYxVwdGaCCten2EjPi1kmLk|DdzFFzCqrht6CJjxbJXXJyaun2SpH47TK7aTjyYSJazZZtwhjzfYBCM9bTgV5hQ9HNas5n95agS6R2H4V8rfxsSKpoXMKG1u7PaodXjT,3
ec8b3bc717a4ca97252f349d56bd0d14a9fc9228a4336344fae24e04af83356f,227,2020-11-04 03:04:51,1000000.000000,1,DdzFFzCqrhsgaDtGMzwuGidxL9P6YovWG3EjejQFWcy9SVkdq7GQna6jDxrZvDnnSN5pH8tL3TqhgceW38QZo3gFy8wEkNYMX1r22f74|DdzFFzCqrht6CJjxbJXXJyaun2SpH47TK7aTjyYSJazZZtwhjzfYBCM9bTgV5hQ9HNas5n95agS6R2H4V8rfxsSKpoXMKG1u7PaodXjT|DdzFFzCqrht9P9wkUTNznpau4YXBzaNL73Znan5jnmu5rzzq5dHujqA8aJkbaxDEXG5xEd8Gjr6knWvCJN868pwnfpCNWmPiq7Cd558e|DdzFFzCqrhtCgHyJHo93j83V5qvLPEKrveQrGT66U9vipJheKg9Jys9T97oJVVrdMF71ScUHuQCpayKVJVknQKr5TnhFaZVhwkAwrGPL,4
094cd8b98d284cdc647bffdffae8ef8dccdeed28a990a8972b8736059e2d077e,230,2020-11-17 22:54:27,16144.796519,1,Ae2tdPwUPEZCTq6xw31PMbU5EttxXvyEpfux8Qbx5u1tWiZSsKx21DN3h2i,1
d6c4d8707c58d2ecd295c7962ee80b7ae4b1ff824c3b98d6b7e8c3310b9c4893,232,2020-12-01 11:33:54,117140.549139,1,Ae2tdPwUPEZJCGuAQyPGCMUXS4XH9DZdH5sfPPruHi6WRtmKAw79bH25nF6,1
