creator_tx_hash,creator_epoch,creator_time_utc,total_to_bridge_ada,bridge_outputs_created,distinct_feeder_addresses,residual_bucket,sample_feeders
860fbcc180bb28d218f72cca5f8e045cd0d11d90a05d92798335445fd7ea4fd5,196,2020-06-03 17:31:31,999504.833984,1,1,single_feeder,Ae2tdPwUPEZAEHa41LLX4k4jLGqRBr5arXpyd7PypA9YB95PqM9G4sPi9bP
3cf4cd28d947ef66f2fd75ff8e0a8a5b55cbb53756a29de4de2c35bebc5c04a7,196,2020-06-03 18:38:11,49999.833984,1,1,single_feeder,Ae2tdPwUPEZGJpxivQLTCKAV3AdAjveng8HJHDCa6cqUXaHozJ8mcs4TQhr
fa728e79b0f18bea652cc865087c7829a84b694f95ea9a33c621831a3e8bfab8,196,2020-06-04 13:46:51,22422.269513,1,1,single_feeder,Ae2tdPwUPEYyxhviLwoWcYAYyzjH3GTQNo9b6RzRHuwZzKrQxXCg42DWeWn
b30ccac4862b76be6823cc561bb1fa2b2f898e74a151ae76723fe89aefda7b39,197,2020-06-05 02:29:31,39394.460222,1,2,small_multi_2_6,Ae2tdPwUPEZ68ymFmQuTTogwPGFmkfLXkGwXnGvkZXnz4qG9oqzLvGSjGuF|Ae2tdPwUPEZApWu8ZEweADWQWHDejHuC7jg2yCR7S4KmsXzsiPAsXwiQbw8
c5d14bf1862dcedab6c7e046b4394dd4eb979715feb961ecbef1de19241b174e,197,2020-06-05 22:16:51,5364.826029,1,2,small_multi_2_6,Ae2tdPwUPEZ6BG3ToaUYZ6Pwrjt5vLq76Uzv4xRu8HMfiKkpsr7v2uNYeB7|Ae2tdPwUPEZM1Tqt3rVnYbEScwBB4E7bUjyQwDfFHSSBFwhAnEssPhw5hQK
471e635236b03c67b8d75387d4f54162deb784cdedfdc1e06e9bb19059fea8b3,197,2020-06-06 08:18:51,10216.283984,1,1,single_feeder,Ae2tdPwUPEZLqtzymdwcDqVeWGrLHZG8eQXtjou1xvDYEkYyPgGbT5kbYgy
b155868bd449be52b1390df62739591f9ad2fc68f42499e64f670f50a69e364a,197,2020-06-06 21:44:11,755.553173,1,1,single_feeder_lt10k,Ae2tdPwUPEZ3CV65stJwRgPq67Nvrpt4CqtAseZhq9kTH44t5Mgx1eEFaSj
2eec2ee4907bed2371babe399318034c08197914ef059aa379b1ae604d4e5f4e,197,2020-06-07 02:01:31,21697.176784,1,1,single_feeder,Ae2tdPwUPEYy4Voqvs2tNgXPHeqJhLUcrFB4dVrw9EGZxonMDrUkzgE6sdj
0b83ff8a6063cec741cc446c6e94aab105117fe15fa776db7908d364c15eaf0d,197,2020-06-07 09:42:31,10117.908431,1,1,single_feeder,Ae2tdPwUPEZAwa8sfJr5Zc3gfdPtGnVMhQE3bE1Vd6jnjXHVCACWJWn5rzF
8451a2b685be3f26626a54b5fa3c09193b4bca3afc356a9629de3288c332051a,197,2020-06-07 18:21:51,4854.573384,1,1,single_feeder_lt10k,Ae2tdPwUPEZ2ieguwnvftYJNHn1PBajucAuzdcN9yBXVhRf9AbCXsUh7p9q
a153b69debdeb835f9348d556edb617534983f9e31cc67611ea9ae51071c51fb,197,2020-06-08 01:04:31,4664.698924,1,2,small_multi_2_6,Ae2tdPwUPEZ9xbuWs3oiU1iBh43v4VoFfCeYyspthBzZMgLGFoSnWzyHjte|Ae2tdPwUPEZAr3QWmr8sXt3bUwPwXP6TmDhgogryS5Ft1YVRC3aL7GA8whT
