creator_tx_hash,creator_epoch,creator_time_utc,total_to_bridge_ada,bridge_outputs_created,distinct_feeder_addresses,residual_bucket,sample_feeders
2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97,240,2021-01-08 02:44:53,520930.145997,1,33,large_multi_30plus,Ae2tdPwUPEYwPu3BbUJ4P7qmHUmqPT4Mfk9SQoe1t7iFeU72wsaXLKzWZfE|Ae2tdPwUPEYxPPei57nV7rHcpGiUvya7RPjMUgKYSvgMNEYLz89Yx7ngWEC|Ae2tdPwUPEYxbCVvakHiF3du8eejd9v6WnqFBhDnaP2A7TqX6TcRo1fExfW|Ae2tdPwUPEYyRtjYVx2PdUj1vMix2pBWG8odUoMsGZWFFsaUce6b6BgE9vi|Ae2tdPwUPEYyqMQH6KvWKDj4qWAnGabSbCHmS1PNnAqqSZQWAdK1Z5B5749
5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9,242,2021-01-19 15:16:49,401732.169821,1,72,large_multi_30plus,Ae2tdPwUPEYvtd7sipjFCdxNFD45woK24LHc3BoXfCBprhquJqg9gAkmdif|Ae2tdPwUPEYvwe41x1CW8U11YfKc7t3s1hK1iZRwnXXMfybQ8Ecr5TRmp6V|Ae2tdPwUPEYwLNtXvoQRg9fQsfYKqkFGQ9qfhJEyJxZ9TJ4eCewAqFg2GZh|Ae2tdPwUPEYwWHqrc1ceU3t2cTVDTMR3yEpHyRxNWiNK1b6PzL7h6ozpJzN|Ae2tdPwUPEYwpDD3i4wEtt63cHrt7tkqHX62bQRgBiDuJEcjF6rvvZh2jEh
6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab,244,2021-01-28 11:21:35,337076.223902,1,76,large_multi_30plus,Ae2tdPwUPEYvyD5gDEsRWjicxoRBhdiduT3UmrZEmas9CWwoRQv2kyqLrzy|Ae2tdPwUPEYw43mAQh2F1QGFdRzaJyUjn5GjTb3VzKdWRfKJWpC3bR9T7di|Ae2tdPwUPEYwmAuWG8RyawRs9iWe17iJaeWoM7Hs9NAg1bR3hxNpNV7y558|Ae2tdPwUPEYwntzJEPTxkJ3SsRSXFweNJZitaFVMdJ7343ZBEi478oDFbLw|Ae2tdPwUPEYxBtMTfN4i1iUWksYhbGykuKnhwqf5Nj1Lu1dFgrFQaWfaVCv
2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546,244,2021-01-29 19:17:40,317125.487912,1,74,large_multi_30plus,Ae2tdPwUPEYvtC3nLF3xhR2AkhgpCb6qo8okiD2qpfTRdf6HBuR9MSiXCes|Ae2tdPwUPEYw3om7HFJyL2hsggCu25tbqoVk3NNzDJMVA2SShcXVWQAGtSU|Ae2tdPwUPEYw6V6W2v4uVzzvXwHhs9Ej4dPb7fbuVBWcjMjL2YFProwajxZ|Ae2tdPwUPEYwmWH961eK1X7UfcqhB4LvGTDXKMfuGEzcJfvsJdVWrE1cic9|Ae2tdPwUPEYxTUAuN4G957HyDmD5WqD28Lpuk7nGpbSjmSDheQRQhH6m1LJ
d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9,244,2021-01-30 19:56:55,217929.138149,1,78,large_multi_30plus,Ae2tdPwUPEYvurZU76pq8XwAwsJC9en2v4GnVBw5bAGZufRsMgG4cQm7CjN|Ae2tdPwUPEYwD82A17SLPBorXfPtEEuS7iXN1aG4E9SThKNEuJWTZ52yjd1|Ae2tdPwUPEYwHpvnvCi5LKEBYfSc4AFturmYavScKHY7UrA6uPbzuoEah9i|Ae2tdPwUPEYwN6j5AkMvtvDoH1vvc1v66SEZpmuaHknYGFy2eT9rt9ibVtm|Ae2tdPwUPEYwmw9GiWsNkjWJAijsXoZqyQt6ZF2zgY5fU9Bru7rApQmog2s
c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0,245,2021-02-02 22:34:08,204208.051193,1,72,large_multi_30plus,Ae2tdPwUPEYvwPCMMWppBMkgpiymbSeV7AfyuoHYpAvvjkz5wgcLCd7Dffp|Ae2tdPwUPEYwRs8wQoohewXTgVZ2B4QLuMJxv2wmCpXMueEe74RpPFyNbzR|Ae2tdPwUPEYwwnWxYsxiSLXwEXhrf6DDeU7ss9pMZ3tqWZScVULT3fMdESN|Ae2tdPwUPEYxVrseqvsEZvE7V8zJBjk2QRmo5FVaVXdWN9PmdAfuduXSn4Z|Ae2tdPwUPEYyBMnuLqPXw49MJeG79RYUkM1316kT7U8gboTCxb4RR2awuS4
ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db,246,2021-02-05 11:36:20,447898.784525,1,76,large_multi_30plus,Ae2tdPwUPEYw7U4s76X2xJeCxZTt6oMGjCd5rNNdcB9wsZNsyG4aYBGSA8d|Ae2tdPwUPEYwRXNUKX4DB1t4MRfRBjJnSfakqf1eVaGYK77GC5ShxJibtEi|Ae2tdPwUPEYwTikLfVDnk1CAkq1T53fAuhzuyizto3Pi8oupExUiThePKFo|Ae2tdPwUPEYwwnWxYsxiSLXwEXhrf6DDeU7ss9pMZ3tqWZScVULT3fMdESN|Ae2tdPwUPEYx1LpBZKvJMWVUBxdooZJVn7hnwCi5JZv398VxJ7Z5N95Hvvv
9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24,246,2021-02-07 01:32:25,142957.111593,1,72,large_multi_30plus,Ae2tdPwUPEYweYicAWQcUuq1DZDhQGsp8NV875PgxB5zqE3wZYo2rxpWwSE|Ae2tdPwUPEYwhGJdLTfYMivxw5NjKUwJRorhnTw3erBLAPsE3zDQUDpUvQr|Ae2tdPwUPEYxFGLszSVgxkseB6oEeU51spdPEnmWhuLSm5sDpdwBmRMYanP|Ae2tdPwUPEYxQp8o6FBsPjrYnh99yNEeTYyKuWwBScipZBpJDVnVKoMV5aE|Ae2tdPwUPEYxWsx1iy8TgTknnP2p1rZcwRmdt9JakGHaLLLRSZRNF53Fh4E
b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b,247,2021-02-12 18:47:48,115001.233684,1,76,large_multi_30plus,Ae2tdPwUPEYvwZdB6sairxcAmVuL4Uy9b6CJdUkenFSQpQ7XD42iepaxKrs|Ae2tdPwUPEYwPtjXDUgN8dcCRb4xgsHJnveYtCaqJ5uk5pMaxkoVwjQ1SLe|Ae2tdPwUPEYxDdWTkke47CZstjNxbgdhAEL5PJgnDZJ8F3t7Hy58LDcyRqG|Ae2tdPwUPEYxGjDbTctLEv7FKnW4AS7TqW2WsYcj84MwCcbSzaaM8aSXAqt|Ae2tdPwUPEYxKFahTGg6mFex6uj1rHPzqSRATy6xkeRisbCzEAwBtkm2Djj
303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8,248,2021-02-18 18:14:29,78173.370808,1,73,large_multi_30plus,Ae2tdPwUPEYwMaVJ3Zoqh4bDkKHyvuj1A5tMNAQa34aS5m4jGkR1ie7vApY|Ae2tdPwUPEYwNYQyzRLgfSLmaLnHVrZy9TsAirQKqZ25CswfXgxmuYNs1rE|Ae2tdPwUPEYxAPw9PMnaxYQN649VvxEhc6xUxKNEEGyxronBqi7bCwot7Yw|Ae2tdPwUPEYyAZyjtxoFDrpbcbTGjSVNYGZdw9mjWTeDGdK5F8srPY5Y9xk|Ae2tdPwUPEYyFEperFDVzWGk1BdhifFU6EqYbEC4Vd3sXUb7K2KQihNNxAY
