dest_tx_hash,epoch_no,block_time,seed_combo,seed_count,seed_inputs_iog,seed_inputs_emurgo,seed_inputs_cf,unique_source_inputs_total,overlapping_source_inputs_total,exclusive_inputs_iog,exclusive_inputs_emurgo,exclusive_inputs_cf,pair_overlap_iog_emurgo,pair_overlap_iog_cf,pair_overlap_emurgo_cf,distinct_dest_outputs,all_seeds_have_exclusive_input,source_tx_out_ids_iog,source_tx_out_ids_emurgo,source_tx_out_ids_cf,dest_tx_out_ids
a71578ec01f6cf39dbcf31351631159e3dd6fb99dd475783effbc65b90b8f0f9,95,2019-01-15 21:50:51+00,EMURGO+IOG,2,2,1,0,3,0,2,1,0,0,0,0,2,true,2042611;2042772,2040117,,2048665;2048666
c72f9384bf92ed69f1f8ead364c709b61921455b79664968ca975c16ae7edcd3,125,2019-06-11 22:54:51+00,EMURGO+IOG,2,1,1,0,2,0,1,1,0,0,0,0,2,true,2862457,2815201,,2920125;2920126
fb46644ed1575c8620f0e1228a7fcf1f8530a23affdcae8b8b8179dd8476a984,125,2019-06-12 01:04:51+00,EMURGO+IOG,2,1,1,0,2,0,1,1,0,0,0,0,2,true,2862443,2815208,,2920629;2920630
e524d0220f9f17b8eedab524900f0ea06b663c3e12481210b46fae72f2375cdc,132,2019-07-16 15:18:11+00,EMURGO+IOG,2,1,1,0,2,0,1,1,0,0,0,0,2,true,2646712,3162291,,3193164;3193165
36dcf3e08498b0ae22bb8e6c217597e9c01791f1940065fc95f72efa60d8a7a2,132,2019-07-16 15:19:51+00,EMURGO+IOG,2,1,1,0,1,1,0,0,0,1,0,0,2,false,3193165,3193165,,3193174;3193175
f2de36dd4e2c5e79657dd3a042e3e24db678844e8be47dfe0eb72fda456737a6,153,2019-10-29 20:53:11+00,EMURGO+IOG,2,1,1,0,2,0,1,1,0,0,0,0,2,true,3576204,2891190,,3632581;3632582
2b5ca99595a44da21700b8d5a6268118d74afec3c05fe4b813a11ea0de48d276,153,2019-11-01 05:48:51+00,EMURGO+IOG,2,2,4,0,6,0,2,4,0,0,0,0,2,true,3637784;3642563,3636747;3636750;3636760;3636831,,3642565;3642566
d6ff2e3c54c7bcd2bb6fe08f92313f63e5989bad01b292145534ed9c9f1f3d6d,153,2019-11-01 05:51:11+00,EMURGO+IOG,2,1,2,0,2,1,0,1,0,1,0,0,2,false,3642565,3636737;3642565,,3642587;3642588
ba241ecd7b2635919a1ee59aa561f9c37f53c7470169a338cb3fe091a99a13b4,154,2019-11-04 09:34:11+00,EMURGO+IOG,2,1,1,0,1,1,0,0,0,1,0,0,2,false,3642588,3642588,,3653485;3653486
767f60d55b9b8c86d3bd8fdb3e6a4cf0bdf6f9d5ead597877574ad6bcc7f65e3,175,2020-02-20 01:38:31+00,EMURGO+IOG,2,1,2,0,3,0,1,2,0,0,0,0,2,true,4151074,4151905;4152019,,4152468;4152469
fd94e97cef3264546fc3c2af276dbbaea937249424484322e525baee4dc0711c,175,2020-02-20 03:07:11+00,EMURGO+IOG,2,1,1,0,1,1,0,0,0,1,0,0,2,false,4152468,4152468,,4152969;4152970
d038e876bda137467439acef281435d7aa2273ebfe57308be39969719e030c8d,175,2020-02-20 08:38:31+00,EMURGO+IOG,2,1,1,0,1,1,0,0,0,1,0,0,2,false,4152469,4152469,,4154620;4154621
bf18bfd822df85c3da981e9e53b9551f6890c5caa40585a63400e302b0ff1726,180,2020-03-12 04:41:11+00,EMURGO+IOG,2,3,1,0,3,1,2,0,0,1,0,0,2,false,3642564;3642566;4284691,3642566,,4284692;4284693
